table_id,row_id,company_size_full_path,company_size_level_1,company_size_level_2,company_size_level_3,company_size_hierarchy_depth,field_companies_number_,field_in_house_or_external_r_d_number_yes,field_in_house_or_external_r_d_number_no,field_in_house_or_external_r_d_percent_yes,field_in_house_or_external_r_d_percent_no
2613,r001,All companies,All companies,,,1,"['    821,671 ', '&nbsp;']","['    272,342 ', '&nbsp;']","['    549,329 ', '&nbsp;']","['    33.1 ', '&nbsp;']","['    66.9 ', '&nbsp;']"
2613,r002,All companies -> Micro companies,All companies,Micro companies,,2,"['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']"
2613,r003,All companies -> Micro companies -> 1&#8211;4,All companies,Micro companies,1&#8211;4,3,"['    436,753 ', '&nbsp;']","['    132,026 ', '&nbsp;']","['    304,727 ', '&nbsp;']","['    30.2 ', '&nbsp;']","['    69.8 ', '&nbsp;']"
2613,r004,All companies -> Micro companies -> 5&#8211;9,All companies,Micro companies,5&#8211;9,3,"['    166,226 ', '&nbsp;']","['    51,000 ', '&nbsp;']","['    115,226 ', '&nbsp;']","['    30.7 ', '&nbsp;']","['    69.3 ', '&nbsp;']"
2613,r005,All companies -> Small companies,All companies,Small companies,,2,"['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']"
2613,r006,All companies -> Small companies -> 10&#8211;19,All companies,Small companies,10&#8211;19,3,"['    109,894 ', '&nbsp;']","['    37,957 ', '&nbsp;']","['    71,938 ', '&nbsp;']","['    34.5 ', '&nbsp;']","['    65.5 ', '&nbsp;']"
2613,r007,All companies -> Small companies -> 20&#8211;49,All companies,Small companies,20&#8211;49,3,"['    68,668 ', '&nbsp;']","['    29,002 ', '&nbsp;']","['    39,666 ', '&nbsp;']","['    42.2 ', '&nbsp;']","['    57.8 ', '&nbsp;']"
2613,r008,All companies -> Medium companies,All companies,Medium companies,,2,"['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']"
2613,r009,All companies -> Medium companies -> 50&#8211;99,All companies,Medium companies,50&#8211;99,3,"['    21,417 ', '&nbsp;']","['    10,920 ', '&nbsp;']","['    10,497 ', '&nbsp;']","['    51.0 ', '&nbsp;']","['    49.0 ', '&nbsp;']"
2613,r010,All companies -> Medium companies -> 100&#8211;249,All companies,Medium companies,100&#8211;249,3,"['    11,447 ', '&nbsp;']","['    6,544 ', '&nbsp;']","['    4,903 ', '&nbsp;']","['    57.2 ', '&nbsp;']","['    42.8 ', '&nbsp;']"
2613,r011,All companies -> Large companies,All companies,Large companies,,2,"['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']"
2613,r012,All companies -> Large companies -> 250&#8211;499,All companies,Large companies,250&#8211;499,3,"['    3,660 ', '&nbsp;']","['    2,337 ', '&nbsp;']","['    1,323 ', '&nbsp;']","['    63.9 ', '&nbsp;']","['    36.1 ', '&nbsp;']"
2613,r013,All companies -> Large companies -> 500&#8211;999,All companies,Large companies,500&#8211;999,3,"['    1,599 ', '&nbsp;']","['    1,055 ', '&nbsp;']","['    544 ', '&nbsp;']","['    66.0 ', '&nbsp;']","['    34.0 ', '&nbsp;']"
2613,r014,"All companies -> Large companies -> 1,000&#8211;4,999",All companies,Large companies,"1,000&#8211;4,999",3,"['    1,464 ', '&nbsp;']","['    1,074 ', '&nbsp;']","['    390 ', '&nbsp;']","['    73.4 ', 'r']","['    26.6 ', '&nbsp;']"
2613,r015,"All companies -> Large companies -> 5,000&#8211;9,999",All companies,Large companies,"5,000&#8211;9,999",3,"['    273 ', '&nbsp;']","['    216 ', '&nbsp;']","['    58 ', '&nbsp;']","['    78.9 ', '&nbsp;']","['    21.1 ', '&nbsp;']"
2613,r016,"All companies -> Large companies -> 10,000&#8211;24,999",All companies,Large companies,"10,000&#8211;24,999",3,"['    163 ', '&nbsp;']","['    128 ', '&nbsp;']","['    34 ', '&nbsp;']","['    78.9 ', '&nbsp;']","['    21.1 ', '&nbsp;']"
2613,r017,"All companies -> Large companies -> 25,000 or more",All companies,Large companies,"25,000 or more",3,"['    107 ', '&nbsp;']","['    84 ', '&nbsp;']","['    23 ', '&nbsp;']","['    78.4 ', '&nbsp;']","['    21.6 ', '&nbsp;']"
