table_id,row_id,debt_level_full_path,debt_level_level_1,debt_level_level_2,debt_level_level_3,debt_level_hierarchy_depth,field_total,field_life_sciencesa,field_physical_sciences_and_earth_sciences,field_mathematics_and_computer_sciences,field_psychology_and_social_sciences,field_engineering,field_education,field_humanities_and_arts,field_otherb
2835,r001,Cumulative debt,Cumulative debt,,,1,"['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']"
2835,r002,Cumulative debt -> Mean,Cumulative debt,Mean,,2,"['$26,137', '']","['$23,865', '']","['$14,911', '']","['$10,686', '']","['$43,439', '']","['$12,081', '']","['$47,672', '']","['$33,729', '']","['$35,338', '']"
2835,r003,Cumulative debt -> ,Cumulative debt,,,2,"['Number', 'Percent']","['Number', 'Percent']","['Number', 'Percent']","['Number', 'Percent']","['Number', 'Percent']","['Number', 'Percent']","['Number', 'Percent']","['Number', 'Percent']","['Number', 'Percent']"
2835,r004,Cumulative debt -> No debt,Cumulative debt,No debt,,2,"['29,461', '57.9']","['6,748', '56.5']","['4,005', '65.2']","['2,941', '75.4']","['3,712', '45.8']","['6,731', '71.2']","['1,784', '42.4']","['2,137', '47.4']","['1,403', '53.5']"
2835,r005,"Cumulative debt -> $10,000 or less",Cumulative debt,"$10,000 or less",,2,"['3,853', '7.6']","['997', '8.4']","['472', '7.7']","['258', '6.6']","['541', '6.7']","['750', '7.9']","['264', '6.3']","['402', '8.9']","['169', '6.4']"
2835,r006,"Cumulative debt -> $10,001&#8211;$20,000",Cumulative debt,"$10,001&#8211;$20,000",,2,"['3,024', '5.9']","['813', '6.8']","['393', '6.4']","['157', '4.0']","['494', '6.1']","['505', '5.3']","['209', '5.0']","['305', '6.8']","['148', '5.6']"
2835,r007,"Cumulative debt -> $20,001&#8211;$30,000",Cumulative debt,"$20,001&#8211;$30,000",,2,"['2,367', '4.7']","['630', '5.3']","['327', '5.3']","['127', '3.3']","['377', '4.7']","['344', '3.6']","['200', '4.8']","['261', '5.8']","['101', '3.9']"
2835,r008,"Cumulative debt -> $30,001&#8211;$40,000",Cumulative debt,"$30,001&#8211;$40,000",,2,"['1,729', '3.4']","['480', '4.0']","['219', '3.6']","['91', '2.3']","['303', '3.7']","['213', '2.3']","['155', '3.7']","['183', '4.1']","['85', '3.2']"
2835,r009,"Cumulative debt -> $40,001&#8211;$50,000",Cumulative debt,"$40,001&#8211;$50,000",,2,"['1,336', '2.6']","['347', '2.9']","['139', '2.3']","['51', '1.3']","['247', '3.1']","['167', '1.8']","['161', '3.8']","['154', '3.4']","['70', '2.7']"
2835,r010,"Cumulative debt -> $50,001&#8211;$60,000",Cumulative debt,"$50,001&#8211;$60,000",,2,"['1,050', '2.1']","['251', '2.1']","['96', '1.6']","['48', '1.2']","['213', '2.6']","['128', '1.4']","['128', '3.0']","['116', '2.6']","['70', '2.7']"
2835,r011,"Cumulative debt -> $60,001&#8211;$70,000",Cumulative debt,"$60,001&#8211;$70,000",,2,"['981', '1.9']","['236', '2.0']","['84', '1.4']","['36', '0.9']","['220', '2.7']","['96', '1.0']","['136', '3.2']","['125', '2.8']","['48', '1.8']"
2835,r012,"Cumulative debt -> $70,001&#8211;$80,000",Cumulative debt,"$70,001&#8211;$80,000",,2,"['789', '1.6']","['175', '1.5']","['67', '1.1']","['28', '0.7']","['176', '2.2']","['80', '0.8']","['108', '2.6']","['100', '2.2']","['55', '2.1']"
2835,r013,"Cumulative debt -> $80,001&#8211;$90,000",Cumulative debt,"$80,001&#8211;$90,000",,2,"['777', '1.5']","['193', '1.6']","['63', '1.0']","['31', '0.8']","['167', '2.1']","['64', '0.7']","['127', '3.0']","['85', '1.9']","['47', '1.8']"
2835,r014,"Cumulative debt -> $90,001&#8211;$100,000",Cumulative debt,"$90,001&#8211;$100,000",,2,"['998', '2.0']","['224', '1.9']","['83', '1.4']","['33', '0.8']","['254', '3.1']","['103', '1.1']","['126', '3.0']","['118', '2.6']","['57', '2.2']"
2835,r015,"Cumulative debt -> $100,001&#8211;$120,000",Cumulative debt,"$100,001&#8211;$120,000",,2,"['1,045', '2.1']","['223', '1.9']","['60', '1.0']","['25', '0.6']","['277', '3.4']","['67', '0.7']","['183', '4.3']","['126', '2.8']","['84', '3.2']"
2835,r016,"Cumulative debt -> $120,001&#8211;$140,000",Cumulative debt,"$120,001&#8211;$140,000",,2,"['753', '1.5']","['134', '1.1']","['30', '0.5']","['15', '0.4']","['227', '2.8']","['44', '0.5']","['143', '3.4']","['94', '2.1']","['66', '2.5']"
2835,r017,"Cumulative debt -> $140,001&#8211;$160,000",Cumulative debt,"$140,001&#8211;$160,000",,2,"['584', '1.1']","['95', '0.8']","['22', '0.4']","['20', '0.5']","['167', '2.1']","['35', '0.4']","['122', '2.9']","['79', '1.8']","['44', '1.7']"
2835,r018,"Cumulative debt -> $160,001 or more",Cumulative debt,"$160,001 or more",,2,"['2,124', '4.2']","['394', '3.3']","['80', '1.3']","['40', '1.0']","['721', '8.9']","['122', '1.3']","['364', '8.6']","['228', '5.1']","['175', '6.7']"
2835,r019,Cumulative debt -> Total,Cumulative debt,Total,,2,"['50,871', '100.0']","['11,940', '100.0']","['6,140', '100.0']","['3,901', '100.0']","['8,096', '100.0']","['9,449', '100.0']","['4,210', '100.0']","['4,513', '100.0']","['2,622', '100.0']"
2835,r020,Cumulative debt -> Graduate debt,Cumulative debt,Graduate debt,,2,"['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']"
2835,r021,Cumulative debt -> Graduate debt -> Mean,Cumulative debt,Graduate debt,Mean,3,"['$17,673', '']","['$14,414', '']","['$6,428', '']","['$6,509', '']","['$32,600', '']","['$7,064', '']","['$36,184', '']","['$23,778', '']","['$27,359', '']"
2835,r022,Cumulative debt -> Graduate debt -> ,Cumulative debt,Graduate debt,,3,"['Number', 'Percent']","['Number', 'Percent']","['Number', 'Percent']","['Number', 'Percent']","['Number', 'Percent']","['Number', 'Percent']","['Number', 'Percent']","['Number', 'Percent']","['Number', 'Percent']"
2835,r023,Cumulative debt -> Graduate debt -> No debt,Cumulative debt,Graduate debt,No debt,3,"['34,746', '68.4']","['8,504', '71.3']","['5,026', '82.0']","['3,255', '83.6']","['4,349', '53.8']","['7,575', '80.3']","['1,977', '47.0']","['2,562', '56.9']","['1,498', '57.2']"
2835,r024,"Cumulative debt -> Graduate debt -> $10,000 or less",Cumulative debt,Graduate debt,"$10,000 or less",3,"['3,481', '6.9']","['841', '7.1']","['395', '6.4']","['210', '5.4']","['557', '6.9']","['639', '6.8']","['267', '6.4']","['402', '8.9']","['170', '6.5']"
2835,r025,"Cumulative debt -> Graduate debt -> $10,001&#8211;$20,000",Cumulative debt,Graduate debt,"$10,001&#8211;$20,000",3,"['2,222', '4.4']","['511', '4.3']","['196', '3.2']","['106', '2.7']","['400', '4.9']","['377', '4.0']","['208', '5.0']","['282', '6.3']","['142', '5.4']"
