table_id,row_id,industry_and_company_size_full_path,industry_and_company_size_level_1,industry_and_company_size_level_2,industry_and_company_size_level_3,industry_and_company_size_level_4,industry_and_company_size_level_5,industry_and_company_size_hierarchy_depth,field_naics_code,field_total_employment,field_total_r_d_employment,field_researchersa_total,field_researchersa_with_phd,field_r_d_technicians_and_equivalent_staff,field_other_r_d_supporting_staff
6662,r001,All industries,All industries,,,,,1,"21–23, 31–33, 42–81","['21,213', '']","['1,832', '']","['1,232', '']","['130', '']","['426', '']","['174', '']"
6662,r002,All industries -> Manufacturing industries,All industries,Manufacturing industries,,,,2,31–33,"['10,100', '']","['962', '']","['652', '']","['79', '']","['206', '']","['105', '']"
6662,r003,All industries -> Manufacturing industries -> Food,All industries,Manufacturing industries,Food,,,3,311,"['985', '']","['23', '']","['12', '']","['2', 'i']","['6', '']","['4', '']"
6662,r004,All industries -> Manufacturing industries -> Beverage and tobacco products,All industries,Manufacturing industries,Beverage and tobacco products,,,3,312,"['391', '']","['6', '']","['3', '']","['1', '']","['2', '']","['1', '']"
6662,r005,"All industries -> Manufacturing industries -> Textile, apparel, and leather products",All industries,Manufacturing industries,"Textile, apparel, and leather products",,,3,313–16,"['220', '']","['7', '']","['3', '']","['1', '']","['3', '']","['1', '']"
6662,r006,All industries -> Manufacturing industries -> Wood products,All industries,Manufacturing industries,Wood products,,,3,321,"['105', '']","['3', '']","['1', '']","['*', '']","['1', '']","['*', '']"
6662,r007,All industries -> Manufacturing industries -> Paper,All industries,Manufacturing industries,Paper,,,3,322,"['193', '']","['5', '']","['4', '']","['*', '']","['2', '']","['*', '']"
6662,r008,All industries -> Manufacturing industries -> Printing and related support activities,All industries,Manufacturing industries,Printing and related support activities,,,3,323,"['262', 'i']","['5', 'i']","['3', 'i']","['*', 'i']","['1', 'i']","['1', '']"
6662,r009,All industries -> Manufacturing industries -> Petroleum and coal products,All industries,Manufacturing industries,Petroleum and coal products,,,3,324,"['91', '']","['6', '']","['1', '']","['*', '']","['4', '']","['1', '']"
6662,r010,All industries -> Manufacturing industries -> Chemicals,All industries,Manufacturing industries,Chemicals,,,3,325,"['1,451', '']","['186', '']","['127', '']","['34', '']","['33', '']","['26', '']"
6662,r011,All industries -> Manufacturing industries -> Chemicals -> Basic chemicals,All industries,Manufacturing industries,Chemicals,Basic chemicals,,4,3251,"['246', '']","['12', '']","['7', '']","['3', '']","['4', '']","['1', '']"
6662,r012,"All industries -> Manufacturing industries -> Chemicals -> Resin, synthetic rubber, and artificial synthetic fibers and filaments",All industries,Manufacturing industries,Chemicals,"Resin, synthetic rubber, and artificial synthetic fibers and filaments",,4,3252,"['83', '']","['6', '']","['4', '']","['1', '']","['1', '']","['*', '']"
6662,r013,"All industries -> Manufacturing industries -> Chemicals -> Pesticide, fertilizer, and other agricultural chemicals",All industries,Manufacturing industries,Chemicals,"Pesticide, fertilizer, and other agricultural chemicals",,4,3253,"['69', '']","['7', '']","['4', '']","['1', '']","['2', '']","['1', '']"
6662,r014,All industries -> Manufacturing industries -> Chemicals -> Pharmaceuticals and medicines,All industries,Manufacturing industries,Chemicals,Pharmaceuticals and medicines,,4,3254,"['648', '']","['139', '']","['95', '']","['27', '']","['22', '']","['21', '']"
6662,r015,"All industries -> Manufacturing industries -> Chemicals -> Soap, cleaning compound, and toilet preparation",All industries,Manufacturing industries,Chemicals,"Soap, cleaning compound, and toilet preparation",,4,3256,"['245', '']","['11', '']","['9', '']","['1', '']","['1', '']","['1', '']"
6662,r016,"All industries -> Manufacturing industries -> Chemicals -> Paint, coating, adhesive, and other chemicals",All industries,Manufacturing industries,Chemicals,"Paint, coating, adhesive, and other chemicals",,4,"3255, 3259","['160', '']","['10', '']","['7', '']","['1', '']","['2', '']","['1', '']"
6662,r017,All industries -> Manufacturing industries -> Plastics and rubber products,All industries,Manufacturing industries,Plastics and rubber products,,,3,326,"['495', '']","['25', '']","['11', '']","['1', '']","['10', '']","['3', '']"
6662,r018,All industries -> Manufacturing industries -> Nonmetallic mineral products,All industries,Manufacturing industries,Nonmetallic mineral products,,,3,327,"['139', '']","['7', 'i']","['4', 'i']","['*', 'i']","['1', 'i']","['1', '']"
6662,r019,All industries -> Manufacturing industries -> Primary metals,All industries,Manufacturing industries,Primary metals,,,3,331,"['216', '']","['8', '']","['2', '']","['*', '']","['2', '']","['3', '']"
6662,r020,All industries -> Manufacturing industries -> Fabricated metal products,All industries,Manufacturing industries,Fabricated metal products,,,3,332,"['387', '']","['34', '']","['14', '']","['*', '']","['14', '']","['6', '']"
6662,r021,All industries -> Manufacturing industries -> Machinery,All industries,Manufacturing industries,Machinery,,,3,333,"['869', '']","['95', '']","['62', '']","['4', '']","['25', '']","['8', '']"
6662,r022,All industries -> Manufacturing industries -> Machinery -> Agricultural implement,All industries,Manufacturing industries,Machinery,Agricultural implement,,4,33311,"['100', '']","['13', '']","['8', '']","['*', '']","['4', '']","['1', '']"
6662,r023,All industries -> Manufacturing industries -> Machinery -> Semiconductor machinery,All industries,Manufacturing industries,Machinery,Semiconductor machinery,,4,333242,"['37', '']","['12', '']","['10', '']","['2', '']","['2', '']","['1', '']"
6662,r024,"All industries -> Manufacturing industries -> Machinery -> Engine, turbine, and power transmission equipment",All industries,Manufacturing industries,Machinery,"Engine, turbine, and power transmission equipment",,4,3336,"['79', '']","['7', '']","['5', '']","['*', '']","['1', '']","['*', '']"
6662,r025,All industries -> Manufacturing industries -> Machinery -> Other machinery,All industries,Manufacturing industries,Machinery,Other machinery,,4,other 333,"['654', '']","['63', '']","['39', '']","['2', 'i']","['17', '']","['6', '']"
6662,r026,All industries -> Manufacturing industries -> Computer and electronic products,All industries,Manufacturing industries,Computer and electronic products,,,3,334,"['1,167', '']","['264', '']","['210', '']","['22', 'i']","['35', '']","['19', '']"
6662,r027,All industries -> Manufacturing industries -> Computer and electronic products -> Communications equipment,All industries,Manufacturing industries,Computer and electronic products,Communications equipment,,4,3342,"['151', '']","['40', '']","['31', '']","['1', '']","['6', '']","['3', '']"
6662,r028,All industries -> Manufacturing industries -> Computer and electronic products -> Semiconductor and other electronic components,All industries,Manufacturing industries,Computer and electronic products,Semiconductor and other electronic components,,4,3344,"['309', '']","['95', '']","['80', '']","['10', 'i']","['10', '']","['5', '']"
6662,r029,"All industries -> Manufacturing industries -> Computer and electronic products -> Navigational, measuring, electromedical, and control instruments",All industries,Manufacturing industries,Computer and electronic products,"Navigational, measuring, electromedical, and control instruments",,4,3345,"['485', '']","['75', '']","['56', 'i']","['5', '']","['14', 'i']","['5', 'i']"
6662,r030,"All industries -> Manufacturing industries -> Computer and electronic products -> Navigational, measuring, electromedical, and control instruments -> Electromedical, electrotherapeutic, and irradiation apparatus",All industries,Manufacturing industries,Computer and electronic products,"Navigational, measuring, electromedical, and control instruments","Electromedical, electrotherapeutic, and irradiation apparatus",5,"334510, 334517","['96', '']","['16', 'i']","['12', 'i']","['1', 'i']","['3', 'i']","['1', 'i']"
6662,r031,"All industries -> Manufacturing industries -> Computer and electronic products -> Navigational, measuring, electromedical, and control instruments -> Search, detection, navigation, guidance, aeronautical, and nautical system and instrument",All industries,Manufacturing industries,Computer and electronic products,"Navigational, measuring, electromedical, and control instruments","Search, detection, navigation, guidance, aeronautical, and nautical system and instrument",5,334511,"['205', '']","['33', '']","['26', 'i']","['2', '']","['5', '']","['2', 'i']"
6662,r032,"All industries -> Manufacturing industries -> Computer and electronic products -> Navigational, measuring, electromedical, and control instruments -> Other measuring and controlling device",All industries,Manufacturing industries,Computer and electronic products,"Navigational, measuring, electromedical, and control instruments",Other measuring and controlling device,5,other 3345,"['185', '']","['26', '']","['18', '']","['3', '']","['6', '']","['2', '']"
6662,r033,All industries -> Manufacturing industries -> Computer and electronic products -> Other computer and electronic products,All industries,Manufacturing industries,Computer and electronic products,Other computer and electronic products,,4,other 334,"['221', '']","['54', '']","['43', '']","['5', 'i']","['5', 'i']","['5', '']"
