table_id,row_id,broad_and_major_fields_cycle_2023_data_tables_,trend_broad_and_major_fields_cycle_2023_data_tables_,historical_broad_and_major_fields_cycles_2021_22_data_tables_
11754,r001,"['All fields', 'Level']","['All fields', 'Level']","['All fields', 'Level']"
11754,r002,"['All fields -> Science and engineering', 'Area']","['Science and engineering', 'Area']","['na', 'Area']"
11754,r003,"['All fields -> na', '-']","['na', '-']","['Life sciences', 'Broad']"
11754,r004,"['All fields -> na -> Agricultural sciences and natural resources', 'Broad']","['Agricultural sciences and natural resources<sup>a</sup>', 'Broad']","['Agricultural sciences and natural resources', 'Major']"
11754,r005,"['All fields -> na -> Agricultural sciences and natural resources -> Agricultural, animal, plant, and veterinary sciences', 'Major']","['Agricultural sciences<sup>a</sup>', 'Major']","['na', '-']"
11754,r006,"['All fields -> na -> Agricultural sciences and natural resources -> Natural resources and conservation', 'Major']","['Natural resources and conservation', 'Major']","['na', '-']"
11754,r007,"['All fields -> na -> Biological and biomedical sciences', 'Broad']","['Biological and biomedical sciences', 'Broad']","['Biological and biomedical sciences', 'Major']"
11754,r008,"['All fields -> na -> Biological and biomedical sciences -> Biochemistry, biophysics, and molecular biology', 'Major']","['Biochemistry and biophysics', 'Major']","['na', '-']"
11754,r009,"['All fields -> na -> Biological and biomedical sciences -> Bioinformatics, biostatistics, and computational biology', 'Major']","['Bioinformatics, biostatistics, and computational biology', 'Major']","['na', '-']"
11754,r010,"['All fields -> na -> Biological and biomedical sciences -> Biological and biomedical sciences, general', 'Major']","['Biology and biomedical sciences, general', 'Major']","['na', '-']"
11754,r011,"['All fields -> na -> Biological and biomedical sciences -> Cell/ cellular biology and anatomy', 'Major']","['Cellular and developmental biology, and anatomy', 'Major']","['na', '-']"
11754,r012,"['All fields -> na -> Biological and biomedical sciences -> Ecology, evolutionary biology, and epidemiology', 'Major']","['Ecology, evolutionary biology, and epidemiology', 'Major']","['na', '-']"
11754,r013,"['All fields -> na -> Biological and biomedical sciences -> Genetics and genomics', 'Major']","['Genetics and genomics', 'Major']","['na', '-']"
11754,r014,"['All fields -> na -> Biological and biomedical sciences -> Microbiology and immunology', 'Major']","['Microbiology and immunology', 'Major']","['na', '-']"
11754,r015,"['All fields -> na -> Biological and biomedical sciences -> na', '-']","['Molecular biology', 'Major']","['na', '-']"
11754,r016,"['All fields -> na -> Biological and biomedical sciences -> Neurobiology and neurosciences', 'Major']","['Neurobiology and neurosciences', 'Major']","['na', '-']"
11754,r017,"['All fields -> na -> Biological and biomedical sciences -> Pharmacology and toxicology', 'Major']","['Pharmacology and toxicology', 'Major']","['na', '-']"
11754,r018,"['All fields -> na -> Biological and biomedical sciences -> Physiology, oncology, and cancer biology', 'Major']","['Physiology, pathology, and cancer biology', 'Major']","['na', '-']"
11754,r019,"['All fields -> na -> Biological and biomedical sciences -> Biological and biomedical sciences, other', 'Major']","['Biology and biomedical sciences, other', 'Major']","['na', '-']"
11754,r020,"['All fields -> na -> Computer and information sciences', 'Broad']","['Computer and information sciences', 'Broad']","['Computer and information sciences', 'Major']"
11754,r021,"['All fields -> na -> Computer and information sciences -> Computer science', 'Major']","['Computer science', 'Major']","['na', '-']"
11754,r022,"['All fields -> na -> Computer and information sciences -> Computer and information sciences, other', 'Major']","['Computer and information sciences, other', 'Major']","['na', '-']"
11754,r023,"['All fields -> na -> Engineering', 'Broad']","['Engineering', 'Broad']","['Engineering', 'Broad']"
11754,r024,"['All fields -> na -> Engineering -> Aerospace, aeronautical, astronautical and space engineering', 'Major']","['Aerospace, aeronautical, and astronautical engineering', 'Major']","['Aerospace, aeronautical, and astronautical engineering', 'Major']"
11754,r025,"['All fields -> na -> Engineering -> Biological, biomedical, and biosystems engineering', 'Major']","['Bioengineering and biomedical engineering', 'Major']","['Bioengineering and biomedical engineering', 'Major']"
11754,r026,"['All fields -> na -> Engineering -> Chemical and petroleum engineering', 'Major']","['Chemical and petroleum engineering', 'Major']","['Chemical engineering', 'Major']"
11754,r027,"['All fields -> na -> Engineering -> Civil, environmental, and transportation engineering', 'Major']","['Civil, environmental, and transportation engineering', 'Major']","['Civil engineering', 'Major']"
