table_id,row_id,_b_detailed_field_b_full_path,_b_detailed_field_b_level_1,_b_detailed_field_b_level_2,_b_detailed_field_b_level_3,_b_detailed_field_b_level_4,_b_detailed_field_b_hierarchy_depth,field_total_number,field_total_percent,field_hispanic_or_latino_number,field_hispanic_or_latino_percent,field_not_hispanic_or_latino_american_indian_or_alaska_native_number,field_not_hispanic_or_latino_american_indian_or_alaska_native_percent,field_not_hispanic_or_latino_asian_number,field_not_hispanic_or_latino_asian_percent,field_not_hispanic_or_latino_black_or_african_american_number,field_not_hispanic_or_latino_black_or_african_american_percent,field_not_hispanic_or_latino_native_hawaiian_or_other_pacific_islander_number,field_not_hispanic_or_latino_native_hawaiian_or_other_pacific_islander_percent,field_not_hispanic_or_latino_white_number,field_not_hispanic_or_latino_white_percent,field_not_hispanic_or_latino_more_than_one_race_number,field_not_hispanic_or_latino_more_than_one_race_percent,field_unknown_ethnicity_and_race_number,field_unknown_ethnicity_and_race_percent,field_temporary_visa_holders_number,field_temporary_visa_holders_percent
3521,r001,All detailed fields,All detailed fields,,,,1,690117,100.0,54467,100.0,2077,100.0,48844,100.0,38048,100.0,744,100.0,272545,100.0,15613,100.0,24166,100.0,233613,100.0
3521,r002,All detailed fields -> Science,All detailed fields,Science,,,2,453691,65.7,38193,70.1,1526,73.5,31482,64.5,26450,69.5,542,72.8,186405,68.4,10902,69.8,16868,69.8,141323,60.5
3521,r003,All detailed fields -> Science -> Agricultural sciences,All detailed fields,Science,Agricultural sciences,,3,9518,1.4,636,1.2,33,1.6,267,0.5,329,0.9,16,2.2,5003,1.8,186,1.2,181,0.7,2867,1.2
3521,r004,All detailed fields -> Science -> Biological and biomedical sciences,All detailed fields,Science,Biological and biomedical sciences,,3,91993,13.3,8450,15.5,276,13.3,8819,18.1,5270,13.9,147,19.8,43821,16.1,2630,16.8,3680,15.2,18900,8.1
3521,r005,All detailed fields -> Science -> Biological and biomedical sciences -> Biochemistry,All detailed fields,Science,Biological and biomedical sciences,Biochemistry,4,5342,0.8,516,0.9,10,0.5,456,0.9,189,0.5,7,0.9,2410,0.9,153,1.0,118,0.5,1483,0.6
3521,r006,All detailed fields -> Science -> Biological and biomedical sciences -> Biology ,All detailed fields,Science,Biological and biomedical sciences,Biology ,4,15801,2.3,1690,3.1,61,2.9,994,2.0,855,2.2,20,2.7,8531,3.1,455,2.9,479,2.0,2716,1.2
3521,r007,All detailed fields -> Science -> Biological and biomedical sciences -> Biomedical sciences,All detailed fields,Science,Biological and biomedical sciences,Biomedical sciences,4,9820,1.4,952,1.7,30,1.4,1380,2.8,1033,2.7,39,5.2,4073,1.5,320,2.0,586,2.4,1407,0.6
3521,r008,All detailed fields -> Science -> Biological and biomedical sciences -> Biophysics,All detailed fields,Science,Biological and biomedical sciences,Biophysics,4,897,0.1,71,0.1,1,0.05,93,0.2,19,0.05,0,0.0,368,0.1,18,0.1,37,0.2,290,0.1
3521,r009,All detailed fields -> Science -> Biological and biomedical sciences -> Biostatistics and bioinformatics ,All detailed fields,Science,Biological and biomedical sciences,Biostatistics and bioinformatics ,4,6228,0.9,267,0.5,7,0.3,760,1.6,173,0.5,5,0.7,1929,0.7,139,0.9,232,1.0,2716,1.2
3521,r010,All detailed fields -> Science -> Biological and biomedical sciences -> Biotechnology,All detailed fields,Science,Biological and biomedical sciences,Biotechnology,4,3255,0.5,307,0.6,2,0.1,447,0.9,336,0.9,5,0.7,1177,0.4,101,0.6,182,0.8,698,0.3
