table_id,row_id,business_activity_sup_a_sup_full_path,business_activity_sup_a_sup_level_1,business_activity_sup_a_sup_level_2,business_activity_sup_a_sup_hierarchy_depth,field_business_codeb,field_2008,field_2009,field_2010,field_2011,field_2012,field_2013,field_2014,field_2015,field_2016
1444,r001,All business activities,All business activities,,1,21100–81000,"['10,976,518', '  ']","['10,221,923', '&nbsp;']","['12,204,773', '&nbsp;']","['12,874,185', '&nbsp;']","['12,975,886', '&nbsp;']","['13,279,075', '&nbsp;']","['13,409,822', '&nbsp;']","['12,201,595', '  ']","['12,285,760', '&nbsp;']"
1444,r002,All business activities -> Oil and gas extraction,All business activities,Oil and gas extraction,2,21100,"['271,493', '  ']","['153,939', '&nbsp;']","['212,469', '&nbsp;']","['331,320', '&nbsp;']","['271,983', '&nbsp;']","['250,884', '&nbsp;']","['241,227', '&nbsp;']","['141,687', '  ']","['117,732', '&nbsp;']"
1444,r003,All business activities -> Mining,All business activities,Mining,2,21200,"['NA', '  ']","['D', '&nbsp;']","['38,302', '&nbsp;']","['57,661', '&nbsp;']","['43,857', '&nbsp;']","['54,531', '&nbsp;']","['D', '&nbsp;']","['D', '&nbsp;']","['28,755', '&nbsp;']"
1444,r004,"All business activities -> Support activities for mining, including oil and gas",All business activities,"Support activities for mining, including oil and gas",2,21300,"['NA', '  ']","['45,184', '&nbsp;']","['61,062', '&nbsp;']","['68,523', '&nbsp;']","['79,788', '&nbsp;']","['100,175', '&nbsp;']","['129,989', '&nbsp;']","['74,421', '  ']","['44,702', '&nbsp;']"
1444,r005,All business activities -> Utilities,All business activities,Utilities,2,22100,"['NA', '  ']","['317,243', '&nbsp;']","['310,768', '&nbsp;']","['348,763', '&nbsp;']","['318,893', '&nbsp;']","['324,150', '&nbsp;']","['356,225', '&nbsp;']","['346,925', '  ']","['306,761', '&nbsp;']"
1444,r006,All business activities -> Construction,All business activities,Construction,2,23000,"['NA', '  ']","['42,287', '&nbsp;']","['93,305', '&nbsp;']","['107,286', '&nbsp;']","['107,685', '&nbsp;']","['94,057', '&nbsp;']","['91,507', '&nbsp;']","['64,463', '  ']","['52,281', '&nbsp;']"
1444,r007,All business activities -> Food manufacturing,All business activities,Food manufacturing,2,31100,"['475,588', '  ']","['630,500', '&nbsp;']","['694,763', '&nbsp;']","['690,698', '&nbsp;']","['688,804', '&nbsp;']","['941,309', '&nbsp;']","['844,673', '&nbsp;']","['744,318', '  ']","['707,781', '&nbsp;']"
1444,r008,All business activities -> Beverages manufacturing,All business activities,Beverages manufacturing,2,31210,"['143,008', '  ']","['129,396', '&nbsp;']","['141,259', '&nbsp;']","['180,153', '&nbsp;']","['167,003', '&nbsp;']","['164,270', '&nbsp;']","['166,544', '&nbsp;']","['170,059', '  ']","['155,463', '&nbsp;']"
1444,r009,All business activities -> Tobacco manufacturing,All business activities,Tobacco manufacturing,2,31220,"['28,970', '  ']","['134,972', '&nbsp;']","['133,993', '&nbsp;']","['140,998', '&nbsp;']","['130,759', '&nbsp;']","['69,191', '&nbsp;']","['D', '&nbsp;']","['D', '  ']","['65,022', '&nbsp;']"
1444,r010,"All business activities -> Textiles, apparel, and leather products manufacturing",All business activities,"Textiles, apparel, and leather products manufacturing",2,31990,"['NA', '  ']","['56,131', '&nbsp;']","['68,515', '&nbsp;']","['66,416', '&nbsp;']","['89,086', '&nbsp;']","['70,260', '&nbsp;']","['66,546', '&nbsp;']","['83,170', '  ']","['113,516', '&nbsp;']"
1444,r011,All business activities -> Wood products manufacturing,All business activities,Wood products manufacturing,2,32100,"['34,563', '  ']","['27,826', '&nbsp;']","['28,342', '&nbsp;']","['24,165', '&nbsp;']","['32,908', '&nbsp;']","['42,472', '&nbsp;']","['51,879', '&nbsp;']","['33,713', '  ']","['40,764', '&nbsp;']"
1444,r012,All business activities -> Paper manufacturing,All business activities,Paper manufacturing,2,32200,"['139,953', '  ']","['110,534', '&nbsp;']","['136,302', '&nbsp;']","['144,064', '&nbsp;']","['142,335', '&nbsp;']","['146,748', '&nbsp;']","['148,797', '&nbsp;']","['D', '  ']","['126,987', '&nbsp;']"
1444,r013,All business activities -> Printing and related support activities,All business activities,Printing and related support activities,2,32300,"['26,426', '  ']","['37,743', '&nbsp;']","['37,398', '&nbsp;']","['32,823', '&nbsp;']","['32,152', '&nbsp;']","['29,576', '&nbsp;']","['34,227', '&nbsp;']","['42,885', '  ']","['31,309', '&nbsp;']"
1444,r014,All business activities -> Petroleum refineries,All business activities,Petroleum refineries,2,32401,"['NA', '  ']","['NA', '&nbsp;']","['837,945', '&nbsp;']","['954,108', '&nbsp;']","['911,784', '&nbsp;']","['968,046', '&nbsp;']","['787,825', '&nbsp;']","['512,224', '  ']","['415,590', '&nbsp;']"
1444,r015,"All business activities -> Asphalt paving, roofing, and saturated materials manufacturing",All business activities,"Asphalt paving, roofing, and saturated materials manufacturing",2,32402,"['NA', '  ']","['NA', '&nbsp;']","['7,566', '&nbsp;']","['8,872', '&nbsp;']","['8,563', '&nbsp;']","['14,504', '&nbsp;']","['11,150', '&nbsp;']","['10,324', '  ']","['12,300', '&nbsp;']"
1444,r016,"All business activities -> Other petroleum and coal products manufacturing, including motor oil, hydraulic fluid, and charcoal",All business activities,"Other petroleum and coal products manufacturing, including motor oil, hydraulic fluid, and charcoal",2,32403,"['NA', '  ']","['NA', '&nbsp;']","['32,282', '&nbsp;']","['43,514', '&nbsp;']","['D', '&nbsp;']","['23,425', '&nbsp;']","['22,348', '&nbsp;']","['20,440', '  ']","['15,672', '&nbsp;']"
1444,r017,All business activities -> Basic chemicals manufacturing,All business activities,Basic chemicals manufacturing,2,32510,"['273,809', '  ']","['179,494', '&nbsp;']","['243,193', '&nbsp;']","['299,476', '&nbsp;']","['473,666', 'i']","['278,661', '&nbsp;']","['270,287', '&nbsp;']","['212,951', '  ']","['264,981', '&nbsp;']"
1444,r018,"All business activities -> Resins, synthetic rubber, and artificial synthetic fibers and filaments manufacturing",All business activities,"Resins, synthetic rubber, and artificial synthetic fibers and filaments manufacturing",2,32520,"['89,805', '  ']","['94,915', '&nbsp;']","['108,693', '&nbsp;']","['88,762', '&nbsp;']","['97,410', '&nbsp;']","['95,249', '&nbsp;']","['108,867', '&nbsp;']","['92,708', '  ']","['91,427', '&nbsp;']"
1444,r019,"All business activities -> Pesticides, fertilizers, and other agricultural chemicals manufacturing",All business activities,"Pesticides, fertilizers, and other agricultural chemicals manufacturing",2,32530,"['40,337', '  ']","['71,003', '&nbsp;']","['51,940', '&nbsp;']","['47,381', '&nbsp;']","['57,246', '&nbsp;']","['67,823', '&nbsp;']","['68,738', '&nbsp;']","['72,737', '  ']","['59,610', '&nbsp;']"
