table_id,row_id,_b_field_b_full_path,_b_field_b_level_1,_b_field_b_level_2,_b_field_b_level_3,_b_field_b_hierarchy_depth,field_2021
10279,r001,All fields,All fields,,,1,15586008
10279,r002,All fields -> Computer and information sciences,All fields,Computer and information sciences,,2,405887
10279,r003,"All fields -> Geosciences, atmospheric sciences, and ocean sciences",All fields,"Geosciences, atmospheric sciences, and ocean sciences",,2,547854
10279,r004,"All fields -> Geosciences, atmospheric sciences, and ocean sciences -> Atmospheric science and meteorology",All fields,"Geosciences, atmospheric sciences, and ocean sciences",Atmospheric science and meteorology,3,94218
10279,r005,"All fields -> Geosciences, atmospheric sciences, and ocean sciences -> Geological and earth sciences",All fields,"Geosciences, atmospheric sciences, and ocean sciences",Geological and earth sciences,3,44737
10279,r006,"All fields -> Geosciences, atmospheric sciences, and ocean sciences -> Ocean sciences and marine sciences",All fields,"Geosciences, atmospheric sciences, and ocean sciences",Ocean sciences and marine sciences,3,194331
10279,r007,"All fields -> Geosciences, atmospheric sciences, and ocean sciences -> Other geosciences, atmospheric sciences, and ocean sciences",All fields,"Geosciences, atmospheric sciences, and ocean sciences","Other geosciences, atmospheric sciences, and ocean sciences",3,214568
10279,r008,All fields -> Life sciences,All fields,Life sciences,,2,9587056
10279,r009,All fields -> Life sciences -> Agricultural sciences,All fields,Life sciences,Agricultural sciences,3,78053
10279,r010,All fields -> Life sciences -> Biological and biomedical sciences,All fields,Life sciences,Biological and biomedical sciences,3,5082447
10279,r011,All fields -> Life sciences -> Health sciences,All fields,Life sciences,Health sciences,3,3358231
10279,r012,All fields -> Life sciences -> Natural resources and conservation,All fields,Life sciences,Natural resources and conservation,3,12187
10279,r013,All fields -> Life sciences -> Other life sciences,All fields,Life sciences,Other life sciences,3,1056138
10279,r014,All fields -> Mathematics and statistics,All fields,Mathematics and statistics,,2,101455
10279,r015,All fields -> Physical sciences,All fields,Physical sciences,,2,191773
10279,r016,All fields -> Physical sciences -> Astronomy and astrophysics,All fields,Physical sciences,Astronomy and astrophysics,3,396
10279,r017,All fields -> Physical sciences -> Chemistry,All fields,Physical sciences,Chemistry,3,107616
10279,r018,All fields -> Physical sciences -> Materials science,All fields,Physical sciences,Materials science,3,17522
10279,r019,All fields -> Physical sciences -> Physics,All fields,Physical sciences,Physics,3,45063
10279,r020,All fields -> Physical sciences -> Other physical sciences,All fields,Physical sciences,Other physical sciences,3,21176
10279,r021,All fields -> Psychology,All fields,Psychology,,2,1176210
10279,r022,All fields -> Psychology -> Biological aspects,All fields,Psychology,Biological aspects,3,0
10279,r023,All fields -> Psychology -> Social aspects,All fields,Psychology,Social aspects,3,3201
10279,r024,All fields -> Psychology -> Other psychological sciences,All fields,Psychology,Other psychological sciences,3,1173010
10279,r025,All fields -> Social sciences,All fields,Social sciences,,2,383334
10279,r026,All fields -> Social sciences -> Anthropology,All fields,Social sciences,Anthropology,3,8009
10279,r027,All fields -> Social sciences -> Economics,All fields,Social sciences,Economics,3,52487
10279,r028,All fields -> Social sciences -> Political science and government,All fields,Social sciences,Political science and government,3,7491
10279,r029,"All fields -> Social sciences -> Sociology, demography, and population studies",All fields,Social sciences,"Sociology, demography, and population studies",3,36575
10279,r030,All fields -> Social sciences -> Other social sciences,All fields,Social sciences,Other social sciences,3,278772
10279,r031,All fields -> Engineering,All fields,Engineering,,2,1837098
10279,r032,"All fields -> Engineering -> Aerospace, aeronautical, and astronautical engineering",All fields,Engineering,"Aerospace, aeronautical, and astronautical engineering",3,66803
10279,r033,All fields -> Engineering -> Bioengineering and biomedical engineering,All fields,Engineering,Bioengineering and biomedical engineering,3,83989
10279,r034,All fields -> Engineering -> Chemical engineering,All fields,Engineering,Chemical engineering,3,129653
10279,r035,All fields -> Engineering -> Civil engineering,All fields,Engineering,Civil engineering,3,44178
10279,r036,"All fields -> Engineering -> Electrical, electronics, and communications engineering",All fields,Engineering,"Electrical, electronics, and communications engineering",3,98131
10279,r037,All fields -> Engineering -> Industrial and manufacturing engineering,All fields,Engineering,Industrial and manufacturing engineering,3,16223
10279,r038,All fields -> Engineering -> Mechanical engineering,All fields,Engineering,Mechanical engineering,3,56005
10279,r039,All fields -> Engineering -> Metallurgical and materials engineering,All fields,Engineering,Metallurgical and materials engineering,3,106046
10279,r040,All fields -> Engineering -> Other engineering,All fields,Engineering,Other engineering,3,1236069
10279,r041,All fields -> Other fields,All fields,Other fields,,2,1355341
10279,r042,All fields -> Other fields -> Business management and business administration,All fields,Other fields,Business management and business administration,3,52515
10279,r043,All fields -> Other fields -> Communication and communications technologies,All fields,Other fields,Communication and communications technologies,3,1812
10279,r044,All fields -> Other fields -> Education research,All fields,Other fields,Education research,3,422446
10279,r045,All fields -> Other fields -> Humanities,All fields,Other fields,Humanities,3,0.05
10279,r046,All fields -> Other fields -> Law,All fields,Other fields,Law,3,370
10279,r047,All fields -> Other fields -> Social work,All fields,Other fields,Social work,3,0
10279,r048,All fields -> Other fields -> Visual and performing arts,All fields,Other fields,Visual and performing arts,3,0
10279,r049,All fields -> Other fields -> All other fields,All fields,Other fields,All other fields,3,878164
