table_id,row_id,_b_state_or_location_b_full_path,_b_state_or_location_b_level_1,_b_state_or_location_b_level_2,_b_state_or_location_b_level_3,_b_state_or_location_b_hierarchy_depth,field_2014,field_2015,field_2016,field_2017,field_2018,field_2019,field_2020,field_2021,field_2022
10893,r001,All locations,All locations,,,1,127927,125846,113002,115508,125737,138170,162959,188861,189604
10893,r002,All locations -> Alabama,All locations,Alabama,,2,4484,4538,4354,8663,5174,5414,3070,3970,4087
10893,r003,All locations -> Alaska,All locations,Alaska,,2,137,208,212,280,300,334,279,323,273
10893,r004,All locations -> Arizona,All locations,Arizona,,2,1606,1644,1549,1199,1737,2001,1939,1675,2388
10893,r005,All locations -> Arkansas,All locations,Arkansas,,2,191,106,308,170,206,179,501,300,268
10893,r006,All locations -> California,All locations,California,,2,15799,15281,15756,15887,17237,19159,22464,22722,23272
10893,r007,All locations -> Colorado,All locations,Colorado,,2,3611,3506,4183,3396,4917,5268,5024,6292,4639
10893,r008,All locations -> Connecticut,All locations,Connecticut,,2,2287,2293,2366,2349,2568,2673,2566,2600,2642
10893,r009,All locations -> Delaware,All locations,Delaware,,2,130,108,142,169,162,163,222,307,341
10893,r010,All locations -> District of Columbia,All locations,District of Columbia,,2,3980,4222,4204,4867,6158,6228,16315,37464,33917
10893,r011,All locations -> Florida,All locations,Florida,,2,2448,2933,2782,2880,3179,3892,4061,4095,4250
10893,r012,All locations -> Georgia,All locations,Georgia,,2,1253,1182,1301,1285,1350,1504,1913,1654,1821
10893,r013,All locations -> Hawaii,All locations,Hawaii,,2,326,305,284,275,441,412,394,486,371
10893,r014,All locations -> Idaho,All locations,Idaho,,2,598,533,568,679,824,920,840,672,702
10893,r015,All locations -> Illinois,All locations,Illinois,,2,2369,2483,3922,2553,2911,2998,3209,3534,3469
10893,r016,All locations -> Indiana,All locations,Indiana,,2,771,678,719,690,781,894,1104,1081,1277
10893,r017,All locations -> Iowa,All locations,Iowa,,2,512,567,496,520,525,518,702,686,761
10893,r018,All locations -> Kansas,All locations,Kansas,,2,187,194,188,212,233,283,352,414,445
10893,r019,All locations -> Kentucky,All locations,Kentucky,,2,297,297,273,289,303,313,354,542,413
10893,r020,All locations -> Louisiana,All locations,Louisiana,,2,285,254,279,397,321,432,437,457,512
10893,r021,All locations -> Maine,All locations,Maine,,2,131,138,137,158,188,189,185,249,230
10893,r022,All locations -> Maryland,All locations,Maryland,,2,16890,16751,16640,15417,17779,16992,22736,17615,20259
10893,r023,All locations -> Massachusetts,All locations,Massachusetts,,2,6269,6055,5533,5238,6036,6838,8850,9570,8495
10893,r024,All locations -> Michigan,All locations,Michigan,,2,1853,1799,1796,1491,1630,2054,1925,2077,2390
10893,r025,All locations -> Minnesota,All locations,Minnesota,,2,947,817,859,986,1031,1029,1448,1146,1239
10893,r026,All locations -> Mississippi,All locations,Mississippi,,2,590,489,448,449,820,505,472,500,1150
10893,r027,All locations -> Missouri,All locations,Missouri,,2,1039,1296,1259,1604,1492,2375,2080,2059,1838
10893,r028,All locations -> Montana,All locations,Montana,,2,171,152,170,151,195,191,213,287,292
10893,r029,All locations -> Nebraska,All locations,Nebraska,,2,234,216,205,211,211,244,255,303,325
