table_id,row_id,industry_and_company_size_full_path,industry_and_company_size_level_1,industry_and_company_size_level_2,industry_and_company_size_level_3,industry_and_company_size_level_4,industry_and_company_size_level_5,industry_and_company_size_hierarchy_depth,field_naics_code,field_domestic_r_d_companies_number_a,field_domestic_r_d_amount,field_energy_companies_number_b,field_energy_amount,field_environmental_protection_companies_number_b,field_environmental_protection_amount
737,r001,All industries,All industries,,,,,1,"21–23, 31–33, 42–81",48789,"['296,677', '&nbsp;']","['10,099', 'i']","['20,486', '&nbsp;']","['3,688', 'i']","['7,481', '&nbsp;']"
737,r002,All industries -> Manufacturing industries,All industries,Manufacturing industries,,,,2,31–33,24944,"['195,792', '&nbsp;']","['6,113', 'i']","['14,539', '&nbsp;']","['2,561', 'i']","['6,434', '&nbsp;']"
737,r003,All industries -> Manufacturing industries -> Food,All industries,Manufacturing industries,Food,,,3,311,1307,"['4,644', '&nbsp;']","['7', '&nbsp;']","['12', '&nbsp;']","['12', 'i']","['15', '&nbsp;']"
737,r004,All industries -> Manufacturing industries -> Chemicals,All industries,Manufacturing industries,Chemicals,,,3,325,2689,"['58,769', '&nbsp;']","['544', 'i']","['689', '&nbsp;']","['369', 'i']","['436', '&nbsp;']"
737,r005,All industries -> Manufacturing industries -> Chemicals -> Basic chemicals,All industries,Manufacturing industries,Chemicals,Basic chemicals,,4,3251,307,"['2,574', '&nbsp;']","['136', 'i']","['425', '&nbsp;']","['109', 'i']","['234', '&nbsp;']"
737,r006,All industries -> Manufacturing industries -> Chemicals -> Pharmaceuticals and medicines,All industries,Manufacturing industries,Chemicals,Pharmaceuticals and medicines,,4,3254,728,"['50,242', '&nbsp;']","['3', '&nbsp;']","['10', '&nbsp;']","['5', '&nbsp;']","['12', '&nbsp;']"
737,r007,All industries -> Manufacturing industries -> Chemicals -> Other chemicals,All industries,Manufacturing industries,Chemicals,Other chemicals,,4,other 325,1656,"['5,952', '&nbsp;']","['405', 'i']","['254', '&nbsp;']","['255', 'i']","['190', '&nbsp;']"
737,r008,All industries -> Manufacturing industries -> Plastics and rubber products,All industries,Manufacturing industries,Plastics and rubber products,,,3,326,1329,"['2,390', '&nbsp;']","['364', 'i']","['114', 'i']","['157', 'i']","['65', 'i']"
737,r009,All industries -> Manufacturing industries -> Nonmetallic mineral products,All industries,Manufacturing industries,Nonmetallic mineral products,,,3,327,479,"['1,239', '&nbsp;']","['214', 'i']","['120', '&nbsp;']","['133', 'i']","['50', '&nbsp;']"
737,r010,All industries -> Manufacturing industries -> Fabricated metal products,All industries,Manufacturing industries,Fabricated metal products,,,3,332,3772,"['2,039', '&nbsp;']","['1,100', 'i']","['135', 'i']","['362', 'i']","['59', 'i']"
