table_id,row_id,budget_function_and_agency_full_path,budget_function_and_agency_level_1,budget_function_and_agency_level_2,budget_function_and_agency_level_3,budget_function_and_agency_level_4,budget_function_and_agency_level_5,budget_function_and_agency_hierarchy_depth,field_2020_actual,field_2021_preliminary,field_2022_proposed,field_2020_21_change_,field_2021_22_change_
5541,r001,R&D and R&D plant,R&D and R&D plant,,,,,1,2879,2899,3830,0.7,32.1
5541,r002,R&D and R&D plant -> Conservation and land management (302),R&D and R&D plant,Conservation and land management (302),,,,2,515,477,595,-7.4,24.7
5541,r003,R&D and R&D plant -> Conservation and land management (302) -> Department of the Interior<sup>a</sup>,R&D and R&D plant,Conservation and land management (302),Department of the Interior<sup>a</sup>,,,3,201,167,231,-16.9,38.3
5541,r004,R&D and R&D plant -> Conservation and land management (302) -> Department of Agriculture,R&D and R&D plant,Conservation and land management (302),Department of Agriculture,,,3,314,310,364,-1.3,17.4
5541,r005,R&D and R&D plant -> Conservation and land management (302) -> Department of Agriculture -> Forest Service<sup>b</sup>,R&D and R&D plant,Conservation and land management (302),Department of Agriculture,Forest Service<sup>b</sup>,,4,314,310,364,-1.3,17.4
5541,r006,R&D and R&D plant -> Pollution control and abatement (304),R&D and R&D plant,Pollution control and abatement (304),,,,2,521,527,599,1.1,13.6
5541,r007,R&D and R&D plant -> Pollution control and abatement (304) -> Environmental Protection Agency<sup>c</sup>,R&D and R&D plant,Pollution control and abatement (304),Environmental Protection Agency<sup>c</sup>,,,3,520,526,598,1.1,13.6
5541,r008,R&D and R&D plant -> Pollution control and abatement (304) -> Environmental Protection Agency<sup>c</sup> -> Oil spill response research,R&D and R&D plant,Pollution control and abatement (304),Environmental Protection Agency<sup>c</sup>,Oil spill response research,,4,1,1,1,-1.6,1.1
5541,r009,R&D and R&D plant -> Pollution control and abatement (304) -> Environmental Protection Agency<sup>c</sup> -> Science and technology,R&D and R&D plant,Pollution control and abatement (304),Environmental Protection Agency<sup>c</sup>,Science and technology,,4,489,494,566,1.2,14.4
5541,r010,R&D and R&D plant -> Pollution control and abatement (304) -> Environmental Protection Agency<sup>c</sup> -> Superfund,R&D and R&D plant,Pollution control and abatement (304),Environmental Protection Agency<sup>c</sup>,Superfund,,4,31,31,31,0.2,0.7
5541,r011,R&D and R&D plant -> Pollution control and abatement (304) -> Coast Guard (DHS),R&D and R&D plant,Pollution control and abatement (304),Coast Guard (DHS),,,3,1,1,1,0.0,0.0
5541,r012,R&D and R&D plant -> Recreational resources (303),R&D and R&D plant,Recreational resources (303),,,,2,28,28,34,0.0,21.4
5541,r013,R&D and R&D plant -> Recreational resources (303) -> National Park Service (DOI),R&D and R&D plant,Recreational resources (303),National Park Service (DOI),,,3,28,28,34,0.0,21.4
5541,r014,R&D and R&D plant -> Water resources (301),R&D and R&D plant,Water resources (301),,,,2,174,163,152,-6.3,-6.7
5541,r015,R&D and R&D plant -> Water resources (301) -> Army Corps of Engineers (DOD),R&D and R&D plant,Water resources (301),Army Corps of Engineers (DOD),,,3,30,30,30,0.0,0.0
5541,r016,R&D and R&D plant -> Water resources (301) -> Bureau of Reclamation (DOI),R&D and R&D plant,Water resources (301),Bureau of Reclamation (DOI),,,3,144,133,122,-7.6,-8.3
5541,r017,R&D and R&D plant -> Other natural resources (306),R&D and R&D plant,Other natural resources (306),,,,2,1641,1704,2451,3.8,43.8
