table_id,row_id,ffrdc_full_path,ffrdc_level_1,ffrdc_level_2,ffrdc_level_3,ffrdc_hierarchy_depth,field_total_2016,field_total_2017,field_total_2018,field_total_2019,field_federally_financed_2016,field_federally_financed_2017,field_federally_financed_2018,field_federally_financed_2019
2781,r001,All FFRDCs,All FFRDCs,,,1,"['19,219,702', ' ']","['20,038,307', ' ']","['21,171,529', ' ']","['22,737,500', ' ']","['18,855,593', ' ']","['19,667,804', ' ']","['20,770,388', ' ']","['22,338,855', ' ']"
2781,r002,All FFRDCs -> University-administered FFRDCs,All FFRDCs,University-administered FFRDCs,,2,"['5,669,908', ' ']","['6,155,252', ' ']","['6,715,338', ' ']","['6,946,262', ' ']","['5,529,238', ' ']","['6,013,003', ' ']","['6,560,094', ' ']","['6,796,696', ' ']"
2781,r003,All FFRDCs -> University-administered FFRDCs -> Ames Laboratory,All FFRDCs,University-administered FFRDCs,Ames Laboratory,3,"['46,886', '']","['53,527', '']","['36,858', '']","['33,612', '']","['46,190', '']","['52,830', '']","['35,696', '']","['33,211', '']"
2781,r004,All FFRDCs -> University-administered FFRDCs -> Argonne National Laboratory,All FFRDCs,University-administered FFRDCs,Argonne National Laboratory,3,"['733,377', '']","['723,824', '']","['777,246', '']","['810,693', '']","['704,100', '']","['690,234', '']","['747,349', '']","['787,513', '']"
2781,r005,All FFRDCs -> University-administered FFRDCs -> Fermi National Accelerator Laboratory,All FFRDCs,University-administered FFRDCs,Fermi National Accelerator Laboratory,3,"['323,507', '']","['320,516', '']","['328,419', '']","['334,258', '']","['322,196', '']","['319,559', '']","['327,630', '']","['333,460', '']"
2781,r006,All FFRDCs -> University-administered FFRDCs -> Jet Propulsion Laboratory,All FFRDCs,University-administered FFRDCs,Jet Propulsion Laboratory,3,"['1,852,369', '']","['2,324,826', '']","['2,733,908', '']","['2,709,063', '']","['1,852,369', '']","['2,324,826', '']","['2,733,908', '']","['2,709,063', '']"
2781,r007,All FFRDCs -> University-administered FFRDCs -> Lawrence Berkeley National Laboratory,All FFRDCs,University-administered FFRDCs,Lawrence Berkeley National Laboratory,3,"['797,831', '']","['813,267', '']","['832,457', '']","['872,237', '']","['741,250', '']","['755,899', '']","['769,839', '']","['807,967', '']"
2781,r008,All FFRDCs -> University-administered FFRDCs -> Lincoln Laboratory,All FFRDCs,University-administered FFRDCs,Lincoln Laboratory,3,"['949,138', '']","['969,090', '']","['1,013,320', '']","['1,103,870', '']","['942,049', '']","['963,584', '']","['1,001,849', '']","['1,084,953', '']"
2781,r009,All FFRDCs -> University-administered FFRDCs -> National Center for Atmospheric Research,All FFRDCs,University-administered FFRDCs,National Center for Atmospheric Research,3,"['177,422', '']","['171,551', '']","['158,260', '']","['199,476', '']","['155,584', '']","['151,138', '']","['139,532', '']","['187,615', '']"
2781,r010,All FFRDCs -> University-administered FFRDCs -> National Radio Astronomy Observatory,All FFRDCs,University-administered FFRDCs,National Radio Astronomy Observatory,3,"['90,411', '']","['91,720', '']","['100,691', '']","['101,901', '']","['87,649', '']","['89,791', '']","['98,642', '']","['99,881', '']"
2781,r011,All FFRDCs -> University-administered FFRDCs -> National Solar Observatory,All FFRDCs,University-administered FFRDCs,National Solar Observatory,3,"['12,783', '']","['11,841', '']","['14,733', '']","['15,931', '']","['11,821', '']","['11,833', '']","['14,027', '']","['15,892', '']"
2781,r012,All FFRDCs -> University-administered FFRDCs -> NSF&#8217;s National Optical-Infrared Astronomy Research Laboratory (NSF&#8217;s NOIRLab),All FFRDCs,University-administered FFRDCs,NSF&#8217;s National Optical-Infrared Astronomy Research Laboratory (NSF&#8217;s NOIRLab),3,"['24,917', '']","['25,906', '']","['33,874', '']","['38,262', '']","['21,890', '']","['22,479', '']","['24,172', '']","['28,760', '']"
2781,r013,All FFRDCs -> University-administered FFRDCs -> Princeton Plasma Physics Laboratory,All FFRDCs,University-administered FFRDCs,Princeton Plasma Physics Laboratory,3,"['82,246', '']","['81,444', '']","['82,435', '']","['91,271', '']","['81,187', '']","['81,123', '']","['82,057', '']","['91,119', '']"
2781,r014,All FFRDCs -> University-administered FFRDCs -> SLAC National Accelerator Laboratory,All FFRDCs,University-administered FFRDCs,SLAC National Accelerator Laboratory,3,"['313,031', '']","['327,453', '']","['341,615', '']","['368,938', '']","['300,207', '']","['311,686', '']","['326,587', '']","['352,527', '']"
2781,r015,All FFRDCs -> University-administered FFRDCs -> Software Engineering Institute,All FFRDCs,University-administered FFRDCs,Software Engineering Institute,3,"['145,981', '']","['132,967', '']","['142,891', '']","['140,954', '']","['145,725', '']","['132,870', '']","['142,877', '']","['140,940', '']"
