table_id,row_id,field_of_doctorate_full_path,field_of_doctorate_level_1,field_of_doctorate_level_2,field_of_doctorate_hierarchy_depth,field_all_positions,field_postdocs,field_non_postdocs
1613,r001,All SEH,All SEH,,1,74000,49000,86000
1613,r002,"All SEH -> Biological, agricultural, and environmental life sciences",All SEH,"Biological, agricultural, and environmental life sciences",2,54000,48000,72000
1613,r003,All SEH -> Computer and information sciences,All SEH,Computer and information sciences,2,129000,66000,130000
1613,r004,All SEH -> Mathematics and statistics,All SEH,Mathematics and statistics,2,88000,57000,99000
1613,r005,All SEH -> Physical sciences,All SEH,Physical sciences,2,70000,50000,84000
1613,r006,All SEH -> Psychology,All SEH,Psychology,2,66000,49000,70000
1613,r007,All SEH -> Social sciences,All SEH,Social sciences,2,70000,49000,72000
1613,r008,All SEH -> Engineering,All SEH,Engineering,2,95000,51000,100000
1613,r009,All SEH -> Health,All SEH,Health,2,76000,47000,85000
