table_id,row_id,_b_ffrdc_b_full_path,_b_ffrdc_b_level_1,_b_ffrdc_b_level_2,_b_ffrdc_b_level_3,_b_ffrdc_b_hierarchy_depth,field_total_2019,field_total_2020,field_total_2021,field_total_2022,field_federally_financed_2019,field_federally_financed_2020,field_federally_financed_2021,field_federally_financed_2022
9327,r021,All FFRDCs -> Nonprofit-administered FFRDCs -> Brookhaven National Laboratory,All FFRDCs,Nonprofit-administered FFRDCs,Brookhaven National Laboratory,3,"['590,470', '']","['595,466', '']","['637,658', '']","['655,988', '']","['561,030', '']","['569,925', '']","['620,000', '']","['639,527', '']"
9327,r022,All FFRDCs -> Nonprofit-administered FFRDCs -> Center for Advanced Aviation System Development,All FFRDCs,Nonprofit-administered FFRDCs,Center for Advanced Aviation System Development,3,"['174,123', '']","['180,634', '']","['230,484', '']","['189,490', '']","['152,539', '']","['163,497', '']","['207,828', '']","['164,992', '']"
9327,r023,All FFRDCs -> Nonprofit-administered FFRDCs -> Center for Communications and Computing,All FFRDCs,Nonprofit-administered FFRDCs,Center for Communications and Computing,3,"['68,371', '']","['67,072', '']","['65,255', '']","['74,759', '']","['68,371', '']","['67,072', '']","['65,255', '']","['74,759', '']"
9327,r024,All FFRDCs -> Nonprofit-administered FFRDCs -> Center for Enterprise Modernization,All FFRDCs,Nonprofit-administered FFRDCs,Center for Enterprise Modernization,3,"['174,712', '']","['190,408', '']","['263,661', '']","['235,436', '']","['173,127', '']","['190,408', '']","['263,661', '']","['235,317', '']"
9327,r025,All FFRDCs -> Nonprofit-administered FFRDCs -> Center for Naval Analyses,All FFRDCs,Nonprofit-administered FFRDCs,Center for Naval Analyses,3,"['96,697', '']","['95,874', '']","['96,391', '']","['93,567', '']","['96,697', '']","['95,874', '']","['96,391', '']","['93,567', '']"
9327,r026,All FFRDCs -> Nonprofit-administered FFRDCs -> Center for Nuclear Waste Regulatory Analyses,All FFRDCs,Nonprofit-administered FFRDCs,Center for Nuclear Waste Regulatory Analyses,3,"['6,987', '']","['6,762', '']","['5,630', '']","['4,323', '']","['6,340', '']","['6,359', '']","['5,233', '']","['3,595', '']"
9327,r027,All FFRDCs -> Nonprofit-administered FFRDCs -> CMS Alliance to Modernize Healthcare,All FFRDCs,Nonprofit-administered FFRDCs,CMS Alliance to Modernize Healthcare,3,"['213,369', '']","['228,162', '']","['348,269', '']","['286,693', '']","['213,369', '']","['228,162', '']","['348,269', '']","['286,693', '']"
9327,r028,All FFRDCs -> Nonprofit-administered FFRDCs -> Homeland Security Operational Analysis Center,All FFRDCs,Nonprofit-administered FFRDCs,Homeland Security Operational Analysis Center,3,"['54,751', '']","['44,736', '']","['34,888', '']","['52,984', '']","['54,751', '']","['44,736', '']","['34,888', '']","['52,984', '']"
9327,r029,All FFRDCs -> Nonprofit-administered FFRDCs -> Homeland Security Systems Engineering and Development Institute,All FFRDCs,Nonprofit-administered FFRDCs,Homeland Security Systems Engineering and Development Institute,3,"['115,813', '']","['136,874', '']","['183,588', '']","['183,261', '']","['115,813', '']","['135,713', '']","['182,413', '']","['181,702', '']"
9327,r030,All FFRDCs -> Nonprofit-administered FFRDCs -> Idaho National Laboratory,All FFRDCs,Nonprofit-administered FFRDCs,Idaho National Laboratory,3,"['478,324', '']","['494,094', '']","['516,691', '']","['637,579', '']","['463,588', '']","['481,146', '']","['503,977', '']","['630,446', '']"
