table_id,row_id,_b_institution_b_full_path,_b_institution_b_level_1,_b_institution_b_level_2,_b_institution_b_hierarchy_depth,field_rank,field_total_2018,field_total_2019,field_total_2020,field_total_2021,field_federally_financed_2018,field_federally_financed_2019,field_federally_financed_2020,field_federally_financed_2021
8001,r001,All institutions,All institutions,,1,-,"['12,363,648', '']","['13,214,628', '']","['13,707,821', '']","['14,293,487', '']","['7,093,674', '']","['7,668,193', '']","['8,121,089', '']","['8,714,829', '']"
8001,r002,All institutions -> Johns Hopkins U.<sup>a</sup>,All institutions,Johns Hopkins U.<sup>a</sup>,2,1,"['1,087,478', 'i']","['1,147,335', 'i']","['1,205,632', 'i']","['1,237,980', 'i']","['1,038,797', '']","['1,100,587', '']","['1,154,993', '']","['1,183,154', '']"
8001,r003,All institutions -> Georgia Institute of Technology,All institutions,Georgia Institute of Technology,2,2,"['613,650', '']","['664,695', '']","['695,176', '']","['839,071', '']","['466,780', '']","['506,061', '']","['537,693', '']","['666,235', '']"
8001,r004,"All institutions -> SUNY, Polytechnic Institute",All institutions,"SUNY, Polytechnic Institute",2,3,"['255,033', '']","['350,793', '']","['353,542', '']","['462,562', '']","['39,897', '']","['36,816', '']","['26,696', '']","['24,019', '']"
8001,r005,"All institutions -> Texas A&M U., College Station and Health Science Center",All institutions,"Texas A&M U., College Station and Health Science Center",2,4,"['300,956', '']","['321,373', '']","['357,559', '']","['385,656', '']","['70,000', '']","['77,456', '']","['95,138', '']","['123,286', '']"
8001,r006,All institutions -> Massachusetts Institute of Technology,All institutions,Massachusetts Institute of Technology,2,5,"['431,927', '']","['450,915', '']","['419,636', '']","['382,569', '']","['220,744', '']","['230,312', '']","['213,108', '']","['193,246', '']"
8001,r007,"All institutions -> Pennsylvania State U., University Park and Hershey Medical Center",All institutions,"Pennsylvania State U., University Park and Hershey Medical Center",2,6,"['325,002', '']","['350,391', '']","['367,730', '']","['378,667', '']","['244,868', '']","['258,324', '']","['277,345', '']","['284,244', '']"
8001,r008,"All institutions -> Purdue U., West Lafayette",All institutions,"Purdue U., West Lafayette",2,7,"['229,967', '']","['270,525', '']","['280,592', '']","['285,469', '']","['105,657', '']","['111,292', '']","['122,469', '']","['137,052', '']"
8001,r009,"All institutions -> U. Texas, Austin",All institutions,"U. Texas, Austin",2,8,"['242,963', '']","['249,788', '']","['259,935', '']","['279,730', '']","['154,761', '']","['160,506', '']","['175,426', '']","['194,110', '']"
8001,r010,"All institutions -> U. Michigan, Ann Arbor",All institutions,"U. Michigan, Ann Arbor",2,9,"['299,072', '']","['291,887', '']","['283,329', '']","['279,682', '']","['178,020', '']","['175,137', '']","['176,141', '']","['180,607', '']"
8001,r011,All institutions -> Utah State U.,All institutions,Utah State U.,2,10,"['140,407', '']","['202,345', '']","['226,616', '']","['247,332', '']","['124,950', '']","['183,794', '']","['206,998', '']","['228,986', '']"
8001,r012,All institutions -> Virginia Polytechnic Institute and State U.,All institutions,Virginia Polytechnic Institute and State U.,2,11,"['245,755', '']","['258,213', '']","['263,711', '']","['246,965', '']","['98,261', '']","['104,138', '']","['107,677', '']","['108,080', '']"
8001,r013,"All institutions -> U. Illinois, Urbana-Champaign",All institutions,"U. Illinois, Urbana-Champaign",2,12,"['195,413', '']","['201,028', '']","['203,564', '']","['216,233', '']","['126,826', '']","['130,075', '']","['131,529', '']","['139,887', '']"
8001,r014,"All institutions -> U. California, Berkeley",All institutions,"U. California, Berkeley",2,13,"['200,668', '']","['200,122', '']","['209,293', '']","['199,711', '']","['75,316', '']","['81,194', '']","['79,645', '']","['78,026', '']"
8001,r015,All institutions -> U. Dayton,All institutions,U. Dayton,2,14,"['139,036', '']","['157,016', '']","['153,082', '']","['180,158', '']","['127,079', '']","['146,841', '']","['145,508', '']","['171,865', '']"
8001,r016,All institutions -> U. Colorado Boulder,All institutions,U. Colorado Boulder,2,15,"['171,965', '']","['152,391', '']","['160,423', '']","['177,604', '']","['86,829', '']","['92,099', '']","['105,890', '']","['132,769', '']"
8001,r017,"All institutions -> U. California, San Diego",All institutions,"U. California, San Diego",2,16,"['150,596', '']","['172,919', '']","['182,495', '']","['177,564', '']","['73,246', '']","['88,846', '']","['97,602', '']","['100,212', '']"
8001,r018,All institutions -> North Carolina State U.,All institutions,North Carolina State U.,2,17,"['166,680', '']","['174,590', '']","['174,740', '']","['172,900', '']","['84,304', '']","['91,264', '']","['94,592', '']","['91,430', '']"
8001,r019,All institutions -> Ohio State U.,All institutions,Ohio State U.,2,18,"['183,646', '']","['177,518', '']","['175,109', '']","['163,509', '']","['84,724', '']","['85,547', '']","['85,038', '']","['88,435', '']"
8001,r020,"All institutions -> U. Washington, Seattle",All institutions,"U. Washington, Seattle",2,19,"['149,931', '']","['155,076', '']","['152,919', '']","['157,622', '']","['103,714', '']","['108,560', '']","['114,031', '']","['119,758', '']"
