table_id,row_id,industry_and_company_size_full_path,industry_and_company_size_level_1,industry_and_company_size_level_2,industry_and_company_size_level_3,industry_and_company_size_level_4,industry_and_company_size_level_5,industry_and_company_size_hierarchy_depth,field_naics_code,field_total_employment,field_total_r_d_employment,field_researchersa_total,field_researchersa_with_phd,field_r_d_technicians_and_equivalent_staff,field_other_r_d_supporting_staff
2745,r001,All industries,All industries,,,,,1,"21–23, 31–33, 42–81","['20,645', '  ']","['1,766', '  ']","['1,212', '  ']","['129', '  ']","['394', '  ']","['161', '  ']"
2745,r002,All industries -> Manufacturing industries,All industries,Manufacturing industries,,,,2,31–33,"['10,013', '  ']","['981', '  ']","['684', '  ']","['80', '  ']","['195', '  ']","['101', '  ']"
2745,r003,All industries -> Manufacturing industries -> Food,All industries,Manufacturing industries,Food,,,3,311,"['1,016', '  ']","['24', '  ']","['14', '  ']","['2', 'i ']","['6', '  ']","['4', '  ']"
2745,r004,All industries -> Manufacturing industries -> Beverage and tobacco products,All industries,Manufacturing industries,Beverage and tobacco products,,,3,312,"['441', '  ']","['6', '  ']","['4', '  ']","['1', '  ']","['2', '  ']","['1', '  ']"
2745,r005,"All industries -> Manufacturing industries -> Textile, apparel, and leather products",All industries,Manufacturing industries,"Textile, apparel, and leather products",,,3,313–16,"['257', '  ']","['8', '  ']","['3', '  ']","['1', '  ']","['3', '  ']","['2', '  ']"
2745,r006,All industries -> Manufacturing industries -> Wood products,All industries,Manufacturing industries,Wood products,,,3,321,"['81', '  ']","['3', '  ']","['1', '  ']","['*', '  ']","['1', '  ']","['*', '  ']"
2745,r007,All industries -> Manufacturing industries -> Paper,All industries,Manufacturing industries,Paper,,,3,322,"['192', '  ']","['6', '  ']","['4', '  ']","['*', '  ']","['1', '  ']","['1', '  ']"
2745,r008,All industries -> Manufacturing industries -> Printing and related support activities,All industries,Manufacturing industries,Printing and related support activities,,,3,323,"['114', '  ']","['3', '  ']","['1', '  ']","['*', '  ']","['1', '  ']","['1', '  ']"
2745,r009,All industries -> Manufacturing industries -> Petroleum and coal products,All industries,Manufacturing industries,Petroleum and coal products,,,3,324,"['108', '  ']","['7', '  ']","['1', '  ']","['*', '  ']","['4', '  ']","['1', '  ']"
2745,r010,All industries -> Manufacturing industries -> Chemicals,All industries,Manufacturing industries,Chemicals,,,3,325,"['1,383', '  ']","['189', '  ']","['131', '  ']","['33', '  ']","['36', '  ']","['21', '  ']"
2745,r011,All industries -> Manufacturing industries -> Chemicals -> Basic chemicals,All industries,Manufacturing industries,Chemicals,Basic chemicals,,4,3251,"['195', '  ']","['13', '  ']","['7', '  ']","['3', '  ']","['4', '  ']","['1', '  ']"
2745,r012,"All industries -> Manufacturing industries -> Chemicals -> Resin, synthetic rubber, and artificial synthetic fibers and filaments",All industries,Manufacturing industries,Chemicals,"Resin, synthetic rubber, and artificial synthetic fibers and filaments",,4,3252,"['82', '  ']","['7', '  ']","['5', '  ']","['2', '  ']","['2', '  ']","['1', '  ']"
2745,r013,"All industries -> Manufacturing industries -> Chemicals -> Pesticide, fertilizer, and other agricultural chemicals",All industries,Manufacturing industries,Chemicals,"Pesticide, fertilizer, and other agricultural chemicals",,4,3253,"['78', '  ']","['8', '  ']","['6', '  ']","['2', '  ']","['2', '  ']","['*', '  ']"
2745,r014,All industries -> Manufacturing industries -> Chemicals -> Pharmaceuticals and medicines,All industries,Manufacturing industries,Chemicals,Pharmaceuticals and medicines,,4,3254,"['624', '  ']","['138', '  ']","['98', '  ']","['24', '  ']","['23', '  ']","['17', '  ']"
2745,r015,"All industries -> Manufacturing industries -> Chemicals -> Soap, cleaning compound, and toilet preparation",All industries,Manufacturing industries,Chemicals,"Soap, cleaning compound, and toilet preparation",,4,3256,"['246', '  ']","['12', '  ']","['9', '  ']","['1', '  ']","['2', '  ']","['1', '  ']"
2745,r016,"All industries -> Manufacturing industries -> Chemicals -> Paint, coating, adhesive, and other chemicals",All industries,Manufacturing industries,Chemicals,"Paint, coating, adhesive, and other chemicals",,4,"3255, 3259","['158', '  ']","['11', '  ']","['7', '  ']","['1', '  ']","['3', '  ']","['1', '  ']"
2745,r017,All industries -> Manufacturing industries -> Plastics and rubber products,All industries,Manufacturing industries,Plastics and rubber products,,,3,326,"['423', '  ']","['25', '  ']","['12', '  ']","['1', 'i ']","['9', '  ']","['5', '  ']"
2745,r018,All industries -> Manufacturing industries -> Nonmetallic mineral products,All industries,Manufacturing industries,Nonmetallic mineral products,,,3,327,"['153', '  ']","['6', '  ']","['3', '  ']","['*', '  ']","['2', '  ']","['1', '  ']"
2745,r019,All industries -> Manufacturing industries -> Primary metals,All industries,Manufacturing industries,Primary metals,,,3,331,"['236', '  ']","['9', '  ']","['3', '  ']","['*', '  ']","['3', '  ']","['3', '  ']"
2745,r020,All industries -> Manufacturing industries -> Fabricated metal products,All industries,Manufacturing industries,Fabricated metal products,,,3,332,"['384', '  ']","['28', '  ']","['12', '  ']","['*', 'i ']","['10', '  ']","['7', '  ']"
2745,r021,All industries -> Manufacturing industries -> Machinery,All industries,Manufacturing industries,Machinery,,,3,333,"['902', '  ']","['93', '  ']","['61', '  ']","['4', '  ']","['24', '  ']","['8', '  ']"
2745,r022,All industries -> Manufacturing industries -> Machinery -> Agricultural implement,All industries,Manufacturing industries,Machinery,Agricultural implement,,4,33311,"['95', '  ']","['12', '  ']","['7', '  ']","['*', '  ']","['3', '  ']","['1', '  ']"
2745,r023,All industries -> Manufacturing industries -> Machinery -> Semiconductor machinery,All industries,Manufacturing industries,Machinery,Semiconductor machinery,,4,333242,"['32', '  ']","['11', '  ']","['9', '  ']","['1', '  ']","['2', '  ']","['*', '  ']"
2745,r024,"All industries -> Manufacturing industries -> Machinery -> Engine, turbine, and power transmission equipment",All industries,Manufacturing industries,Machinery,"Engine, turbine, and power transmission equipment",,4,3336,"['108', '  ']","['13', '  ']","['11', '  ']","['*', '  ']","['1', '  ']","['*', '  ']"
2745,r025,All industries -> Manufacturing industries -> Machinery -> Other machinery,All industries,Manufacturing industries,Machinery,Other machinery,,4,other 333,"['666', '  ']","['58', '  ']","['34', '  ']","['2', '  ']","['18', '  ']","['6', '  ']"
2745,r026,All industries -> Manufacturing industries -> Computer and electronic products,All industries,Manufacturing industries,Computer and electronic products,,,3,334,"['1,296', '  ']","['277', '  ']","['226', '  ']","['24', 'i ']","['33', '  ']","['18', '  ']"
2745,r027,All industries -> Manufacturing industries -> Computer and electronic products -> Communications equipment,All industries,Manufacturing industries,Computer and electronic products,Communications equipment,,4,3342,"['157', '  ']","['45', '  ']","['36', '  ']","['2', '  ']","['6', '  ']","['3', '  ']"
2745,r028,All industries -> Manufacturing industries -> Computer and electronic products -> Semiconductor and other electronic components,All industries,Manufacturing industries,Computer and electronic products,Semiconductor and other electronic components,,4,3344,"['358', '  ']","['100', '  ']","['86', 'i ']","['12', 'i ']","['10', '  ']","['4', 'i ']"
2745,r029,"All industries -> Manufacturing industries -> Computer and electronic products -> Navigational, measuring, electromedical, and control instruments",All industries,Manufacturing industries,Computer and electronic products,"Navigational, measuring, electromedical, and control instruments",,4,3345,"['500', '  ']","['73', '  ']","['56', '  ']","['6', '  ']","['12', '  ']","['4', '  ']"
2745,r030,"All industries -> Manufacturing industries -> Computer and electronic products -> Navigational, measuring, electromedical, and control instruments -> Electromedical, electrotherapeutic, and irradiation apparatus",All industries,Manufacturing industries,Computer and electronic products,"Navigational, measuring, electromedical, and control instruments","Electromedical, electrotherapeutic, and irradiation apparatus",5,"334510, 334517","['89', '  ']","['15', 'i ']","['11', '  ']","['2', 'i ']","['3', 'i ']","['1', 'i ']"
2745,r031,"All industries -> Manufacturing industries -> Computer and electronic products -> Navigational, measuring, electromedical, and control instruments -> Search, detection, navigation, guidance, aeronautical, and nautical system and instrument",All industries,Manufacturing industries,Computer and electronic products,"Navigational, measuring, electromedical, and control instruments","Search, detection, navigation, guidance, aeronautical, and nautical system and instrument",5,334511,"['220', '  ']","['33', '  ']","['26', '  ']","['1', '  ']","['5', '  ']","['2', '  ']"
