table_id,row_id,sex_and_field_of_highest_degree_full_path,sex_and_field_of_highest_degree_level_1,sex_and_field_of_highest_degree_level_2,sex_and_field_of_highest_degree_level_3,sex_and_field_of_highest_degree_level_4,sex_and_field_of_highest_degree_hierarchy_depth,field_total,field_hispanic_or_latino,field_not_hispanic_or_latino_american_indian_or_alaska_native,field_not_hispanic_or_latino_asian,field_not_hispanic_or_latino_black_or_african_american,field_not_hispanic_or_latino_native_hawaiian_or_other_pacific_islander,field_not_hispanic_or_latino_white,field_not_hispanic_or_latino_more_than_one_race,field_without_disability,field_with_disability,field_type_of_disability_hearing,field_type_of_disability_seeing,field_type_of_disability_walking,field_type_of_disability_lifting,field_type_of_disability_cognitive
7765,r001,"Both sexes, all fields","Both sexes, all fields",,,,1,7894000,692000,10000,1665000,399000,16000,4943000,169000,7006000,888000,290000,332000,82000,100000,326000
7765,r002,"Both sexes, all fields -> S&E fields","Both sexes, all fields",S&E fields,,,2,6059000,539000,7000,1409000,275000,13000,3683000,131000,5413000,645000,217000,249000,57000,69000,242000
7765,r003,"Both sexes, all fields -> S&E fields -> Biological, agricultural, and environmental life sciences","Both sexes, all fields",S&E fields,"Biological, agricultural, and environmental life sciences",,3,768000,71000,2000,132000,31000,S,514000,16000,681000,87000,27000,26000,8000,11000,36000
7765,r004,"Both sexes, all fields -> S&E fields -> Computer and mathematical sciences","Both sexes, all fields",S&E fields,Computer and mathematical sciences,,3,1795000,135000,2000,539000,110000,3000,960000,46000,1600000,195000,56000,80000,20000,24000,83000
7765,r005,"Both sexes, all fields -> S&E fields -> Physical and related sciences","Both sexes, all fields",S&E fields,Physical and related sciences,,3,461000,35000,S,88000,10000,,316000,11000,393000,68000,21000,29000,2000,S,22000
7765,r006,"Both sexes, all fields -> S&E fields -> Social and related sciences","Both sexes, all fields",S&E fields,Social and related sciences,,3,758000,85000,1000,59000,43000,2000,553000,17000,663000,96000,31000,27000,12000,10000,39000
7765,r007,"Both sexes, all fields -> S&E fields -> Engineering","Both sexes, all fields",S&E fields,Engineering,,3,2277000,214000,1000,592000,81000,6000,1341000,42000,2077000,200000,82000,86000,14000,19000,61000
7765,r008,"Both sexes, all fields -> S&E-related fields","Both sexes, all fields",S&E-related fields,,,2,439000,35000,,103000,30000,S,262000,5000,391000,48000,15000,19000,3000,4000,17000
7765,r009,"Both sexes, all fields -> Non-S&E fields","Both sexes, all fields",Non-S&E fields,,,2,1396000,117000,S,153000,93000,2000,998000,32000,1201000,195000,58000,64000,22000,27000,67000
7765,r010,"Both sexes, all fields -> Female","Both sexes, all fields",Female,,,2,2300000,206000,3000,511000,144000,5000,1386000,45000,2049000,251000,61000,98000,23000,35000,95000
7765,r011,"Both sexes, all fields -> Female -> S&E fields","Both sexes, all fields",Female,S&E fields,,3,1631000,154000,3000,429000,79000,4000,928000,34000,1465000,166000,41000,66000,12000,20000,64000
7765,r012,"Both sexes, all fields -> Female -> S&E fields -> Biological, agricultural, and environmental life sciences","Both sexes, all fields",Female,S&E fields,"Biological, agricultural, and environmental life sciences",4,352000,32000,2000,69000,16000,S,224000,9000,315000,37000,12000,11000,4000,3000,13000
