table_id,row_id,_b_sex_citizenship_ethnicity_and_race_b_full_path,_b_sex_citizenship_ethnicity_and_race_b_level_1,_b_sex_citizenship_ethnicity_and_race_b_level_2,_b_sex_citizenship_ethnicity_and_race_b_level_3,_b_sex_citizenship_ethnicity_and_race_b_level_4,_b_sex_citizenship_ethnicity_and_race_b_level_5,_b_sex_citizenship_ethnicity_and_race_b_hierarchy_depth,field_graduate_students_all_graduate_students_number,field_graduate_students_all_graduate_students_percent,field_graduate_students_master_s_number,field_graduate_students_master_s_percent,field_graduate_students_doctoral_number,field_graduate_students_doctoral_percent,field_postdoctoral_appointees_number,field_postdoctoral_appointees_percent,field_doctorate_holding_nonfaculty_researchers_number,field_doctorate_holding_nonfaculty_researchers_percent
3508,r001,All individuals,All individuals,,,,,1,690117,100.0,408228,100.0,281889,100.0,66247,100.0,30349,100.0
3508,r002,All individuals -> Male,All individuals,Male,,,,2,364995,52.9,205768,50.4,159227,56.5,39173,59.1,17980,59.2
3508,r003,All individuals -> Female,All individuals,Female,,,,2,325122,47.1,202460,49.6,122662,43.5,27074,40.9,12369,40.8
3508,r004,All individuals -> U.S. citizens and permanent residents<sup>a</sup>,All individuals,U.S. citizens and permanent residents<sup>a</sup>,,,,2,456504,66.1,287370,70.4,169134,60.0,29452,44.5,na,na
3508,r005,All individuals -> U.S. citizens and permanent residents<sup>a</sup> -> Hispanic or Latino,All individuals,U.S. citizens and permanent residents<sup>a</sup>,Hispanic or Latino,,,3,54467,7.9,36777,9.0,17690,6.3,1924,2.9,na,na
3508,r006,All individuals -> U.S. citizens and permanent residents<sup>a</sup> -> Not Hispanic or Latino,All individuals,U.S. citizens and permanent residents<sup>a</sup>,Not Hispanic or Latino,,,3,,,,,,,,,,
3508,r007,All individuals -> U.S. citizens and permanent residents<sup>a</sup> -> Not Hispanic or Latino -> American Indian or Alaska Native,All individuals,U.S. citizens and permanent residents<sup>a</sup>,Not Hispanic or Latino,American Indian or Alaska Native,,4,2077,0.3,1327,0.3,750,0.3,69,0.1,na,na
3508,r008,All individuals -> U.S. citizens and permanent residents<sup>a</sup> -> Not Hispanic or Latino -> Asian,All individuals,U.S. citizens and permanent residents<sup>a</sup>,Not Hispanic or Latino,Asian,,4,48844,7.1,31301,7.7,17543,6.2,5891,8.9,na,na
3508,r009,All individuals -> U.S. citizens and permanent residents<sup>a</sup> -> Not Hispanic or Latino -> Black or African American,All individuals,U.S. citizens and permanent residents<sup>a</sup>,Not Hispanic or Latino,Black or African American,,4,38048,5.5,27598,6.8,10450,3.7,1088,1.6,na,na
3508,r010,All individuals -> U.S. citizens and permanent residents<sup>a</sup> -> Not Hispanic or Latino -> Native Hawaiian or Other Pacific Islander,All individuals,U.S. citizens and permanent residents<sup>a</sup>,Not Hispanic or Latino,Native Hawaiian or Other Pacific Islander,,4,744,0.1,542,0.1,202,0.1,52,0.1,na,na
3508,r011,All individuals -> U.S. citizens and permanent residents<sup>a</sup> -> Not Hispanic or Latino -> White,All individuals,U.S. citizens and permanent residents<sup>a</sup>,Not Hispanic or Latino,White,,4,272545,39.5,163836,40.1,108709,38.6,16972,25.6,na,na
3508,r012,All individuals -> U.S. citizens and permanent residents<sup>a</sup> -> Not Hispanic or Latino -> More than one race,All individuals,U.S. citizens and permanent residents<sup>a</sup>,Not Hispanic or Latino,More than one race,,4,15613,2.3,9593,2.3,6020,2.1,519,0.8,na,na
3508,r013,All individuals -> U.S. citizens and permanent residents<sup>a</sup> -> Unknown ethnicity and race,All individuals,U.S. citizens and permanent residents<sup>a</sup>,Unknown ethnicity and race,,,3,24166,3.5,16396,4.0,7770,2.8,2937,4.4,na,na
3508,r014,All individuals -> Temporary visa holders,All individuals,Temporary visa holders,,,,2,233613,33.9,120858,29.6,112755,40.0,36795,55.5,na,na
3508,r015,All individuals -> Male,All individuals,Male,,,,2,,,,,,,,,,
3508,r016,All individuals -> Male -> U.S. citizens and permanent residents<sup>a</sup>,All individuals,Male,U.S. citizens and permanent residents<sup>a</sup>,,,3,218337,31.6,131686,32.3,86651,30.7,15570,23.5,na,na
3508,r017,All individuals -> Male -> U.S. citizens and permanent residents<sup>a</sup> -> Hispanic or Latino,All individuals,Male,U.S. citizens and permanent residents<sup>a</sup>,Hispanic or Latino,,4,24064,3.5,15378,3.8,8686,3.1,963,1.5,na,na
3508,r018,All individuals -> Male -> U.S. citizens and permanent residents<sup>a</sup> -> Not Hispanic or Latino,All individuals,Male,U.S. citizens and permanent residents<sup>a</sup>,Not Hispanic or Latino,,4,,,,,,,,,,
3508,r019,All individuals -> Male -> U.S. citizens and permanent residents<sup>a</sup> -> Not Hispanic or Latino -> American Indian or Alaska Native,All individuals,Male,U.S. citizens and permanent residents<sup>a</sup>,Not Hispanic or Latino,American Indian or Alaska Native,5,831,0.1,532,0.1,299,0.1,28,0.05,na,na
3508,r020,All individuals -> Male -> U.S. citizens and permanent residents<sup>a</sup> -> Not Hispanic or Latino -> Asian,All individuals,Male,U.S. citizens and permanent residents<sup>a</sup>,Not Hispanic or Latino,Asian,5,25453,3.7,16315,4.0,9138,3.2,3278,4.9,na,na
3508,r021,All individuals -> Male -> U.S. citizens and permanent residents<sup>a</sup> -> Not Hispanic or Latino -> Black or African American,All individuals,Male,U.S. citizens and permanent residents<sup>a</sup>,Not Hispanic or Latino,Black or African American,5,14725,2.1,10593,2.6,4132,1.5,433,0.7,na,na
3508,r022,All individuals -> Male -> U.S. citizens and permanent residents<sup>a</sup> -> Not Hispanic or Latino -> Native Hawaiian or Other Pacific Islander,All individuals,Male,U.S. citizens and permanent residents<sup>a</sup>,Not Hispanic or Latino,Native Hawaiian or Other Pacific Islander,5,344,0.05,254,0.1,90,0.05,26,0.05,na,na
3508,r023,All individuals -> Male -> U.S. citizens and permanent residents<sup>a</sup> -> Not Hispanic or Latino -> White,All individuals,Male,U.S. citizens and permanent residents<sup>a</sup>,Not Hispanic or Latino,White,5,134227,19.4,77033,18.9,57194,20.3,8980,13.6,na,na
3508,r024,All individuals -> Male -> U.S. citizens and permanent residents<sup>a</sup> -> Not Hispanic or Latino -> More than one race,All individuals,Male,U.S. citizens and permanent residents<sup>a</sup>,Not Hispanic or Latino,More than one race,5,7118,1.0,4213,1.0,2905,1.0,243,0.4,na,na
3508,r025,All individuals -> Male -> U.S. citizens and permanent residents<sup>a</sup> -> Unknown ethnicity and race,All individuals,Male,U.S. citizens and permanent residents<sup>a</sup>,Unknown ethnicity and race,,4,11575,1.7,7368,1.8,4207,1.5,1619,2.4,na,na
3508,r026,All individuals -> Male -> Temporary visa holders,All individuals,Male,Temporary visa holders,,,3,146658,21.3,74082,18.1,72576,25.7,23603,35.6,na,na
3508,r027,All individuals -> Female,All individuals,Female,,,,2,,,,,,,,,,
3508,r028,All individuals -> Female -> U.S. citizens and permanent residents<sup>a</sup>,All individuals,Female,U.S. citizens and permanent residents<sup>a</sup>,,,3,238167,34.5,155684,38.1,82483,29.3,13882,21.0,na,na
