table_id,row_id,_b_field_b_full_path,_b_field_b_level_1,_b_field_b_level_2,_b_field_b_hierarchy_depth,field_nasf_millions_a,field_condition_nasf_superior,field_condition_nasf_satisfactory,field_condition_nasf_requires_renovations,field_condition_nasf_requires_replacement
7844,r001,All research space,All research space,,1,229.3,37,44,16,4
7844,r002,All research space -> Agricultural sciences,All research space,Agricultural sciences,2,29.9,28,46,22,5
7844,r003,All research space -> Biological and biomedical sciences,All research space,Biological and biomedical sciences,2,59.2,41,41,15,3
7844,r004,All research space -> Computer and information sciences,All research space,Computer and information sciences,2,4.5,42,46,10,2
7844,r005,All research space -> Engineering,All research space,Engineering,2,39.9,38,45,15,3
7844,r006,"All research space -> Geosciences, atmospheric sciences, and ocean sciences",All research space,"Geosciences, atmospheric sciences, and ocean sciences",2,8.9,30,49,18,3
7844,r007,All research space -> Health sciences,All research space,Health sciences,2,39.0,42,41,14,4
7844,r008,All research space -> Mathematics and statistics,All research space,Mathematics and statistics,2,1.8,25,52,19,5
7844,r009,All research space -> Natural resources and conservation,All research space,Natural resources and conservation,2,4.6,25,47,20,8
7844,r010,All research space -> Physical sciences,All research space,Physical sciences,2,23.4,35,44,17,4
7844,r011,All research space -> Psychology,All research space,Psychology,2,5.7,29,50,16,5
7844,r012,All research space -> Social sciences,All research space,Social sciences,2,6.5,28,52,16,3
7844,r013,All research space -> Other,All research space,Other,2,5.8,43,39,12,6
