table_id,row_id,field_and_sex_full_path,field_and_sex_level_1,field_and_sex_level_2,field_and_sex_level_3,field_and_sex_hierarchy_depth,field_1989_number,field_1989_percent,field_1994_number,field_1994_percent,field_1999_number,field_1999_percent,field_2004_number,field_2004_percent,field_2009_number,field_2009_percent,field_2014_number,field_2014_percent,field_2019_number,field_2019_percent
2812,r001,All fields<sup>a</sup>,All fields<sup>a</sup>,,,1,34325,100.0,40880,100.0,40923,100.0,42120,100.0,49518,100.0,53821,100.0,55693,100.0
2812,r002,All fields<sup>a</sup> -> Male,All fields<sup>a</sup>,Male,,2,21812,63.5,25058,61.3,23438,57.3,22965,54.5,26331,53.2,29008,53.9,30151,54.1
2812,r003,All fields<sup>a</sup> -> Female,All fields<sup>a</sup>,Female,,2,12513,36.5,15822,38.7,17485,42.7,19155,45.5,23187,46.8,24813,46.1,25542,45.9
2812,r004,All fields<sup>a</sup> -> Life sciences<sup>b</sup>,All fields<sup>a</sup>,Life sciences<sup>b</sup>,,2,6410,100.0,7771,100.0,8173,100.0,8813,100.0,11393,100.0,12444,100.0,12780,100.0
2812,r005,All fields<sup>a</sup> -> Life sciences<sup>b</sup> -> Male,All fields<sup>a</sup>,Life sciences<sup>b</sup>,Male,3,3966,61.9,4526,58.2,4530,55.4,4450,50.5,5183,45.5,5514,44.3,5819,45.5
2812,r006,All fields<sup>a</sup> -> Life sciences<sup>b</sup> -> Female,All fields<sup>a</sup>,Life sciences<sup>b</sup>,Female,3,2444,38.1,3245,41.8,3643,44.6,4363,49.5,6210,54.5,6930,55.7,6961,54.5
2812,r007,All fields<sup>a</sup> -> Physical sciences and earth sciences,All fields<sup>a</sup>,Physical sciences and earth sciences,,2,3916,100.0,4713,100.0,4267,100.0,4022,100.0,5151,100.0,5892,100.0,6581,100.0
2812,r008,All fields<sup>a</sup> -> Physical sciences and earth sciences -> Male,All fields<sup>a</sup>,Physical sciences and earth sciences,Male,3,3169,80.9,3726,79.1,3257,76.3,2920,72.6,3533,68.6,3968,67.3,4368,66.4
2812,r009,All fields<sup>a</sup> -> Physical sciences and earth sciences -> Female,All fields<sup>a</sup>,Physical sciences and earth sciences,Female,3,747,19.1,987,20.9,1010,23.7,1102,27.4,1618,31.4,1924,32.7,2213,33.6
2812,r010,All fields<sup>a</sup> -> Mathematics and computer sciences,All fields<sup>a</sup>,Mathematics and computer sciences,,2,1471,100.0,2014,100.0,1929,100.0,2024,100.0,3159,100.0,3846,100.0,4239,100.0
2812,r011,All fields<sup>a</sup> -> Mathematics and computer sciences -> Male,All fields<sup>a</sup>,Mathematics and computer sciences,Male,3,1208,82.1,1641,81.5,1495,77.5,1520,75.1,2327,73.7,2912,75.7,3144,74.2
2812,r012,All fields<sup>a</sup> -> Mathematics and computer sciences -> Female,All fields<sup>a</sup>,Mathematics and computer sciences,Female,3,263,17.9,373,18.5,434,22.5,504,24.9,832,26.3,934,24.3,1095,25.8
2812,r013,All fields<sup>a</sup> -> Psychology and social sciences,All fields<sup>a</sup>,Psychology and social sciences,,2,6225,100.0,6895,100.0,7361,100.0,7158,100.0,7943,100.0,8724,100.0,9071,100.0
