table_id,row_id,selected_industry_naics_code_and_company_size_full_path,selected_industry_naics_code_and_company_size_level_1,selected_industry_naics_code_and_company_size_level_2,selected_industry_naics_code_and_company_size_level_3,selected_industry_naics_code_and_company_size_level_4,selected_industry_naics_code_and_company_size_hierarchy_depth,field_totalb,field_used_for_domestic_r_da_totalb_c,field_used_for_domestic_r_da_land_acquisition,field_used_for_domestic_r_da_buildings_and_land_improvementd,field_used_for_domestic_r_da_equipment,field_used_for_domestic_r_da_capitalized_software,field_used_for_domestic_r_da_other_intellectual_property,field_used_for_domestic_r_da_all_other_and_undistributede
9413,r001,"All industries, 21&#8211;33, 42&#8211;81","All industries, 21&#8211;33, 42&#8211;81",,,,1,"['793,263', '  ']","['52,844', '  ']","['584', 'i ']","['5,220', '  ']","['19,665', '  ']","['16,247', 'i ']","['5,711', '  ']","['5,417', 'i ']"
9413,r002,"All industries, 21&#8211;33, 42&#8211;81 -> Manufacturing industries, 31&#8211;33","All industries, 21&#8211;33, 42&#8211;81","Manufacturing industries, 31&#8211;33",,,2,"['304,707', '  ']","['28,450', '  ']","['243', '  ']","['3,877', '  ']","['15,169', '  ']","['2,596', '  ']","['3,654', '  ']","['2,910', '  ']"
9413,r003,"All industries, 21&#8211;33, 42&#8211;81 -> Manufacturing industries, 31&#8211;33 -> Chemicals, 325","All industries, 21&#8211;33, 42&#8211;81","Manufacturing industries, 31&#8211;33","Chemicals, 325",,3,"['64,081', '  ']","['8,291', '  ']","['16', 'i ']","['1,968', '  ']","['3,346', '  ']","['535', '  ']","['1,190', '  ']","['1,236', '  ']"
9413,r004,"All industries, 21&#8211;33, 42&#8211;81 -> Manufacturing industries, 31&#8211;33 -> Chemicals, 325 -> Pharmaceuticals and medicines, 3254","All industries, 21&#8211;33, 42&#8211;81","Manufacturing industries, 31&#8211;33","Chemicals, 325","Pharmaceuticals and medicines, 3254",4,"['28,013', '  ']","['7,504', '  ']","['14', 'i ']","['1,840', '  ']","['2,885', '  ']","['406', '  ']","['1,179', '  ']","['1,180', '  ']"
9413,r005,"All industries, 21&#8211;33, 42&#8211;81 -> Manufacturing industries, 31&#8211;33 -> Chemicals, 325 -> Other 325","All industries, 21&#8211;33, 42&#8211;81","Manufacturing industries, 31&#8211;33","Chemicals, 325",Other 325,4,"['36,068', '&nbsp;']","['787', '&nbsp;']","['2', 'i ']","['128', '&nbsp;']","['461', '&nbsp;']","['129', '&nbsp;']","['11', '&nbsp;']","['56', '&nbsp;']"
9413,r006,"All industries, 21&#8211;33, 42&#8211;81 -> Manufacturing industries, 31&#8211;33 -> Machinery, 333","All industries, 21&#8211;33, 42&#8211;81","Manufacturing industries, 31&#8211;33","Machinery, 333",,3,"['17,941', '  ']","['1,295', '  ']","['*', '  ']","['122', '  ']","['783', '  ']","['140', '  ']","['11', '  ']","['238', '  ']"
9413,r007,"All industries, 21&#8211;33, 42&#8211;81 -> Manufacturing industries, 31&#8211;33 -> Computer and electronic products, 334","All industries, 21&#8211;33, 42&#8211;81","Manufacturing industries, 31&#8211;33","Computer and electronic products, 334",,3,"['53,170', '  ']","['9,468', '  ']","['122', '  ']","['792', '  ']","['5,312', '  ']","['1,064', 'i ']","['1,691', '  ']","['487', 'i ']"
9413,r008,"All industries, 21&#8211;33, 42&#8211;81 -> Manufacturing industries, 31&#8211;33 -> Computer and electronic products, 334 -> Communication equipment, 3342","All industries, 21&#8211;33, 42&#8211;81","Manufacturing industries, 31&#8211;33","Computer and electronic products, 334","Communication equipment, 3342",4,"['4,222', '  ']","['731', '  ']","['44', '  ']","['0 - 102', '  ']","['459', '  ']","['128', 'i ']","['0 - 102', 'i ']","['0 - 102', '  ']"
9413,r009,"All industries, 21&#8211;33, 42&#8211;81 -> Manufacturing industries, 31&#8211;33 -> Computer and electronic products, 334 -> Semiconductor and other electronic products, 3344","All industries, 21&#8211;33, 42&#8211;81","Manufacturing industries, 31&#8211;33","Computer and electronic products, 334","Semiconductor and other electronic products, 3344",4,"['32,074', '  ']","['5,014', 'i ']","['37', 'i ']","['286', 'i ']","['3,218', '  ']","['731', 'i ']","['444', 'i ']","['299', 'i ']"
9413,r010,"All industries, 21&#8211;33, 42&#8211;81 -> Manufacturing industries, 31&#8211;33 -> Computer and electronic products, 334 -> Other 334","All industries, 21&#8211;33, 42&#8211;81","Manufacturing industries, 31&#8211;33","Computer and electronic products, 334",Other 334,4,"['16,874', '&nbsp;']","['3,723', '&nbsp;']","['41', '&nbsp;']","['*', '&nbsp;']","['1,635', '&nbsp;']","['205', '&nbsp;']","['*', '&nbsp;']","['*', '&nbsp;']"
