table_id,row_id,company_size_full_path,company_size_level_1,company_size_level_2,company_size_level_3,company_size_hierarchy_depth,field_companies_number_,field_abandoned_or_suspended_innovation_activity_number_yes,field_abandoned_or_suspended_innovation_activity_number_no,field_abandoned_or_suspended_innovation_activity_percent_yes,field_abandoned_or_suspended_innovation_activity_percent_no
2634,r001,All companies,All companies,,,1,"['    4,603,606 ', '&nbsp;']","['    129,341 ', '&nbsp;']","['    4,474,266 ', '&nbsp;']","['    2.8 ', '&nbsp;']","['    97.2 ', '&nbsp;']"
2634,r002,All companies -> Micro companies,All companies,Micro companies,,2,"['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']"
2634,r003,All companies -> Micro companies -> 1&#8211;4,All companies,Micro companies,1&#8211;4,3,"['    2,615,093 ', '&nbsp;']","['    67,380 ', '&nbsp;']","['    2,547,713 ', '&nbsp;']","['    2.6 ', '&nbsp;']","['    97.4 ', '&nbsp;']"
2634,r004,All companies -> Micro companies -> 5&#8211;9,All companies,Micro companies,5&#8211;9,3,"['    885,880 ', '&nbsp;']","['    22,921 ', '&nbsp;']","['    862,959 ', '&nbsp;']","['    2.6 ', '&nbsp;']","['    97.4 ', '&nbsp;']"
2634,r005,All companies -> Small companies,All companies,Small companies,,2,"['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']"
2634,r006,All companies -> Small companies -> 10&#8211;19,All companies,Small companies,10&#8211;19,3,"['    562,922 ', '&nbsp;']","['    17,202 ', '&nbsp;']","['    545,720 ', '&nbsp;']","['    3.1 ', '&nbsp;']","['    96.9 ', '&nbsp;']"
2634,r007,All companies -> Small companies -> 20&#8211;49,All companies,Small companies,20&#8211;49,3,"['    353,037 ', '&nbsp;']","['    11,793 ', '&nbsp;']","['    341,244 ', '&nbsp;']","['    3.3 ', '&nbsp;']","['    96.7 ', '&nbsp;']"
2634,r008,All companies -> Medium companies,All companies,Medium companies,,2,"['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']"
2634,r009,All companies -> Medium companies -> 50&#8211;99,All companies,Medium companies,50&#8211;99,3,"['    104,561 ', '&nbsp;']","['    4,363 ', '&nbsp;']","['    100,198 ', '&nbsp;']","['    4.2 ', '&nbsp;']","['    95.8 ', '&nbsp;']"
2634,r010,All companies -> Medium companies -> 100&#8211;249,All companies,Medium companies,100&#8211;249,3,"['    52,429 ', '&nbsp;']","['    2,956 ', '&nbsp;']","['    49,474 ', '&nbsp;']","['    5.6 ', '&nbsp;']","['    94.4 ', '&nbsp;']"
2634,r011,All companies -> Large companies,All companies,Large companies,,2,"['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']"
2634,r012,All companies -> Large companies -> 250&#8211;499,All companies,Large companies,250&#8211;499,3,"['    15,665 ', '&nbsp;']","['    1,181 ', '&nbsp;']","['    14,484 ', '&nbsp;']","['    7.5 ', '&nbsp;']","['    92.5 ', '&nbsp;']"
2634,r013,All companies -> Large companies -> 500&#8211;999,All companies,Large companies,500&#8211;999,3,"['    7,026 ', '&nbsp;']","['    570 ', '&nbsp;']","['    6,457 ', '&nbsp;']","['    8.1 ', 'r']","['    91.9 ', '&nbsp;']"
2634,r014,"All companies -> Large companies -> 1,000&#8211;4,999",All companies,Large companies,"1,000&#8211;4,999",3,"['    5,514 ', '&nbsp;']","['    673 ', '&nbsp;']","['    4,841 ', '&nbsp;']","['    12.2 ', 'r']","['    87.8 ', '&nbsp;']"
2634,r015,"All companies -> Large companies -> 5,000&#8211;9,999",All companies,Large companies,"5,000&#8211;9,999",3,"['    744 ', '&nbsp;']","['    141 ', '&nbsp;']","['    603 ', '&nbsp;']","['    18.9 ', '&nbsp;']","['    81.1 ', '&nbsp;']"
2634,r016,"All companies -> Large companies -> 10,000&#8211;24,999",All companies,Large companies,"10,000&#8211;24,999",3,"['    447 ', '&nbsp;']","['    98 ', '&nbsp;']","['    349 ', '&nbsp;']","['    21.9 ', '&nbsp;']","['    78.1 ', '&nbsp;']"
2634,r017,"All companies -> Large companies -> 25,000 or more",All companies,Large companies,"25,000 or more",3,"['    288 ', '&nbsp;']","['    64 ', '&nbsp;']","['    224 ', '&nbsp;']","['    22.1 ', '&nbsp;']","['    77.9 ', '&nbsp;']"
