table_id,row_id,_b_state_and_department_or_agency_b_full_path,_b_state_and_department_or_agency_b_level_1,_b_state_and_department_or_agency_b_level_2,_b_state_and_department_or_agency_b_level_3,_b_state_and_department_or_agency_b_hierarchy_depth,field_r_d_performersa_all,field_r_d_performersa_intramural,field_r_d_performersa_extramural,field_r_d_plantb_all,field_r_d_plantb_intramural,field_r_d_plantb_extramural
12535,r001,United States<sup>c</sup>,United States<sup>c</sup>,,,1,3034601074,741613066,2292988008,33914350,23760554,10153796
12535,r002,United States<sup>c</sup> -> Alabama,United States<sup>c</sup>,Alabama,,2,83778649,8885851,74892798,0,0,0
12535,r003,"United States<sup>c</sup> -> Alabama -> Commerce, Department of",United States<sup>c</sup>,Alabama,"Commerce, Department of",3,54419133,0,54419133,0,0,0
12535,r004,"United States<sup>c</sup> -> Alabama -> Conservation and Natural Resources, Department of; Wildlife and Freshwater Fisheries Division",United States<sup>c</sup>,Alabama,"Conservation and Natural Resources, Department of; Wildlife and Freshwater Fisheries Division",3,2637830,0,2637830,0,0,0
12535,r005,"United States<sup>c</sup> -> Alabama -> Economic and Community Affairs, Department of",United States<sup>c</sup>,Alabama,"Economic and Community Affairs, Department of",3,3255511,0,3255511,0,0,0
12535,r006,"United States<sup>c</sup> -> Alabama -> Education, Department of",United States<sup>c</sup>,Alabama,"Education, Department of",3,6883453,989326,5894127,0,0,0
12535,r007,"United States<sup>c</sup> -> Alabama -> Forensic Sciences, Department of",United States<sup>c</sup>,Alabama,"Forensic Sciences, Department of",3,231757,231757,0,0,0,0
12535,r008,United States<sup>c</sup> -> Alabama -> Geological Survey,United States<sup>c</sup>,Alabama,Geological Survey,3,2971380,2971380,0,0,0,0
12535,r009,"United States<sup>c</sup> -> Alabama -> Marine Environmental Science Consortium, Dauphin Island Sea Lab",United States<sup>c</sup>,Alabama,"Marine Environmental Science Consortium, Dauphin Island Sea Lab",3,3913492,3913492,0,0,0,0
12535,r010,United States<sup>c</sup> -> Alabama -> Supercomputer Authority,United States<sup>c</sup>,Alabama,Supercomputer Authority,3,4204072,0,4204072,0,0,0
