table_id,row_id,occupation_sex_race_and_ethnicity_160_160_160_160_160_160_160_160_160_160_160_160_160_full_path,occupation_sex_race_and_ethnicity_160_160_160_160_160_160_160_160_160_160_160_160_160_level_1,occupation_sex_race_and_ethnicity_160_160_160_160_160_160_160_160_160_160_160_160_160_level_2,occupation_sex_race_and_ethnicity_160_160_160_160_160_160_160_160_160_160_160_160_160_level_3,occupation_sex_race_and_ethnicity_160_160_160_160_160_160_160_160_160_160_160_160_160_level_4,occupation_sex_race_and_ethnicity_160_160_160_160_160_160_160_160_160_160_160_160_160_level_5,occupation_sex_race_and_ethnicity_160_160_160_160_160_160_160_160_160_160_160_160_160_level_6,occupation_sex_race_and_ethnicity_160_160_160_160_160_160_160_160_160_160_160_160_160_hierarchy_depth,field_total,field_professor,field_associate_professor,field_assistant_professor,field_other_faculty,field_rank_not_applicable
3409,r001,All occupations,All occupations,,,,,,1,344350,113200,76200,68900,23450,62600
3409,r002,All occupations -> Female,All occupations,Female,,,,,2,132500,31900,29800,30800,10950,29050
3409,r003,All occupations -> Female -> White,All occupations,Female,White,,,,3,92800,25100,21600,20750,8050,17350
3409,r004,All occupations -> Female -> Asian,All occupations,Female,Asian,,,,3,23300,3950,4600,5350,1550,7850
3409,r005,All occupations -> Female -> Black or African American,All occupations,Female,Black or African American,,,,3,6550,1050,1750,1800,400,1550
3409,r006,All occupations -> Female -> Hispanic or Latino<sup>a</sup>,All occupations,Female,Hispanic or Latino<sup>a</sup>,,,,3,7200,1400,1350,2100,800,1600
3409,r007,All occupations -> Female -> American Indian or Alaska Native,All occupations,Female,American Indian or Alaska Native,,,,3,250,50,100,100,,S
3409,r008,All occupations -> Female -> Native Hawaiian or Other Pacific Islander,All occupations,Female,Native Hawaiian or Other Pacific Islander,,,,3,200,,S,100,,50
3409,r009,All occupations -> Female -> More than one race<sup>b</sup>,All occupations,Female,More than one race<sup>b</sup>,,,,3,2200,300,450,700,150,550
3409,r010,All occupations -> Male,All occupations,Male,,,,,2,211850,81300,46400,38100,12500,33550
3409,r011,All occupations -> Male -> White,All occupations,Male,White,,,,3,147300,61000,32550,23750,8850,21100
3409,r012,All occupations -> Male -> Asian,All occupations,Male,Asian,,,,3,45650,14600,9000,10200,2100,9750
3409,r013,All occupations -> Male -> Black or African American,All occupations,Male,Black or African American,,,,3,7150,2100,1950,1650,650,800
3409,r014,All occupations -> Male -> Hispanic or Latino<sup>a</sup>,All occupations,Male,Hispanic or Latino<sup>a</sup>,,,,3,9150,3000,2150,2000,650,1400
3409,r015,All occupations -> Male -> American Indian or Alaska Native,All occupations,Male,American Indian or Alaska Native,,,,3,350,100,150,50,,50
