table_id,row_id,_b_field_of_study_b_full_path,_b_field_of_study_b_level_1,_b_field_of_study_b_level_2,_b_field_of_study_b_level_3,_b_field_of_study_b_hierarchy_depth,field_1990_number,field_1990_percent,field_1995_number,field_1995_percent,field_2000_number,field_2000_percent,field_2005_number,field_2005_percent,field_2010_number,field_2010_percent,field_2015_number,field_2015_percent,field_2020_number,field_2020_percent
4649,r001,All fields,All fields,,,1,36065,100.0,41747,100.0,41369,100.0,43385,100.0,48028,100.0,54886,100.0,55283,100.0
4649,r002,All fields -> Life sciences,All fields,Life sciences,,2,6655,18.5,7998,19.2,8622,20.8,9310,21.5,11319,23.6,12493,22.8,12561,22.7
4649,r003,All fields -> Life sciences -> Agricultural sciences and natural resources,All fields,Life sciences,Agricultural sciences and natural resources,3,1371,3.8,1293,3.1,1179,2.8,1160,2.7,1100,2.3,1434,2.6,1472,2.7
4649,r004,All fields -> Life sciences -> Biological and biomedical sciences,All fields,Life sciences,Biological and biomedical sciences,3,4328,12.0,5376,12.9,5853,14.1,6367,14.7,8046,16.8,8783,16.0,8418,15.2
4649,r005,All fields -> Life sciences -> Health sciences,All fields,Life sciences,Health sciences,3,956,2.7,1329,3.2,1590,3.8,1783,4.1,2173,4.5,2276,4.1,2671,4.8
4649,r006,All fields -> Physical sciences and earth sciences,All fields,Physical sciences and earth sciences,,2,4212,11.7,4540,10.9,4071,9.8,4359,10.0,4995,10.4,5916,10.8,6247,11.3
4649,r007,All fields -> Physical sciences and earth sciences -> Chemistry,All fields,Physical sciences and earth sciences,Chemistry,3,2100,5.8,2162,5.2,1989,4.8,2126,4.9,2304,4.8,2666,4.9,2763,5.0
4649,r008,"All fields -> Physical sciences and earth sciences -> Geosciences, atmospheric sciences, and ocean sciences",All fields,Physical sciences and earth sciences,"Geosciences, atmospheric sciences, and ocean sciences",3,719,2.0,726,1.7,693,1.7,714,1.6,862,1.8,1057,1.9,1243,2.2
4649,r009,All fields -> Physical sciences and earth sciences -> Physics and astronomy,All fields,Physical sciences and earth sciences,Physics and astronomy,3,1393,3.9,1652,4.0,1389,3.4,1519,3.5,1829,3.8,2193,4.0,2241,4.1
4649,r010,All fields -> Mathematics and computer sciences,All fields,Mathematics and computer sciences,,2,1597,4.4,2187,5.2,1910,4.6,2334,5.4,3223,6.7,3818,7.0,4392,7.9
4649,r011,All fields -> Mathematics and computer sciences -> Computer and information sciences,All fields,Mathematics and computer sciences,Computer and information sciences,3,705,2.0,997,2.4,860,2.1,1129,2.6,1633,3.4,2003,3.6,2361,4.3
4649,r012,All fields -> Mathematics and computer sciences -> Mathematics and statistics,All fields,Mathematics and computer sciences,Mathematics and statistics,3,892,2.5,1190,2.9,1050,2.5,1205,2.8,1590,3.3,1815,3.3,2031,3.7
4649,r013,All fields -> Psychology and social sciences,All fields,Psychology and social sciences,,2,6331,17.6,6930,16.6,7452,18.0,7149,16.5,7882,16.4,9073,16.5,8946,16.2
4649,r014,All fields -> Psychology and social sciences -> Psychology,All fields,Psychology and social sciences,Psychology,3,3281,9.1,3429,8.2,3616,8.7,3322,7.7,3420,7.1,3776,6.9,3879,7.0
4649,r015,All fields -> Psychology and social sciences -> Anthropology,All fields,Psychology and social sciences,Anthropology,3,324,0.9,375,0.9,446,1.1,456,1.1,507,1.1,492,0.9,448,0.8
4649,r016,All fields -> Psychology and social sciences -> Economics,All fields,Psychology and social sciences,Economics,3,862,2.4,979,2.3,948,2.3,1061,2.4,1073,2.2,1255,2.3,1216,2.2
4649,r017,All fields -> Psychology and social sciences -> Political science and government,All fields,Psychology and social sciences,Political science and government,3,462,1.3,599,1.4,669,1.6,618,1.4,728,1.5,859,1.6,637,1.2
