table_id,row_id,selected_characteristic_and_company_size_full_path,selected_characteristic_and_company_size_level_1,selected_characteristic_and_company_size_level_2,selected_characteristic_and_company_size_level_3,selected_characteristic_and_company_size_level_4,selected_characteristic_and_company_size_hierarchy_depth,field_2017,field_2018,field_2019
5191,r001,Domestic R&D performance<sup>a</sup>,Domestic R&D performance<sup>a</sup>,,,,1,"['400,100', '&#160;']","['441,036', '&#160;']","['492,956', '&#160;']"
5191,r002,Domestic R&D performance<sup>a</sup> -> Type of R&D<sup>b</sup>,Domestic R&D performance<sup>a</sup>,Type of R&D<sup>b</sup>,,,2,"['&#160;', '&#160;']","['&#160;', '&#160;']","['&#160;', '&#160;']"
5191,r003,Domestic R&D performance<sup>a</sup> -> Type of R&D<sup>b</sup> -> Basic research,Domestic R&D performance<sup>a</sup>,Type of R&D<sup>b</sup>,Basic research,,3,"['24,829', '&#160;']","['28,980', '&#160;']","['32,239', '&#160;']"
5191,r004,Domestic R&D performance<sup>a</sup> -> Type of R&D<sup>b</sup> -> Applied research,Domestic R&D performance<sup>a</sup>,Type of R&D<sup>b</sup>,Applied research,,3,"['62,132', '&#160;']","['65,222', '&#160;']","['74,031', '&#160;']"
5191,r005,Domestic R&D performance<sup>a</sup> -> Type of R&D<sup>b</sup> -> Development,Domestic R&D performance<sup>a</sup>,Type of R&D<sup>b</sup>,Development,,3,"['313,139', '&#160;']","['346,834', '&#160;']","['386,686', '&#160;']"
5191,r006,Domestic R&D performance<sup>a</sup> -> Paid for by the company<sup>c</sup>,Domestic R&D performance<sup>a</sup>,Paid for by the company<sup>c</sup>,,,2,"['339,036', '&#160;']","['377,806', '&#160;']","['428,968', '&#160;']"
5191,r007,Domestic R&D performance<sup>a</sup> -> Paid for by the company<sup>c</sup> -> Basic research,Domestic R&D performance<sup>a</sup>,Paid for by the company<sup>c</sup>,Basic research,,3,"['18,732', '&#160;']","['22,312', '&#160;']","['25,916', '&#160;']"
5191,r008,Domestic R&D performance<sup>a</sup> -> Paid for by the company<sup>c</sup> -> Applied research,Domestic R&D performance<sup>a</sup>,Paid for by the company<sup>c</sup>,Applied research,,3,"['49,149', '&#160;']","['53,229', '&#160;']","['59,697', '&#160;']"
5191,r009,Domestic R&D performance<sup>a</sup> -> Paid for by the company<sup>c</sup> -> Development,Domestic R&D performance<sup>a</sup>,Paid for by the company<sup>c</sup>,Development,,3,"['271,155', '&#160;']","['302,264', '&#160;']","['343,355', '&#160;']"
5191,r010,Domestic R&D performance<sup>a</sup> -> Paid for by others,Domestic R&D performance<sup>a</sup>,Paid for by others,,,2,"['61,065', '&#160;']","['63,230', '&#160;']","['63,989', '&#160;']"
5191,r011,Domestic R&D performance<sup>a</sup> -> Paid for by others -> Basic research,Domestic R&D performance<sup>a</sup>,Paid for by others,Basic research,,3,"['6,097', '&#160;']","['6,668', '&#160;']","['6,324', '&#160;']"
