table_id,row_id,field_full_path,field_level_1,field_level_2,field_level_3,field_level_4,field_hierarchy_depth,field_total_fy_2022_r_d_expenditures,field_total_fy_2023_r_d_expenditures,field__change_in_current_dollars_fys_2022_23,field_source_of_funds_fy_2023_federal_government,field_source_of_funds_fy_2023_state_and_local_government,field_source_of_funds_fy_2023_institution_funds,field_source_of_funds_fy_2023_business,field_source_of_funds_fy_2023_nonprofit_organizations,field_source_of_funds_fy_2023_all_other_sources
12605,r001,All R&D fields,All R&D fields,,,,1,97670,108681,11.3,59604,5438,27655,6221,6671,3092
12605,r002,All R&D fields -> Science,All R&D fields,Science,,,2,76144,84308,10.7,46948,3999,20711,4729,5524,2397
12605,r003,All R&D fields -> Science -> Computer and information sciences,All R&D fields,Science,Computer and information sciences,,3,3202,3617,13.0,2418,93,746,184,103,73
12605,r004,"All R&D fields -> Science -> Geosciences, atmospheric sciences, and ocean sciences",All R&D fields,Science,"Geosciences, atmospheric sciences, and ocean sciences",,3,3653,4033,10.4,2694,257,744,92,161,86
12605,r005,"All R&D fields -> Science -> Geosciences, atmospheric sciences, and ocean sciences -> Atmospheric science and meteorology",All R&D fields,Science,"Geosciences, atmospheric sciences, and ocean sciences",Atmospheric science and meteorology,4,669,724,8.2,583,19,89,8,14,10
12605,r006,"All R&D fields -> Science -> Geosciences, atmospheric sciences, and ocean sciences -> Geological and earth sciences",All R&D fields,Science,"Geosciences, atmospheric sciences, and ocean sciences",Geological and earth sciences,4,1348,1488,10.4,921,75,337,51,61,43
12605,r007,"All R&D fields -> Science -> Geosciences, atmospheric sciences, and ocean sciences -> Ocean sciences and marine sciences",All R&D fields,Science,"Geosciences, atmospheric sciences, and ocean sciences",Ocean sciences and marine sciences,4,1211,1365,12.7,891,131,237,21,62,23
12605,r008,"All R&D fields -> Science -> Geosciences, atmospheric sciences, and ocean sciences -> Geosciences, atmospheric sciences, and ocean sciences nec",All R&D fields,Science,"Geosciences, atmospheric sciences, and ocean sciences","Geosciences, atmospheric sciences, and ocean sciences nec",4,425,455,7.2,298,32,81,11,23,10
12605,r009,All R&D fields -> Science -> Life sciences,All R&D fields,Science,Life sciences,,3,56476,62204,10.1,33896,3161,14982,4119,4174,1872
12605,r010,All R&D fields -> Science -> Life sciences -> Agricultural sciences,All R&D fields,Science,Life sciences,Agricultural sciences,4,3936,4286,8.9,1459,1055,1313,163,153,142
12605,r011,All R&D fields -> Science -> Life sciences -> Biological and biomedical sciences,All R&D fields,Science,Life sciences,Biological and biomedical sciences,4,18130,19526,7.7,11754,606,4541,909,1239,477
12605,r012,All R&D fields -> Science -> Life sciences -> Health sciences,All R&D fields,Science,Life sciences,Health sciences,4,31875,35725,12.1,19391,1245,8328,2968,2645,1148
12605,r013,All R&D fields -> Science -> Life sciences -> Natural resources and conservation,All R&D fields,Science,Life sciences,Natural resources and conservation,4,1017,1080,6.2,513,166,303,19,48,30
12605,r014,All R&D fields -> Science -> Life sciences -> Life sciences nec,All R&D fields,Science,Life sciences,Life sciences nec,4,1518,1588,4.6,780,89,497,59,88,74
12605,r015,All R&D fields -> Science -> Mathematics and statistics,All R&D fields,Science,Mathematics and statistics,,3,879,1061,20.6,661,31,293,14,53,8
12605,r016,All R&D fields -> Science -> Physical sciences,All R&D fields,Science,Physical sciences,,3,6167,6945,12.6,4622,130,1520,216,302,155
12605,r017,All R&D fields -> Science -> Physical sciences -> Astronomy and astrophysics,All R&D fields,Science,Physical sciences,Astronomy and astrophysics,4,814,967,18.8,660,7,174,3,71,52
12605,r018,All R&D fields -> Science -> Physical sciences -> Chemistry,All R&D fields,Science,Physical sciences,Chemistry,4,2127,2301,8.2,1413,56,595,89,107,40
12605,r019,All R&D fields -> Science -> Physical sciences -> Materials science,All R&D fields,Science,Physical sciences,Materials science,4,286,319,11.4,206,3,70,18,6,17
12605,r020,All R&D fields -> Science -> Physical sciences -> Physics,All R&D fields,Science,Physical sciences,Physics,4,2669,2967,11.1,2123,44,598,63,101,38
12605,r021,All R&D fields -> Science -> Physical sciences -> Physical sciences nec,All R&D fields,Science,Physical sciences,Physical sciences nec,4,271,391,44.3,220,19,84,43,17,8
12605,r022,All R&D fields -> Science -> Psychology,All R&D fields,Science,Psychology,,3,1446,1638,13.2,979,60,463,13,102,22
12605,r023,All R&D fields -> Science -> Social sciences,All R&D fields,Science,Social sciences,,3,3164,3615,14.3,1203,209,1444,48,561,150
12605,r024,All R&D fields -> Science -> Social sciences -> Anthropology,All R&D fields,Science,Social sciences,Anthropology,4,133,152,14.4,47,3,86,2,9,5
12605,r025,All R&D fields -> Science -> Social sciences -> Economics,All R&D fields,Science,Social sciences,Economics,4,665,724,8.8,206,51,282,14,134,36
12605,r026,All R&D fields -> Science -> Social sciences -> Political science and government,All R&D fields,Science,Social sciences,Political science and government,4,488,557,14.1,112,18,256,5,123,43
12605,r027,"All R&D fields -> Science -> Social sciences -> Sociology, demography, and population studies",All R&D fields,Science,Social sciences,"Sociology, demography, and population studies",4,616,728,18.1,317,39,247,8,103,14
12605,r028,All R&D fields -> Science -> Social sciences -> Social sciences nec,All R&D fields,Science,Social sciences,Social sciences nec,4,1261,1455,15.4,521,98,573,20,192,52
12605,r029,All R&D fields -> Science -> Sciences nec,All R&D fields,Science,Sciences nec,,3,1157,1195,3.3,475,60,518,42,69,30
12605,r030,All R&D fields -> Engineering,All R&D fields,Engineering,,,2,15663,17468,11.5,10931,961,3330,1317,469,460
12605,r031,"All R&D fields -> Engineering -> Aerospace, aeronautical, and astronautical engineering",All R&D fields,Engineering,"Aerospace, aeronautical, and astronautical engineering",,3,1647,1914,16.2,1426,49,169,234,13,22
12605,r032,All R&D fields -> Engineering -> Bioengineering and biomedical engineering,All R&D fields,Engineering,Bioengineering and biomedical engineering,,3,1727,1885,9.1,1198,73,406,66,109,33
12605,r033,All R&D fields -> Engineering -> Chemical engineering,All R&D fields,Engineering,Chemical engineering,,3,1108,1247,12.5,713,50,290,111,51,32
12605,r034,All R&D fields -> Engineering -> Civil engineering,All R&D fields,Engineering,Civil engineering,,3,1686,1901,12.7,929,322,464,89,53,43
12605,r035,"All R&D fields -> Engineering -> Electrical, electronic, and communications engineering",All R&D fields,Engineering,"Electrical, electronic, and communications engineering",,3,3463,3839,10.8,2794,95,566,213,91,78
12605,r036,All R&D fields -> Engineering -> Industrial and manufacturing engineering,All R&D fields,Engineering,Industrial and manufacturing engineering,,3,615,707,14.9,482,42,123,38,11,10
12605,r037,All R&D fields -> Engineering -> Mechanical engineering,All R&D fields,Engineering,Mechanical engineering,,3,2062,2325,12.7,1552,75,419,188,43,48
12605,r038,All R&D fields -> Engineering -> Metallurgical and materials engineering,All R&D fields,Engineering,Metallurgical and materials engineering,,3,887,1039,17.2,693,32,189,75,26,24
