table_id,row_id,_b_broad_field_b_full_path,_b_broad_field_b_level_1,_b_broad_field_b_level_2,_b_broad_field_b_level_3,_b_broad_field_b_hierarchy_depth,field_total,field_dod_number,field_dod_percent,field_doe_number,field_doe_percent,field_hhs_nih_number,field_hhs_nih_percent,field_hhs_other_hhs_number,field_hhs_other_hhs_percent,field_nasa_number,field_nasa_percent,field_nsf_number,field_nsf_percent,field_usda_number,field_usda_percent,field_other_number,field_other_percent
8317,r001,All surveyed fields,All surveyed fields,,,1,32429,2344,7.2,2228,6.9,19079,58.8,889,2.7,653,2.0,3820,11.8,857,2.6,2559,7.9
8317,r002,All surveyed fields -> Science,All surveyed fields,Science,,2,19606,1104,5.6,1495,7.6,10587,54.0,542,2.8,562,2.9,2943,15.0,792,4.0,1581,8.1
8317,r003,All surveyed fields -> Science -> Agricultural and veterinary sciences,All surveyed fields,Science,Agricultural and veterinary sciences,3,741,13,1.8,25,3.4,200,27.0,22,3.0,4,0.5,77,10.4,317,42.8,83,11.2
8317,r004,All surveyed fields -> Science -> Biological and biomedical sciences,All surveyed fields,Science,Biological and biomedical sciences,3,11372,356,3.1,228,2.0,8648,76.0,340,3.0,33,0.3,834,7.3,295,2.6,638,5.6
8317,r005,All surveyed fields -> Science -> Computer and information sciences,All surveyed fields,Science,Computer and information sciences,3,407,132,32.4,16,3.9,34,8.4,6,1.5,4,1.0,173,42.5,10,2.5,32,7.9
8317,r006,"All surveyed fields -> Science -> Geosciences, atmospheric sciences, and ocean sciences",All surveyed fields,Science,"Geosciences, atmospheric sciences, and ocean sciences",3,906,66,7.3,50,5.5,30,3.3,4,0.4,153,16.9,344,38.0,19,2.1,240,26.5
8317,r007,All surveyed fields -> Science -> Mathematics and statistics,All surveyed fields,Science,Mathematics and statistics,3,333,45,13.5,25,7.5,60,18.0,3,0.9,2,0.6,163,48.9,4,1.2,31,9.3
8317,r008,All surveyed fields -> Science -> Multidisciplinary and interdisciplinary studies,All surveyed fields,Science,Multidisciplinary and interdisciplinary studies,3,402,46,11.4,22,5.5,199,49.5,21,5.2,9,2.2,79,19.7,6,1.5,20,5.0
8317,r009,All surveyed fields -> Science -> Natural resources and conservation,All surveyed fields,Science,Natural resources and conservation,3,440,17,3.9,25,5.7,13,3.0,6,1.4,22,5.0,98,22.3,105,23.9,154,35.0
8317,r010,All surveyed fields -> Science -> Physical sciences,All surveyed fields,Science,Physical sciences,3,3943,391,9.9,1101,27.9,808,20.5,101,2.6,307,7.8,959,24.3,12,0.3,264,6.7
8317,r011,All surveyed fields -> Science -> Psychology,All surveyed fields,Science,Psychology,3,711,23,3.2,0,0.0,481,67.7,29,4.1,2,0.3,108,15.2,1,0.1,67,9.4
8317,r012,All surveyed fields -> Science -> Social sciences,All surveyed fields,Science,Social sciences,3,351,15,4.3,3,0.9,114,32.5,10,2.8,26,7.4,108,30.8,23,6.6,52,14.8
8317,r013,All surveyed fields -> Engineering,All surveyed fields,Engineering,,2,4235,935,22.1,723,17.1,1091,25.8,62,1.5,87,2.1,817,19.3,58,1.4,462,10.9
8317,r014,"All surveyed fields -> Engineering -> Aerospace, aeronautical, and astronautical engineering",All surveyed fields,Engineering,"Aerospace, aeronautical, and astronautical engineering",3,122,51,41.8,16,13.1,5,4.1,2,1.6,11,9.0,19,15.6,1,0.8,17,13.9
