table_id,row_id,industry_full_path,industry_level_1,industry_level_2,industry_level_3,industry_level_4,industry_level_5,industry_hierarchy_depth,field_naics_code,field_company_size_domestic_employees_all_companies,field_company_size_domestic_employees_10_19a,field_company_size_domestic_employees_20_49,field_company_size_domestic_employees_50_99,field_company_size_domestic_employees_100_249,field_company_size_domestic_employees_250_499,field_company_size_domestic_employees_500_999,field_company_size_domestic_employees_1_000_4_999,field_company_size_domestic_employees_5_000_9_999,field_company_size_domestic_employees_10_000_24_999,field_company_size_domestic_employees_25_000_or_more
2715,r001,All industries,All industries,,,,,1,"21–23, 31–33, 42–81","['377,806', '  ']","['3,340', '  ']","['9,556', '  ']","['10,446', '  ']","['14,626', '  ']","['16,604', '  ']","['15,561', '  ']","['58,509', '  ']","['36,274', '  ']","['74,423', '  ']","['138,465', '  ']"
2715,r002,All industries -> Manufacturing industries,All industries,Manufacturing industries,,,,2,31–33,"['234,682', '  ']","['1,447', '  ']","['4,899', '  ']","['6,101', '  ']","['8,966', '  ']","['10,119', '  ']","['9,951', '  ']","['34,106', '  ']","['26,338', '  ']","['52,915', '  ']","['79,841', '  ']"
2715,r003,All industries -> Manufacturing industries -> Food,All industries,Manufacturing industries,Food,,,3,311,"['4,412', '  ']","['4', '  ']","['87', '  ']","['56 - 69', '  ']","['191', '  ']","['264', '  ']","['193', '  ']","['384', '  ']","['138', '  ']","['2,195', 'i ']","['883 - 896', 'i ']"
2715,r004,All industries -> Manufacturing industries -> Beverage and tobacco products,All industries,Manufacturing industries,Beverage and tobacco products,,,3,312,"['1,004', '  ']","['3', '  ']","['40', '  ']","['12', '  ']","['15', '  ']","['8', '  ']","['34', '  ']","['10', '  ']","['203', '  ']","['173', '  ']","['507', '  ']"
2715,r005,"All industries -> Manufacturing industries -> Textile, apparel, and leather products",All industries,Manufacturing industries,"Textile, apparel, and leather products",,,3,313–16,"['986', '  ']","['10', '  ']","['5', '  ']","['12', '  ']","['29', '  ']","['47', '  ']","['48', '  ']","['271', '  ']","['294', '  ']","['79', '  ']","['190', '  ']"
2715,r006,All industries -> Manufacturing industries -> Wood products,All industries,Manufacturing industries,Wood products,,,3,321,"['199', '  ']","['*', '  ']","['15', '  ']","['22', '  ']","['14', '  ']","['4', '  ']","['27', '  ']","['19', '  ']","['59', '  ']","['40', '  ']","['0', '  ']"
2715,r007,All industries -> Manufacturing industries -> Paper,All industries,Manufacturing industries,Paper,,,3,322,"['932', '  ']","['0', '  ']","['2', '  ']","['12', '  ']","['33', '  ']","['23', '  ']","['4', '  ']","['138', '  ']","['189', '  ']","['308', 'i ']","['223', '  ']"
2715,r008,All industries -> Manufacturing industries -> Printing and related support activities,All industries,Manufacturing industries,Printing and related support activities,,,3,323,"['238', '  ']","['0', '  ']","['8', '  ']","['13', '  ']","['30', '  ']","['68', '  ']","['30', '  ']","['42', 'i ']","['28', '  ']","['19', '  ']","['0', '  ']"
2715,r009,All industries -> Manufacturing industries -> Petroleum and coal products,All industries,Manufacturing industries,Petroleum and coal products,,,3,324,"['1,246', '  ']","['3', '  ']","['12', '  ']","['23', '  ']","['22', '  ']","['42', '  ']","['60', '  ']","['24', '  ']","['24', '  ']","['113', '  ']","['924', '  ']"
2715,r010,All industries -> Manufacturing industries -> Chemicals,All industries,Manufacturing industries,Chemicals,,,3,325,"['73,584', '  ']","['751 - 772', '  ']","['2,440', '  ']","['3,095', '  ']","['3,992', '  ']","['4,698', '  ']","['3,084', '  ']","['9,272', '  ']","['7,355', '  ']","['27,752', '  ']","['11,127 - 11,149', '  ']"
