table_id,row_id,_b_mechanism_of_support_b_full_path,_b_mechanism_of_support_b_level_1,_b_mechanism_of_support_b_level_2,_b_mechanism_of_support_b_level_3,_b_mechanism_of_support_b_hierarchy_depth,field_all_sources,field_federal_dod,field_federal_doe,field_federal_hhs_nih,field_federal_hhs_other,field_federal_nasa,field_federal_nsf,field_federal_usda,field_federal_other,field_domestic,field_foreign,field_institutional,field_self_support,field_unknown,field_male,field_female
10640,r001,Imputation rate (%),Imputation rate (%),,,1,,,,,,,,,,,,,,,,
10640,r002,Imputation rate (%) -> All postdoctoral appointees,Imputation rate (%),All postdoctoral appointees,,2,0.7,6.0,3.8,9.7,5.9,2.1,8.0,2.4,7.9,9.4,6.7,4.4,3.8,10.8,3.5,4.2
10640,r003,Imputation rate (%) -> All postdoctoral appointees -> Fellowships,Imputation rate (%),All postdoctoral appointees,Fellowships,3,10.8,15.2,26.1,12.2,13.3,17.1,15.0,29.8,13.6,6.2,12.5,5.6,na,23.2,11.3,11.8
10640,r004,Imputation rate (%) -> All postdoctoral appointees -> Research grant,Imputation rate (%),All postdoctoral appointees,Research grant,3,7.4,5.8,4.2,9.5,4.4,2.6,8.3,3.4,11.3,6.2,7.4,4.7,na,6.1,8.6,9.1
10640,r005,Imputation rate (%) -> All postdoctoral appointees -> Traineeship,Imputation rate (%),All postdoctoral appointees,Traineeship,3,9.7,0.0,20.0,12.4,13.1,0.0,19.4,0.0,0.0,4.7,13.3,3.7,na,4.5,8.7,10.4
10640,r006,Imputation rate (%) -> All postdoctoral appointees -> Other support,Imputation rate (%),All postdoctoral appointees,Other support,3,10.4,23.2,6.1,16.8,6.1,4.8,11.3,1.5,14.2,23.7,2.3,5.9,3.8,11.5,10.6,10.8
10640,r007,Number imputed<sup>a</sup>,Number imputed<sup>a</sup>,,,1,,,,,,,,,,,,,,,,
10640,r008,Number imputed<sup>a</sup> -> All postdoctoral appointees,Number imputed<sup>a</sup>,All postdoctoral appointees,,2,468,129,80,1808,53,14,312,23,190,908,78,638,24,550,1276,1125
10640,r009,Number imputed<sup>a</sup> -> All postdoctoral appointees -> Fellowships,Number imputed<sup>a</sup>,All postdoctoral appointees,Fellowships,3,654,14,18,161,11,7,43,17,32,80,33,94,na,148,365,335
10640,r010,Number imputed<sup>a</sup> -> All postdoctoral appointees -> Research grant,Number imputed<sup>a</sup>,All postdoctoral appointees,Research grant,3,2855,114,83,1397,31,16,285,26,218,363,37,255,na,37,1977,1413
10640,r011,Number imputed<sup>a</sup> -> All postdoctoral appointees -> Traineeship,Number imputed<sup>a</sup>,All postdoctoral appointees,Traineeship,3,329,0,1,267,8,0,7,0,0,12,2,30,na,2,141,185
10640,r012,Number imputed<sup>a</sup> -> All postdoctoral appointees -> Other support,Number imputed<sup>a</sup>,All postdoctoral appointees,Other support,3,1523,19,2,55,3,1,12,2,32,536,9,390,24,438,863,705
