table_id,row_id,industry_full_path,industry_level_1,industry_level_2,industry_level_3,industry_level_4,industry_level_5,industry_hierarchy_depth,field_naics_code,field_all_companies,field_1_9_employees,field_10_49_employees,field_50_249_employees,field_250_or_more_employees
9057,r001,All industries,All industries,,,,,1,"11, 21–23, 31–33, 42–81","['4,865,616', '&nbsp;']","['3,673,038', '&nbsp;']","['981,599', '&nbsp;']","['178,232', '&nbsp;']","['32,745', '&nbsp;']"
9057,r002,All industries -> Manufacturing industries,All industries,Manufacturing industries,,,,2,31–33,"['213,833', '&nbsp;']","['122,759', '&nbsp;']","['67,149', '&nbsp;']","['18,985', '&nbsp;']","['4,941', '&nbsp;']"
9057,r003,All industries -> Manufacturing industries -> Food,All industries,Manufacturing industries,Food,,,3,311,"['18,385', '&nbsp;']","['9,331', '&nbsp;']","['6,774', '&nbsp;']","['1,610', '&nbsp;']","['669', '&nbsp;']"
9057,r004,All industries -> Manufacturing industries -> Beverage and tobacco products,All industries,Manufacturing industries,Beverage and tobacco products,,,3,312,"['9,314', '&nbsp;']","['5,201', '&nbsp;']","['3,470', '&nbsp;']","['561', '&nbsp;']","['79', '&nbsp;']"
9057,r005,"All industries -> Manufacturing industries -> Textile, apparel, and leather products",All industries,Manufacturing industries,"Textile, apparel, and leather products",,,3,313–16,"['9,850', '&nbsp;']","['6,839', '&nbsp;']","['2,302', '&nbsp;']","['591', '&nbsp;']","['119', '&nbsp;']"
9057,r006,All industries -> Manufacturing industries -> Wood products,All industries,Manufacturing industries,Wood products,,,3,321,"['10,237', '&nbsp;']","['5,330', '&nbsp;']","['3,709', '&nbsp;']","['1,013', '&nbsp;']","['187', '&nbsp;']"
9057,r007,All industries -> Manufacturing industries -> Paper ,All industries,Manufacturing industries,Paper ,,,3,322,"['1,907', '&nbsp;']","['684', '&nbsp;']","['731', '&nbsp;']","['395', '&nbsp;']","['96', '&nbsp;']"
9057,r008,All industries -> Manufacturing industries -> Printing and related support activities,All industries,Manufacturing industries,Printing and related support activities,,,3,323,"['20,357', '&nbsp;']","['15,077', '&nbsp;']","['4,325', '&nbsp;']","['813', '&nbsp;']","['139', '&nbsp;']"
9057,r009,All industries -> Manufacturing industries -> Petroleum and coal products,All industries,Manufacturing industries,Petroleum and coal products,,,3,324,"['463', '&nbsp;']","['155', '&nbsp;']","['213', '&nbsp;']","['69', '&nbsp;']","['25', '&nbsp;']"
9057,r010,All industries -> Manufacturing industries -> Chemicals,All industries,Manufacturing industries,Chemicals,,,3,325,"['8,095', '&nbsp;']","['4,060', '&nbsp;']","['2,629', '&nbsp;']","['1,010', '&nbsp;']","['397', '&nbsp;']"
9057,r011,"All industries -> Manufacturing industries -> Chemicals -> Pesticide, fertilizer, and other agricultural chemicals ",All industries,Manufacturing industries,Chemicals,"Pesticide, fertilizer, and other agricultural chemicals ",,4,3253,"['514', '&nbsp;']","['257', '&nbsp;']","['210', '&nbsp;']","['41', '&nbsp;']","['7', 'r']"
9057,r012,All industries -> Manufacturing industries -> Chemicals -> Pharmaceuticals and medicines,All industries,Manufacturing industries,Chemicals,Pharmaceuticals and medicines,,4,3254,"['1,417', '&nbsp;']","['693', '&nbsp;']","['390', '&nbsp;']","['193', '&nbsp;']","['142', '&nbsp;']"
9057,r013,"All industries -> Manufacturing industries -> Chemicals -> Soap, cleaning compound, and toilet preparation",All industries,Manufacturing industries,Chemicals,"Soap, cleaning compound, and toilet preparation",,4,3256,"['1,807', '&nbsp;']","['1,100', '&nbsp;']","['513', '&nbsp;']","['151', '&nbsp;']","['40', '&nbsp;']"
9057,r014,All industries -> Manufacturing industries -> Chemicals -> Other chemicals,All industries,Manufacturing industries,Chemicals,Other chemicals,,4,other 325,"['4,357', '&nbsp;']","['2,010', '&nbsp;']","['1,518', '&nbsp;']","['624', '&nbsp;']","['207', '&nbsp;']"
9057,r015,All industries -> Manufacturing industries -> Plastics and rubber products,All industries,Manufacturing industries,Plastics and rubber products,,,3,326,"['7,478', '&nbsp;']","['3,111', '&nbsp;']","['2,673', '&nbsp;']","['1,309', '&nbsp;']","['385', '&nbsp;']"
9057,r016,All industries -> Manufacturing industries -> Nonmetallic mineral products,All industries,Manufacturing industries,Nonmetallic mineral products,,,3,327,"['7,300', '&nbsp;']","['3,738', '&nbsp;']","['2,723', '&nbsp;']","['657', '&nbsp;']","['182', '&nbsp;']"
9057,r017,All industries -> Manufacturing industries -> Primary metals,All industries,Manufacturing industries,Primary metals,,,3,331,"['2,394', '&nbsp;']","['821', '&nbsp;']","['815', '&nbsp;']","['601', '&nbsp;']","['158', '&nbsp;']"
9057,r018,All industries -> Manufacturing industries -> Fabricated metal products,All industries,Manufacturing industries,Fabricated metal products,,,3,332,"['46,992', '&nbsp;']","['26,309', '&nbsp;']","['15,898', '&nbsp;']","['4,160', '&nbsp;']","['626', '&nbsp;']"
9057,r019,All industries -> Manufacturing industries -> Machinery,All industries,Manufacturing industries,Machinery,,,3,333,"['18,052', '&nbsp;']","['8,914', '&nbsp;']","['6,584', '&nbsp;']","['2,060', '&nbsp;']","['494', '&nbsp;']"
9057,r020,All industries -> Manufacturing industries -> Computer and electronic products,All industries,Manufacturing industries,Computer and electronic products,,,3,334,"['8,732', '&nbsp;']","['4,792', '&nbsp;']","['2,764', '&nbsp;']","['930', '&nbsp;']","['248', '&nbsp;']"
9057,r021,All industries -> Manufacturing industries -> Computer and electronic products -> Communications equipment,All industries,Manufacturing industries,Computer and electronic products,Communications equipment,,4,3342,"['836', '&nbsp;']","['483', '&nbsp;']","['267', '&nbsp;']","['72', '&nbsp;']","['16', '&nbsp;']"
9057,r022,All industries -> Manufacturing industries -> Computer and electronic products -> Semiconductor and other electronic components,All industries,Manufacturing industries,Computer and electronic products,Semiconductor and other electronic components,,4,3344,"['2,773', '&nbsp;']","['1,234', '&nbsp;']","['985', '&nbsp;']","['451', '&nbsp;']","['105', '&nbsp;']"
9057,r023,"All industries -> Manufacturing industries -> Computer and electronic products -> Navigational, measuring, electromedical, and control instruments",All industries,Manufacturing industries,Computer and electronic products,"Navigational, measuring, electromedical, and control instruments",,4,3345,"['3,753', '&nbsp;']","['2,123', '&nbsp;']","['1,201', '&nbsp;']","['320', '&nbsp;']","['113', '&nbsp;']"
