table_id,row_id,field_of_study_ethnicity_and_race_full_path,field_of_study_ethnicity_and_race_level_1,field_of_study_ethnicity_and_race_level_2,field_of_study_ethnicity_and_race_level_3,field_of_study_ethnicity_and_race_level_4,field_of_study_ethnicity_and_race_level_5,field_of_study_ethnicity_and_race_hierarchy_depth,field_all_full_time_employed_median_salary,field_all_full_time_employed_se,field_tenured_median_salary,field_tenured_se,field_not_tenured_on_tenure_track_median_salary,field_not_tenured_on_tenure_track_se,field_not_tenured_not_on_tenure_track_median_salary,field_not_tenured_not_on_tenure_track_se,field_tenure_not_applicable_median_salary,field_tenure_not_applicable_se
3735,r001,All fields,All fields,,,,,1,95000,500,111000,1500,85000,500,75000,1500,75000,500
3735,r002,All fields -> Hispanic or Latino<sup>a</sup>,All fields,Hispanic or Latino<sup>a</sup>,,,,2,88000,1500,104000,3000,83000,2000,74000,3000,62000,2000
3735,r003,All fields -> Not Hispanic or Latino<sup>b</sup>,All fields,Not Hispanic or Latino<sup>b</sup>,,,,2,,,,,,,,,,
3735,r004,All fields -> Not Hispanic or Latino<sup>b</sup> -> American Indian or Alaska Native,All fields,Not Hispanic or Latino<sup>b</sup>,American Indian or Alaska Native,,,3,89000,4000,93000,3000,90000,3500,64000,8500,70000,13500
3735,r005,All fields -> Not Hispanic or Latino<sup>b</sup> -> Asian,All fields,Not Hispanic or Latino<sup>b</sup>,Asian,,,3,90000,500,120000,500,90000,500,70000,1500,63000,2000
3735,r006,All fields -> Not Hispanic or Latino<sup>b</sup> -> Black or African American,All fields,Not Hispanic or Latino<sup>b</sup>,Black or African American,,,3,89000,1500,100000,3500,80000,3500,76000,3000,74000,3500
3735,r007,All fields -> Not Hispanic or Latino<sup>b</sup> -> White,All fields,Not Hispanic or Latino<sup>b</sup>,White,,,3,98000,1000,110000,1500,83000,1500,78000,2000,82000,2000
3735,r008,All fields -> Not Hispanic or Latino<sup>b</sup> -> Other race<sup>c</sup>,All fields,Not Hispanic or Latino<sup>b</sup>,Other race<sup>c</sup>,,,3,88000,2000,109000,4500,80000,3000,85000,5000,70000,4000
3735,r009,All fields -> Science,All fields,Science,,,,2,92000,1000,109000,1500,83000,1000,75000,2000,73000,1500
3735,r010,All fields -> Science -> Hispanic or Latino<sup>a</sup>,All fields,Science,Hispanic or Latino<sup>a</sup>,,,3,86000,2500,104000,3000,82000,2000,73000,3000,62000,2000
3735,r011,All fields -> Science -> Not Hispanic or Latino<sup>b</sup>,All fields,Science,Not Hispanic or Latino<sup>b</sup>,,,3,,,,,,,,,,
3735,r012,All fields -> Science -> Not Hispanic or Latino<sup>b</sup> -> American Indian or Alaska Native,All fields,Science,Not Hispanic or Latino<sup>b</sup>,American Indian or Alaska Native,,4,83000,8000,92000,5000,84000,10500,,,62000,11000
3735,r013,All fields -> Science -> Not Hispanic or Latino<sup>b</sup> -> Asian,All fields,Science,Not Hispanic or Latino<sup>b</sup>,Asian,,4,88000,2500,113000,4000,89000,1000,68000,3500,60000,1500
3735,r014,All fields -> Science -> Not Hispanic or Latino<sup>b</sup> -> Black or African American,All fields,Science,Not Hispanic or Latino<sup>b</sup>,Black or African American,,4,87000,2000,100000,3500,78000,2500,74000,4000,72000,4500
3735,r015,All fields -> Science -> Not Hispanic or Latino<sup>b</sup> -> White,All fields,Science,Not Hispanic or Latino<sup>b</sup>,White,,4,95000,500,110000,2000,81000,1500,75000,1500,80000,1500
3735,r016,All fields -> Science -> Not Hispanic or Latino<sup>b</sup> -> Other race<sup>c</sup>,All fields,Science,Not Hispanic or Latino<sup>b</sup>,Other race<sup>c</sup>,,4,86000,2000,105000,2500,80000,1500,85000,7500,69000,5000
3735,r017,"All fields -> Science -> Biological, agricultural, and environmental life sciences",All fields,Science,"Biological, agricultural, and environmental life sciences",,,3,90000,500,119000,1000,90000,2000,74000,2500,65000,500
3735,r018,"All fields -> Science -> Biological, agricultural, and environmental life sciences -> Hispanic or Latino<sup>a</sup>",All fields,Science,"Biological, agricultural, and environmental life sciences",Hispanic or Latino<sup>a</sup>,,4,81000,3000,112000,8500,89000,4000,72000,5000,58000,2000
3735,r019,"All fields -> Science -> Biological, agricultural, and environmental life sciences -> Not Hispanic or Latino<sup>b</sup>",All fields,Science,"Biological, agricultural, and environmental life sciences",Not Hispanic or Latino<sup>b</sup>,,4,,,,,,,,,,
3735,r020,"All fields -> Science -> Biological, agricultural, and environmental life sciences -> Not Hispanic or Latino<sup>b</sup> -> American Indian or Alaska Native",All fields,Science,"Biological, agricultural, and environmental life sciences",Not Hispanic or Latino<sup>b</sup>,American Indian or Alaska Native,5,91000,5000,S,S,S,S,,,,
3735,r021,"All fields -> Science -> Biological, agricultural, and environmental life sciences -> Not Hispanic or Latino<sup>b</sup> -> Asian",All fields,Science,"Biological, agricultural, and environmental life sciences",Not Hispanic or Latino<sup>b</sup>,Asian,5,80000,2000,129000,7500,97000,3000,66000,4500,58000,2500
3735,r022,"All fields -> Science -> Biological, agricultural, and environmental life sciences -> Not Hispanic or Latino<sup>b</sup> -> Black or African American",All fields,Science,"Biological, agricultural, and environmental life sciences",Not Hispanic or Latino<sup>b</sup>,Black or African American,5,86000,3000,105000,12000,90000,6000,83000,2500,60000,4500
3735,r023,"All fields -> Science -> Biological, agricultural, and environmental life sciences -> Not Hispanic or Latino<sup>b</sup> -> White",All fields,Science,"Biological, agricultural, and environmental life sciences",Not Hispanic or Latino<sup>b</sup>,White,5,93000,2000,119000,2500,89000,2000,74000,2000,70000,1500
3735,r024,"All fields -> Science -> Biological, agricultural, and environmental life sciences -> Not Hispanic or Latino<sup>b</sup> -> Other race<sup>c</sup>",All fields,Science,"Biological, agricultural, and environmental life sciences",Not Hispanic or Latino<sup>b</sup>,Other race<sup>c</sup>,5,80000,3500,93000,17500,89000,12000,86000,10500,52000,2000
3735,r025,All fields -> Science -> Computer and information sciences,All fields,Science,Computer and information sciences,,,3,109000,3500,120000,3500,100000,2000,95000,4500,100000,5000
3735,r026,All fields -> Science -> Computer and information sciences -> Hispanic or Latino<sup>a</sup>,All fields,Science,Computer and information sciences,Hispanic or Latino<sup>a</sup>,,4,100000,15500,124000,37500,78000,5000,S,S,138000,44000
3735,r027,All fields -> Science -> Computer and information sciences -> Not Hispanic or Latino<sup>b</sup>,All fields,Science,Computer and information sciences,Not Hispanic or Latino<sup>b</sup>,,4,,,,,,,,,,
3735,r028,All fields -> Science -> Computer and information sciences -> Not Hispanic or Latino<sup>b</sup> -> American Indian or Alaska Native,All fields,Science,Computer and information sciences,Not Hispanic or Latino<sup>b</sup>,American Indian or Alaska Native,5,,,,,,,,,,
3735,r029,All fields -> Science -> Computer and information sciences -> Not Hispanic or Latino<sup>b</sup> -> Asian,All fields,Science,Computer and information sciences,Not Hispanic or Latino<sup>b</sup>,Asian,5,100000,5500,120000,4500,100000,3500,68000,26500,76000,13000
3735,r030,All fields -> Science -> Computer and information sciences -> Not Hispanic or Latino<sup>b</sup> -> Black or African American,All fields,Science,Computer and information sciences,Not Hispanic or Latino<sup>b</sup>,Black or African American,5,91000,14000,114000,5000,82000,6500,,,,
3735,r031,All fields -> Science -> Computer and information sciences -> Not Hispanic or Latino<sup>b</sup> -> White,All fields,Science,Computer and information sciences,Not Hispanic or Latino<sup>b</sup>,White,5,111000,3000,120000,6500,100000,6500,98000,7000,104000,3500
3735,r032,All fields -> Science -> Computer and information sciences -> Not Hispanic or Latino<sup>b</sup> -> Other race<sup>c</sup>,All fields,Science,Computer and information sciences,Not Hispanic or Latino<sup>b</sup>,Other race<sup>c</sup>,5,141000,44000,,,,,,,,
3735,r033,All fields -> Science -> Mathematics and statistics,All fields,Science,Mathematics and statistics,,,3,90000,1000,100000,1500,76000,3500,65000,3500,71000,3500
