table_id,row_id,employment_size_full_path,employment_size_level_1,employment_size_level_2,employment_size_level_3,employment_size_hierarchy_depth,field_companies_number_,field_did_not_use,field_tested_but_not_used_in_production_or_service,field_low_use,field_moderate_use,field_high_use,field_don_t_know
5703,r001,All companies,All companies,,,1,"['    4,805,151 ', '&nbsp;']","['    54.7 ', '&nbsp;']","['    0.5 ', '&nbsp;']","['    7.8 ', '&nbsp;']","['    13.3 ', '&nbsp;']","['    16.8 ', '&nbsp;']","['    6.9 ', '&nbsp;']"
5703,r002,All companies -> Micro companies,All companies,Micro companies,,2,"['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']"
5703,r003,All companies -> Micro companies -> 1&#8211;4,All companies,Micro companies,1&#8211;4,3,"['    2,667,724 ', '&nbsp;']","['    60.3 ', '&nbsp;']","['    0.5 ', '&nbsp;']","['    7.7 ', '&nbsp;']","['    11.6 ', '&nbsp;']","['    13.3 ', '&nbsp;']","['    6.6 ', '&nbsp;']"
5703,r004,All companies -> Micro companies -> 5&#8211;9,All companies,Micro companies,5&#8211;9,3,"['    936,576 ', '&nbsp;']","['    51.9 ', '&nbsp;']","['    0.5 ', '&nbsp;']","['    7.8 ', '&nbsp;']","['    14.0 ', '&nbsp;']","['    18.8 ', '&nbsp;']","['    7.0 ', '&nbsp;']"
5703,r005,All companies -> Small companies,All companies,Small companies,,2,"['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']"
5703,r006,All companies -> Small companies -> 10&#8211;19,All companies,Small companies,10&#8211;19,3,"['    579,513 ', '&nbsp;']","['    48.3 ', '&nbsp;']","['    0.5 ', '&nbsp;']","['    7.8 ', '&nbsp;']","['    15.3 ', '&nbsp;']","['    21.1 ', '&nbsp;']","['    7.0 ', '&nbsp;']"
5703,r007,All companies -> Small companies -> 20&#8211;49,All companies,Small companies,20&#8211;49,3,"['    402,199 ', '&nbsp;']","['    44.4 ', '&nbsp;']","['    0.6 ', '&nbsp;']","['    8.1 ', '&nbsp;']","['    16.5 ', '&nbsp;']","['    23.2 ', '&nbsp;']","['    7.2 ', '&nbsp;']"
5703,r008,All companies -> Medium companies,All companies,Medium companies,,2,"['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']"
5703,r009,All companies -> Medium companies -> 50&#8211;99,All companies,Medium companies,50&#8211;99,3,"['    119,497 ', '&nbsp;']","['    38.5 ', '&nbsp;']","['    0.6 ', '&nbsp;']","['    8.5 ', '&nbsp;']","['    19.0 ', '&nbsp;']","['    25.6 ', '&nbsp;']","['    7.8 ', '&nbsp;']"
5703,r010,All companies -> Medium companies -> 100&#8211;249,All companies,Medium companies,100&#8211;249,3,"['    65,565 ', '&nbsp;']","['    32.6 ', '&nbsp;']","['    0.6 ', '&nbsp;']","['    9.3 ', '&nbsp;']","['    20.2 ', '&nbsp;']","['    28.7 ', '&nbsp;']","['    8.6 ', '&nbsp;']"
5703,r011,All companies -> Large companies,All companies,Large companies,,2,"['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']"
5703,r012,All companies -> Large companies -> 250&#8211;499,All companies,Large companies,250&#8211;499,3,"['    18,897 ', '&nbsp;']","['    31.3 ', '&nbsp;']","['    0.6 ', 'r']","['    8.4 ', '&nbsp;']","['    23.4 ', '&nbsp;']","['    26.7 ', '&nbsp;']","['    9.6 ', '&nbsp;']"
5703,r013,All companies -> Large companies -> 500&#8211;999,All companies,Large companies,500&#8211;999,3,"['    7,289 ', '&nbsp;']","['    30.4 ', '&nbsp;']","['    0.5 ', '&nbsp;']","['    8.1 ', 'r']","['    22.6 ', '&nbsp;']","['    25.9 ', '&nbsp;']","['    12.5 ', '&nbsp;']"
5703,r014,"All companies -> Large companies -> 1,000&#8211;4,999",All companies,Large companies,"1,000&#8211;4,999",3,"['    6,199 ', '&nbsp;']","['    24.0 ', '&nbsp;']","['    0.5 ', '&nbsp;']","['    8.4 ', 'r']","['    22.8 ', '&nbsp;']","['    28.9 ', '&nbsp;']","['    15.4 ', '&nbsp;']"
5703,r015,"All companies -> Large companies -> 5,000&#8211;9,999",All companies,Large companies,"5,000&#8211;9,999",3,"['    823 ', '&nbsp;']","['    17.1 ', '&nbsp;']","['    0.9 ', '&nbsp;']","['    6.6 ', '&nbsp;']","['    24.9 ', '&nbsp;']","['    26.5 ', '&nbsp;']","['    23.8 ', '&nbsp;']"
5703,r016,"All companies -> Large companies -> 10,000&#8211;24,999",All companies,Large companies,"10,000&#8211;24,999",3,"['    514 ', '&nbsp;']","['    12.6 ', '&nbsp;']","['    1.6 ', '&nbsp;']","['    8.8 ', '&nbsp;']","['    24.5 ', '&nbsp;']","['    24.9 ', '&nbsp;']","['    27.4 ', '&nbsp;']"
5703,r017,"All companies -> Large companies -> 25,000 or more",All companies,Large companies,"25,000 or more",3,"['    358 ', '&nbsp;']","['    10.6 ', '&nbsp;']","['D', '&nbsp;']","['    3.9 ', '&nbsp;']","['    20.4 ', '&nbsp;']","['    24.3 ', '&nbsp;']","['    41.9 ', 'r']"
