table_id,row_id,dissertation_research_fields_full_path,dissertation_research_fields_level_1,dissertation_research_fields_level_2,dissertation_research_fields_level_3,dissertation_research_fields_hierarchy_depth,field_2020,field_2021,field_change_number_and_percentage_point_a
7643,r001,All doctorate recipients (number),All doctorate recipients (number),,,1,55224,52250,-2974
7643,r002,All doctorate recipients (number) -> Dissertation research field reported (number),All doctorate recipients (number),Dissertation research field reported (number),,2,49149,46702,-2447
7643,r003,All doctorate recipients (number) -> At least two dissertation fields reported,All doctorate recipients (number),At least two dissertation fields reported,,2,,,
7643,r004,All doctorate recipients (number) -> At least two dissertation fields reported -> Number,All doctorate recipients (number),At least two dissertation fields reported,Number,3,18063,22044,3981
7643,r005,All doctorate recipients (number) -> At least two dissertation fields reported -> Percent,All doctorate recipients (number),At least two dissertation fields reported,Percent,3,36.8,47.2,10.4
7643,r006,All doctorate recipients (number) -> At least three dissertation fields reported,All doctorate recipients (number),At least three dissertation fields reported,,2,,,
7643,r007,All doctorate recipients (number) -> At least three dissertation fields reported -> Number,All doctorate recipients (number),At least three dissertation fields reported,Number,3,4891,5423,532
7643,r008,All doctorate recipients (number) -> At least three dissertation fields reported -> Percent,All doctorate recipients (number),At least three dissertation fields reported,Percent,3,10.0,11.6,1.7
7643,r009,All doctorate recipients (number) -> Four dissertation fields reported,All doctorate recipients (number),Four dissertation fields reported,,2,,,
7643,r010,All doctorate recipients (number) -> Four dissertation fields reported -> Number,All doctorate recipients (number),Four dissertation fields reported,Number,3,1077,1156,79
7643,r011,All doctorate recipients (number) -> Four dissertation fields reported -> Percent,All doctorate recipients (number),Four dissertation fields reported,Percent,3,2.2,2.5,0.3
7643,r012,All doctorate recipients (number) -> Missing or did not report dissertation research field (number),All doctorate recipients (number),Missing or did not report dissertation research field (number),,2,6075,5548,-527
