table_id,row_id,field_full_path,field_level_1,field_level_2,field_level_3,field_level_4,field_hierarchy_depth,field_all_institutions_number_all_s_e_graduate_students,field_all_institutions_number_female,field_all_institutions_number_male,field_hbcus_number_all_s_e_graduate_students,field_hbcus_number_female,field_hbcus_number_male,field_hbcus_all_s_e_graduate_students,field_hbcus_female,field_hbcus_male
1136,r001,S&E,S&E,,,,1,30600,17630,12970,4485,2810,1675,14.7,15.9,12.9
1136,r002,S&E -> Science,S&E,Science,,,2,26890,16561,10329,4045,2663,1382,15.0,16.1,13.4
1136,r003,S&E -> Science -> Agricultural sciences,S&E,Science,Agricultural sciences,,3,563,326,237,195,112,83,34.6,34.4,35.0
1136,r004,S&E -> Science -> Biological sciences,S&E,Science,Biological sciences,,3,4261,2850,1411,599,418,181,14.1,14.7,12.8
1136,r005,S&E -> Science -> Biological sciences -> Anatomy,S&E,Science,Biological sciences,Anatomy,4,21,13,8,8,5,3,38.1,38.5,37.5
1136,r006,S&E -> Science -> Biological sciences -> Biochemistry,S&E,Science,Biological sciences,Biochemistry,4,151,84,67,16,7,9,10.6,8.3,13.4
1136,r007,S&E -> Science -> Biological sciences -> Biology,S&E,Science,Biological sciences,Biology,4,868,551,317,272,198,74,31.3,35.9,23.3
1136,r008,S&E -> Science -> Biological sciences -> Biometry and epidemiology,S&E,Science,Biological sciences,Biometry and epidemiology,4,552,381,171,8,4,4,1.4,1.0,2.3
1136,r009,S&E -> Science -> Biological sciences -> Biophysics,S&E,Science,Biological sciences,Biophysics,4,13,10,3,0,0,0,0.0,0.0,0.0
1136,r010,S&E -> Science -> Biological sciences -> Botany and plant biology,S&E,Science,Biological sciences,Botany and plant biology,4,33,19,14,0,0,0,0.0,0.0,0.0
1136,r011,S&E -> Science -> Biological sciences -> Cell and molecular biology,S&E,Science,Biological sciences,Cell and molecular biology,4,261,170,91,0,0,0,0.0,0.0,0.0
1136,r012,S&E -> Science -> Biological sciences -> Ecology,S&E,Science,Biological sciences,Ecology,4,20,15,5,0,0,0,0.0,0.0,0.0
1136,r013,S&E -> Science -> Biological sciences -> Entomology and parasitology,S&E,Science,Biological sciences,Entomology and parasitology,4,27,19,8,1,1,0,3.7,5.3,0.0
1136,r014,S&E -> Science -> Biological sciences -> Genetics,S&E,Science,Biological sciences,Genetics,4,61,44,17,3,3,0,4.9,6.8,0.0
1136,r015,"S&E -> Science -> Biological sciences -> Microbiology, immunology, and virology",S&E,Science,Biological sciences,"Microbiology, immunology, and virology",4,232,156,76,33,22,11,14.2,14.1,14.5
1136,r016,S&E -> Science -> Biological sciences -> Nutrition,S&E,Science,Biological sciences,Nutrition,4,240,194,46,65,45,20,27.1,23.2,43.5
1136,r017,S&E -> Science -> Biological sciences -> Pathology,S&E,Science,Biological sciences,Pathology,4,51,34,17,0,0,0,0.0,0.0,0.0
1136,r018,S&E -> Science -> Biological sciences -> Pharmacology and toxicology,S&E,Science,Biological sciences,Pharmacology and toxicology,4,227,145,82,69,44,25,30.4,30.3,30.5
1136,r019,S&E -> Science -> Biological sciences -> Physiology,S&E,Science,Biological sciences,Physiology,4,230,148,82,2,1,1,0.9,0.7,1.2
1136,r020,S&E -> Science -> Biological sciences -> Zoology,S&E,Science,Biological sciences,Zoology,4,9,7,2,0,0,0,0.0,0.0,0.0
1136,r021,S&E -> Science -> Biological sciences -> Biosciences nec,S&E,Science,Biological sciences,Biosciences nec,4,1265,860,405,122,88,34,9.6,10.2,8.4
1136,r022,S&E -> Science -> Communication,S&E,Science,Communication,,3,1314,952,362,158,112,46,12.0,11.8,12.7
1136,r023,S&E -> Science -> Computer sciences,S&E,Science,Computer sciences,,3,3828,1316,2512,246,76,170,6.4,5.8,6.8
1136,r024,"S&E -> Science -> Earth, atmospheric, and ocean sciences",S&E,Science,"Earth, atmospheric, and ocean sciences",,3,315,157,158,75,46,29,23.8,29.3,18.4
1136,r025,"S&E -> Science -> Earth, atmospheric, and ocean sciences -> Atmospheric sciences",S&E,Science,"Earth, atmospheric, and ocean sciences",Atmospheric sciences,4,40,21,19,26,15,11,65.0,71.4,57.9
1136,r026,"S&E -> Science -> Earth, atmospheric, and ocean sciences -> Geosciences",S&E,Science,"Earth, atmospheric, and ocean sciences",Geosciences,4,162,75,87,10,5,5,6.2,6.7,5.7
1136,r027,"S&E -> Science -> Earth, atmospheric, and ocean sciences -> Ocean sciences",S&E,Science,"Earth, atmospheric, and ocean sciences",Ocean sciences,4,36,18,18,4,3,1,11.1,16.7,5.6
1136,r028,"S&E -> Science -> Earth, atmospheric, and ocean sciences -> Earth, atmospheric, and ocean sciences nec",S&E,Science,"Earth, atmospheric, and ocean sciences","Earth, atmospheric, and ocean sciences nec",4,77,43,34,35,23,12,45.5,53.5,35.3
1136,r029,S&E -> Science -> Family and consumer sciences and human sciences,S&E,Science,Family and consumer sciences and human sciences,,3,529,441,88,144,118,26,27.2,26.8,29.5
1136,r030,S&E -> Science -> Mathematics and statistics,S&E,Science,Mathematics and statistics,,3,648,258,390,68,36,32,10.5,14.0,8.2
1136,r031,S&E -> Science -> Mathematics and statistics -> Mathematics and applied mathematics,S&E,Science,Mathematics and statistics,Mathematics and applied mathematics,4,494,203,291,68,36,32,13.8,17.7,11.0
1136,r032,S&E -> Science -> Mathematics and statistics -> Statistics,S&E,Science,Mathematics and statistics,Statistics,4,154,55,99,0,0,0,0.0,0.0,0.0
1136,r033,S&E -> Science -> Multidisciplinary and interdisciplinary studies,S&E,Science,Multidisciplinary and interdisciplinary studies,,3,587,356,231,91,64,27,15.5,18.0,11.7
1136,r034,S&E -> Science -> Neurobiology and neuroscience,S&E,Science,Neurobiology and neuroscience,,3,172,104,68,7,3,4,4.1,2.9,5.9
1136,r035,S&E -> Science -> Physical sciences,S&E,Science,Physical sciences,,3,906,413,493,149,77,72,16.4,18.6,14.6
1136,r036,S&E -> Science -> Physical sciences -> Astronomy and astrophysics,S&E,Science,Physical sciences,Astronomy and astrophysics,4,19,8,11,0,0,0,0.0,0.0,0.0
1136,r037,S&E -> Science -> Physical sciences -> Chemistry,S&E,Science,Physical sciences,Chemistry,4,656,343,313,101,56,45,15.4,16.3,14.4
1136,r038,S&E -> Science -> Physical sciences -> Physics,S&E,Science,Physical sciences,Physics,4,196,47,149,48,21,27,24.5,44.7,18.1
1136,r039,S&E -> Science -> Physical sciences -> Physical sciences nec,S&E,Science,Physical sciences,Physical sciences nec,4,35,15,20,0,0,0,0.0,0.0,0.0
1136,r040,S&E -> Science -> Psychology,S&E,Science,Psychology,,3,3730,2880,850,483,373,110,12.9,13.0,12.9
1136,r041,S&E -> Science -> Psychology -> Clinical psychology,S&E,Science,Psychology,Clinical psychology,4,549,423,126,50,38,12,9.1,9.0,9.5
1136,r042,"S&E -> Science -> Psychology -> Psychology, general",S&E,Science,Psychology,"Psychology, general",4,1000,751,249,310,237,73,31.0,31.6,29.3
1136,r043,S&E -> Science -> Psychology -> Psychology nec,S&E,Science,Psychology,Psychology nec,4,2181,1706,475,123,98,25,5.6,5.7,5.3
1136,r044,S&E -> Science -> Social sciences,S&E,Science,Social sciences,,3,10037,6508,3529,1830,1228,602,18.2,18.9,17.1
1136,r045,S&E -> Science -> Social sciences -> Agricultural economics,S&E,Science,Social sciences,Agricultural economics,4,46,20,26,2,1,1,4.3,5.0,3.8
1136,r046,S&E -> Science -> Social sciences -> Anthropology,S&E,Science,Social sciences,Anthropology,4,232,170,62,0,0,0,0.0,0.0,0.0
1136,r047,S&E -> Science -> Social sciences -> Economics (except agricultural),S&E,Science,Social sciences,Economics (except agricultural),4,387,141,246,32,13,19,8.3,9.2,7.7
1136,r048,S&E -> Science -> Social sciences -> Geography,S&E,Science,Social sciences,Geography,4,139,71,68,0,0,0,0.0,0.0,0.0
1136,r049,S&E -> Science -> Social sciences -> History and philosophy of science,S&E,Science,Social sciences,History and philosophy of science,4,6,4,2,0,0,0,0.0,0.0,0.0
1136,r050,S&E -> Science -> Social sciences -> Linguistics,S&E,Science,Social sciences,Linguistics,4,66,52,14,0,0,0,0.0,0.0,0.0
1136,r051,S&E -> Science -> Social sciences -> Political science and government,S&E,Science,Social sciences,Political science and government,4,5660,3660,2000,911,597,314,16.1,16.3,15.7
1136,r052,S&E -> Science -> Social sciences -> Sociology,S&E,Science,Social sciences,Sociology,4,911,612,299,85,58,27,9.3,9.5,9.0
1136,r053,S&E -> Science -> Social sciences -> Sociology and anthropology,S&E,Science,Social sciences,Sociology and anthropology,4,42,29,13,33,23,10,78.6,79.3,76.9
1136,r054,S&E -> Science -> Social sciences -> Social sciences nec,S&E,Science,Social sciences,Social sciences nec,4,2548,1749,799,767,536,231,30.1,30.6,28.9
1136,r055,S&E -> Engineering,S&E,Engineering,,,2,3710,1069,2641,440,147,293,11.9,13.8,11.1
1136,r056,S&E -> Engineering -> Aerospace engineering,S&E,Engineering,Aerospace engineering,,3,91,17,74,0,0,0,0.0,0.0,0.0
1136,r057,S&E -> Engineering -> Agricultural engineering,S&E,Engineering,Agricultural engineering,,3,36,23,13,12,8,4,33.3,34.8,30.8
1136,r058,S&E -> Engineering -> Architecture,S&E,Engineering,Architecture,,3,92,42,50,45,18,27,48.9,42.9,54.0
1136,r059,S&E -> Engineering -> Biomedical engineering,S&E,Engineering,Biomedical engineering,,3,294,134,160,2,1,1,0.7,0.7,0.6
1136,r060,S&E -> Engineering -> Chemical engineering,S&E,Engineering,Chemical engineering,,3,227,81,146,24,8,16,10.6,9.9,11.0
1136,r061,S&E -> Engineering -> Civil engineering,S&E,Engineering,Civil engineering,,3,441,130,311,27,8,19,6.1,6.2,6.1
1136,r062,S&E -> Engineering -> Electrical engineering,S&E,Engineering,Electrical engineering,,3,806,144,662,100,25,75,12.4,17.4,11.3
1136,r063,"S&E -> Engineering -> Engineering science, mechanics, and physics",S&E,Engineering,"Engineering science, mechanics, and physics",,3,43,13,30,18,4,14,41.9,30.8,46.7
1136,r064,S&E -> Engineering -> Industrial and manufacturing engineering,S&E,Engineering,Industrial and manufacturing engineering,,3,529,176,353,29,11,18,5.5,6.3,5.1
1136,r065,S&E -> Engineering -> Mechanical engineering,S&E,Engineering,Mechanical engineering,,3,446,91,355,22,9,13,4.9,9.9,3.7
1136,r066,S&E -> Engineering -> Metallurgical and materials engineering,S&E,Engineering,Metallurgical and materials engineering,,3,154,54,100,19,8,11,12.3,14.8,11.0
