table_id,row_id,field_of_s_e_highest_degree_full_path,field_of_s_e_highest_degree_level_1,field_of_s_e_highest_degree_level_2,field_of_s_e_highest_degree_level_3,field_of_s_e_highest_degree_level_4,field_of_s_e_highest_degree_hierarchy_depth,field_total,field_female_number,field_female_percent,field_male_number,field_male_percent
4397,r001,All S&E highest degree,All S&E highest degree,,,,1,15362,6132,39.9,9230,60.1
4397,r002,All S&E highest degree -> Computer and mathematical sciences,All S&E highest degree,Computer and mathematical sciences,,,2,2837,809,28.5,2028,71.5
4397,r003,All S&E highest degree -> Computer and mathematical sciences -> Computer and information sciences,All S&E highest degree,Computer and mathematical sciences,Computer and information sciences,,3,2203,540,24.5,1663,75.5
4397,r004,"All S&E highest degree -> Computer and mathematical sciences -> Computer and information sciences -> Computer and information sciences, general",All S&E highest degree,Computer and mathematical sciences,Computer and information sciences,"Computer and information sciences, general",4,350,88,25.3,262,74.7
4397,r005,All S&E highest degree -> Computer and mathematical sciences -> Computer and information sciences -> Computer sciences,All S&E highest degree,Computer and mathematical sciences,Computer and information sciences,Computer sciences,4,1218,266,21.9,952,78.1
4397,r006,All S&E highest degree -> Computer and mathematical sciences -> Computer and information sciences -> Computer systems analysis,All S&E highest degree,Computer and mathematical sciences,Computer and information sciences,Computer systems analysis,4,46,9,19.5,37,80.5
4397,r007,All S&E highest degree -> Computer and mathematical sciences -> Computer and information sciences -> Information services and systems,All S&E highest degree,Computer and mathematical sciences,Computer and information sciences,Information services and systems,4,437,133,30.4,304,69.6
4397,r008,All S&E highest degree -> Computer and mathematical sciences -> Computer and information sciences -> Other computer and information sciences,All S&E highest degree,Computer and mathematical sciences,Computer and information sciences,Other computer and information sciences,4,152,43,28.5,109,71.5
4397,r009,All S&E highest degree -> Computer and mathematical sciences -> Mathematics and statistics,All S&E highest degree,Computer and mathematical sciences,Mathematics and statistics,,3,634,269,42.4,365,57.6
4397,r010,All S&E highest degree -> Computer and mathematical sciences -> Mathematics and statistics -> Applied mathematics,All S&E highest degree,Computer and mathematical sciences,Mathematics and statistics,Applied mathematics,4,76,28,36.8,48,63.2
4397,r011,"All S&E highest degree -> Computer and mathematical sciences -> Mathematics and statistics -> Mathematics, general",All S&E highest degree,Computer and mathematical sciences,Mathematics and statistics,"Mathematics, general",4,397,179,45.1,218,54.9
4397,r012,All S&E highest degree -> Computer and mathematical sciences -> Mathematics and statistics -> Operations research,All S&E highest degree,Computer and mathematical sciences,Mathematics and statistics,Operations research,4,42,7,17.2,35,82.8
