table_id,row_id,industry_and_company_size_full_path,industry_and_company_size_level_1,industry_and_company_size_level_2,industry_and_company_size_level_3,industry_and_company_size_level_4,industry_and_company_size_level_5,industry_and_company_size_hierarchy_depth,field_naics_code,field_companies_u_s_totala_number_,field_united_states,field_nebraska,field_nevada,field_new_hampshire,field_new_jersey,field_new_mexico,field_new_york,field_north_carolina,field_north_dakota,field_ohio,field_oklahoma,field_oregon,field_pennsylvania,field_rhode_island,field_south_carolina,field_south_dakota,field_tennessee,field_texas,field_utah,field_vermont,field_virginia,field_washington,field_west_virginia,field_wisconsin,field_wyoming,field_undistributedb
8821,r001,All industries,All industries,,,,,1,"21–23, 31–33, 42–81","['28,720', '&nbsp;']","['466,162', '&nbsp;']","['769', '&nbsp;']","['707', '&nbsp;']","['1,093', '&nbsp;']","['18,054', '&nbsp;']","['857', '&nbsp;']","['21,062', '&nbsp;']","['9,242', '&nbsp;']","['331', '&nbsp;']","['7,511', '&nbsp;']","['945', '&nbsp;']","['10,190', '&nbsp;']","['13,544', '&nbsp;']","['581', 'i']","['1,337', '&nbsp;']","['209', '&nbsp;']","['1,568', '&nbsp;']","['22,834', '&nbsp;']","['2,981', '&nbsp;']","['295', '&nbsp;']","['5,072', '&nbsp;']","['40,576', '&nbsp;']","['203', '&nbsp;']","['5,506', '&nbsp;']","['1,035', '&nbsp;']","['707', '&nbsp;']"
8821,r002,All industries -> Manufacturing industries,All industries,Manufacturing industries,,,,2,31–33,"['15,420', '']","['264,596', '']","['234', '']","['374', '']","['702', '']","['14,211', '']","['282', '']","['8,949', '']","['5,634', '']","['163', '']","['6,058', '']","['612', '']","['8,643', '']","['10,523', '']","['518', 'i']","['991', '']","['157', '']","['990', '']","['15,059', '']","['1,447', '']","['171', '']","['1,365', '']","['5,061', '']","['170', '']","['3,486', '']","['1,010', '']","['425', '']"
8821,r003,All industries -> Manufacturing industries -> Food,All industries,Manufacturing industries,Food,,,3,311,"['970', '']","['4,985', '']","['56', '']","['2', 'e']","['13', '']","['254', '']","['2', 'i']","['50', '']","['159', '']","['4', '']","['153', '']","['66', '']","['19', '']","['70', '']","['1', 'e']","['7', '']","['5', 'i']","['27', '']","['53', '']","['7', '']","['3', '']","['51', '']","['50', '']","['*', 'e']","['111', '']","['0 - 69', 'e']","['0 - 69', '']"
8821,r004,All industries -> Manufacturing industries -> Beverage and tobacco products,All industries,Manufacturing industries,Beverage and tobacco products,,,3,312,"['240', '']","['1,056', '']","['*', 'e']","['*', 'e']","['*', 'e']","['1', 'e']","['*', 'e']","['306', '']","['98', '']","['*', 'e']","['1', 'i']","['1', 'i']","['3', '']","['5', '']","['*', 'e']","['*', 'e']","['*', 'e']","['*', 'e']","['204', '']","['*', 'i']","['1', 'i']","['91', '']","['8', '']","['*', 'e']","['7', '']","['*', 'e']","['6', '']"
8821,r005,"All industries -> Manufacturing industries -> Textile, apparel, and leather products",All industries,Manufacturing industries,"Textile, apparel, and leather products",,,3,313–16,"['230', '']","['812', '']","['*', 'e']","['*', '']","['5', '']","['18', '']","['*', 'e']","['23', '']","['40', '']","['*', 'e']","['82', '']","['1', '']","['19', '']","['3', 'i']","['*', 'e']","['64', '']","['*', 'e']","['1', 'e']","['1', 'e']","['6', '']","['*', 'e']","['1', '']","['14', '']","['*', 'e']","['20', '']","['0 - 28', '']","['0 - 28', '']"
8821,r006,All industries -> Manufacturing industries -> Wood products,All industries,Manufacturing industries,Wood products,,,3,321,"['130', '']","['183', '']","['*', 'e']","['*', 'e']","['*', 'e']","['*', 'e']","['*', '']","['*', 'i']","['5', 'i']","['7', '']","['2', '']","['*', '']","['2', '']","['4', 'i']","['2', '']","['*', 'e']","['*', 'e']","['4', '']","['7', '']","['*', 'i']","['*', 'i']","['7', '']","['11', '']","['*', 'e']","['16', '']","['*', 'e']","['10', '']"
8821,r007,All industries -> Manufacturing industries -> Paper,All industries,Manufacturing industries,Paper,,,3,322,"['100', '']","['927', '']","['1', '']","['*', 'e']","['2', '']","['14', '']","['*', 'e']","['16', '']","['38', '']","['0', '']","['25', '']","['*', '']","['*', '']","['18', '']","['4', '']","['143', '']","['*', 'e']","['15', '']","['5', '']","['*', 'e']","['*', 'e']","['62', '']","['11', '']","['*', 'e']","['338', '']","['*', 'e']","['5', '']"
8821,r008,All industries -> Manufacturing industries -> Printing and related support activities,All industries,Manufacturing industries,Printing and related support activities,,,3,323,"['210', '']","['282', '']","['*', 'e']","['*', 'e']","['*', '']","['1', 'i']","['1', 'i']","['7', '']","['17', '']","['*', 'e']","['4', '']","['*', '']","['1', 'i']","['15', '']","['*', 'i']","['1', 'i']","['*', 'e']","['13', '']","['1', '']","['1', 'i']","['*', 'e']","['*', 'e']","['6', '']","['4', '']","['31', '']","['*', 'e']","['12', '']"
8821,r009,All industries -> Manufacturing industries -> Petroleum and coal products,All industries,Manufacturing industries,Petroleum and coal products,,,3,324,"['100', '']","['1,222', '']","['*', 'e']","['2', 'e']","['*', 'e']","['345', '']","['*', 'e']","['7', 'e']","['4', 'e']","['0', '']","['13', 'e']","['0 - 58', '']","['3', '']","['20', '']","['*', 'e']","['11', '']","['*', 'e']","['1', 'e']","['597', '']","['4', '']","['0', '']","['7', '']","['1', 'e']","['*', 'e']","['4', '']","['0', '']","['0 - 70', '']"
8821,r010,All industries -> Manufacturing industries -> Chemicals,All industries,Manufacturing industries,Chemicals,,,3,325,"['2,450', '']","['89,403', '']","['23', '']","['20', '']","['48', '']","['11,883', '']","['14', 'e']","['4,460', '']","['2,103', '']","['3', '']","['2,486', '']","['25', '']","['133', '']","['7,421', '']","['41', '']","['116', '']","['35', '']","['319', '']","['1,340', '']","['332', '']","['20', '']","['228', '']","['1,336', 'i']","['132', '']","['558', '']","['2', '']","['40', '']"
8821,r011,All industries -> Manufacturing industries -> Chemicals -> Basic chemicals,All industries,Manufacturing industries,Chemicals,Basic chemicals,,4,3251,"['300', '']","['2,523', '']","['5', 'e']","['2', 'e']","['2', '']","['166', '']","['8', 'e']","['157', '']","['36', '']","['1', 'e']","['249', '']","['10', '']","['9', '']","['212', '']","['3', 'e']","['25', '']","['31', '']","['229', '']","['232', '']","['2', '']","['0', '']","['116', '']","['19', '']","['10', '']","['50', '']","['1', '']","['8', '']"
8821,r012,"All industries -> Manufacturing industries -> Chemicals -> Resin, synthetic rubber, and artificial synthetic fibers and filaments",All industries,Manufacturing industries,Chemicals,"Resin, synthetic rubber, and artificial synthetic fibers and filaments",,4,3252,"['150', '']","['1,161', '']","['*', 'e']","['*', '']","['*', 'e']","['8', '']","['0', '']","['31', 'i']","['9', '']","['0', '']","['246', '']","['1', '']","['3', '']","['113', '']","['2', '']","['15', '']","['2', '']","['6', '']","['253', '']","['*', 'e']","['*', 'e']","['29', 'i']","['7', '']","['25', '']","['7', '']","['0', '']","['3', '']"
8821,r013,"All industries -> Manufacturing industries -> Chemicals -> Pesticide, fertilizer, and other agricultural chemicals",All industries,Manufacturing industries,Chemicals,"Pesticide, fertilizer, and other agricultural chemicals",,4,3253,"['130', '']","['775', '']","['1', '']","['*', 'e']","['*', '']","['158', '']","['*', 'e']","['2', 'e']","['268', '']","['*', '']","['4', '']","['*', 'e']","['1', '']","['3', 'e']","['0', '']","['*', '']","['*', '']","['1', '']","['8', '']","['*', 'e']","['*', 'e']","['13', '']","['4', '']","['*', 'e']","['27', '']","['0', '']","['4', '']"
8821,r014,All industries -> Manufacturing industries -> Chemicals -> Pharmaceuticals and medicines,All industries,Manufacturing industries,Chemicals,Pharmaceuticals and medicines,,4,3254,"['1,190', '']","['80,858', '']","['14', '']","['16', 'i']","['39', '']","['11,267', '']","['6', '']","['4,036', '']","['1,700', '']","['1', '']","['585', '']","['9', '']","['30', '']","['6,920', '']","['33', '']","['53', '']","['1', 'e']","['71', '']","['779', '']","['324', '']","['15', '']","['59', '']","['1,264', 'i']","['96', '']","['328', '']","['*', 'e']","['3', '']"
8821,r015,"All industries -> Manufacturing industries -> Chemicals -> Soap, cleaning compound, and toilet preparation",All industries,Manufacturing industries,Chemicals,"Soap, cleaning compound, and toilet preparation",,4,3256,"['340', '']","['2,476', '']","['2', '']","['*', 'e']","['*', 'e']","['212', 'i']","['*', 'e']","['198', 'i']","['24', '']","['0', '']","['1,140', '']","['*', 'e']","['2', 'e']","['17', 'i']","['3', '']","['3', 'i']","['*', 'e']","['6', '']","['29', '']","['1', 'e']","['4', '']","['1', 'e']","['2', 'e']","['1', 'e']","['131', '']","['0', '']","['7', '']"
8821,r016,"All industries -> Manufacturing industries -> Chemicals -> Paint, coating, adhesive, and other chemicals",All industries,Manufacturing industries,Chemicals,"Paint, coating, adhesive, and other chemicals",,4,"3255, 3259","['370', '']","['1,610', '']","['*', 'e']","['1', 'i']","['6', '']","['71', '']","['*', 'e']","['36', '']","['66', '']","['*', '']","['263', '']","['5', '']","['87', '']","['156', '']","['*', 'e']","['20', '']","['*', 'e']","['6', '']","['41', '']","['5', '']","['*', 'i']","['9', '']","['39', '']","['*', 'e']","['15', '']","['*', 'e']","['15', '']"
8821,r017,All industries -> Manufacturing industries -> Plastics and rubber products,All industries,Manufacturing industries,Plastics and rubber products,,,3,326,"['1,020', '']","['2,607', '']","['14', '']","['2', 'e']","['14', '']","['11', 'e']","['*', 'e']","['168', '']","['119', '']","['1', 'e']","['443', '']","['84', '']","['5', 'i']","['86', '']","['9', '']","['51', '']","['3', '']","['34', '']","['117', '']","['3', '']","['*', 'e']","['24', '']","['15', '']","['1', 'e']","['172', '']","['0 - 59', '']","['0 - 59', '']"
8821,r018,All industries -> Manufacturing industries -> Nonmetallic mineral products,All industries,Manufacturing industries,Nonmetallic mineral products,,,3,327,"['240', '']","['1,619', 'i']","['*', 'e']","['1', 'e']","['1', '']","['11', '']","['*', 'e']","['913 - 1,060', 'i']","['12', '']","['*', 'e']","['88', '']","['1', 'e']","['4', '']","['51', '']","['*', 'e']","['8', '']","['*', 'e']","['5', 'i']","['11', '']","['1', 'e']","['1', 'i']","['1', 'e']","['11', '']","['2', '']","['10', '']","['0 - 147', 'e']","['0 - 147', '']"
8821,r019,All industries -> Manufacturing industries -> Primary metals,All industries,Manufacturing industries,Primary metals,,,3,331,"['270', '']","['795', '']","['*', 'e']","['*', 'e']","['8', '']","['3', 'e']","['4', 'i']","['11', '']","['11', '']","['*', 'e']","['57', '']","['4', '']","['5', '']","['128', '']","['1', 'e']","['8', '']","['1', '']","['3', 'e']","['190', '']","['4', '']","['1', 'i']","['2', '']","['3', 'e']","['1', '']","['36', '']","['0 - 31', 'e']","['0 - 31', '']"
8821,r020,All industries -> Manufacturing industries -> Fabricated metal products,All industries,Manufacturing industries,Fabricated metal products,,,3,332,"['2,250', '']","['3,336', '']","['10', '']","['8', 'e']","['49', '']","['52', '']","['3', 'e']","['85', 'e']","['61', '']","['2', 'e']","['242', '']","['23', 'e']","['27', 'e']","['126', 'e']","['13', '']","['51', '']","['3', 'e']","['47', '']","['313', '']","['24', '']","['2', 'e']","['27', 'e']","['169', '']","['5', 'e']","['181', '']","['2', '']","['55', '']"
8821,r021,All industries -> Manufacturing industries -> Machinery,All industries,Manufacturing industries,Machinery,,,3,333,"['2,050', '']","['15,071', '']","['49', '']","['43', '']","['51', '']","['173', 'i']","['5', '']","['601', '']","['301', '']","['142', '']","['427', '']","['257', '']","['612', '']","['329', '']","['40', '']","['246', '']","['19', '']","['84', '']","['1,389', '']","['54', '']","['16', '']","['71', '']","['85', '']","['6', 'e']","['1,067', '']","['6', '']","['68', '']"
8821,r022,All industries -> Manufacturing industries -> Machinery -> Agricultural implement,All industries,Manufacturing industries,Machinery,Agricultural implement,,4,33311,"['160', '']","['1,760', '']","['41', '']","['*', 'i']","['0', '']","['*', 'i']","['*', 'e']","['1', 'e']","['36', '']","['55', '']","['72', '']","['0 - 92', '']","['2', 'i']","['0 - 92', '']","['*', '']","['3', '']","['8', '']","['5', '']","['2', '']","['3', '']","['0', '']","['*', 'e']","['9', '']","['0', '']","['20', '']","['*', 'e']","['0 - 38', '']"
8821,r023,All industries -> Manufacturing industries -> Machinery -> Semiconductor machinery,All industries,Manufacturing industries,Machinery,Semiconductor machinery,,4,333242,"['60', '']","['4,121', '']","['0', '']","['0', '']","['0', '']","['50', 'i']","['0', '']","['65', 'i']","['*', '']","['0', '']","['*', 'e']","['0', '']","['446', '']","['21', 'i']","['0', '']","['0', '']","['0', '']","['*', 'i']","['312', 'i']","['0', '']","['2', 'i']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['1', '']"
8821,r024,"All industries -> Manufacturing industries -> Machinery -> Engine, turbine, and power transmission equipment",All industries,Manufacturing industries,Machinery,"Engine, turbine, and power transmission equipment",,4,3336,"['90', '']","['1,523', '']","['*', 'e']","['3', '']","['1', '']","['15', '']","['0', '']","['313', '']","['12', '']","['*', 'e']","['48', '']","['2', '']","['1', '']","['6', '']","['1', 'i']","['180', '']","['*', 'e']","['*', 'e']","['3', '']","['*', 'e']","['0', '']","['32', '']","['4', '']","['*', 'e']","['612', '']","['0', '']","['31', '']"
8821,r025,All industries -> Manufacturing industries -> Machinery -> Other machinery,All industries,Manufacturing industries,Machinery,Other machinery,,4,other 333,"['1,760', '']","['7,667', '']","['9', 'e']","['40', '']","['50', '']","['107', 'i']","['5', '']","['223', '']","['253', '']","['86', '']","['306', '']","['162 - 256', '']","['163', '']","['208 - 304', '']","['39', '']","['62', '']","['11', '']","['79', '']","['1,071', '']","['51', '']","['14', '']","['39', '']","['72', '']","['6', 'e']","['435', '']","['6', '']","['0 - 38', '']"
8821,r026,All industries -> Manufacturing industries -> Computer and electronic products,All industries,Manufacturing industries,Computer and electronic products,,,3,334,"['2,090', '']","['88,505', '']","['43', '']","['45', '']","['406', '']","['796', '']","['243', '']","['1,476', '']","['1,939', '']","['2', 'e']","['605', '']","['54', '']","['7,092', '']","['1,032', '']","['48', '']","['122', '']","['32', '']","['92', '']","['9,180', 'i']","['500', '']","['105', '']","['295', '']","['1,048', '']","['5', '']","['155', '']","['821 - 1,002', '']","['0 - 165', '']"
8821,r027,All industries -> Manufacturing industries -> Computer and electronic products -> Communications equipment,All industries,Manufacturing industries,Computer and electronic products,Communications equipment,,4,3342,"['360', '']","['11,107', '']","['7', '']","['21', '']","['122', '']","['369', '']","['11', '']","['360', 'i']","['792', '']","['1', '']","['86', '']","['12', '']","['47', '']","['209', '']","['6', '']","['0 - 32', '']","['1', '']","['41', '']","['614', '']","['110', '']","['2', '']","['181', '']","['186', '']","['2', '']","['23', '']","['0 - 99', '']","['0', '']"
8821,r028,All industries -> Manufacturing industries -> Computer and electronic products -> Semiconductor and other electronic components,All industries,Manufacturing industries,Computer and electronic products,Semiconductor and other electronic components,,4,3344,"['530', '']","['40,801', '']","['8', '']","['4', 'i']","['101', '']","['191', 'i']","['227', '']","['303', '']","['770', '']","['0', '']","['105', '']","['0 - 9', 'e']","['6,722', '']","['418', '']","['26', '']","['38', '']","['2', 'e']","['17', '']","['2,730', '']","['202', '']","['97', '']","['35', 'i']","['179', '']","['1', 'e']","['48', '']","['489 - 1,002', '']","['0 - 165', '']"
