table_id,row_id,_b_agency_b_full_path,_b_agency_b_level_1,_b_agency_b_level_2,_b_agency_b_level_3,_b_agency_b_level_4,_b_agency_b_level_5,_b_agency_b_hierarchy_depth,field_total,field_anthropology,field_economics,field_political_science,field_sociology,field_other_social_sciences
6400,r001,All agencies surveyed,All agencies surveyed,,,,,1,450586.5,17274.0,47682.1,4554.1,20712.1,360364.2
6400,r002,All agencies surveyed -> Departments,All agencies surveyed,Departments,,,,2,,,,,,
6400,r003,All agencies surveyed -> Departments -> Department of Agriculture,All agencies surveyed,Departments,Department of Agriculture,,,3,39704.3,0.0,27321.1,0.0,10323.6,2059.6
6400,r004,All agencies surveyed -> Departments -> Department of Agriculture -> Agricultural Research Service,All agencies surveyed,Departments,Department of Agriculture,Agricultural Research Service,,4,338.2,0.0,338.2,0.0,0.0,0.0
6400,r005,All agencies surveyed -> Departments -> Department of Agriculture -> Economic Research Service,All agencies surveyed,Departments,Department of Agriculture,Economic Research Service,,4,4095.9,0.0,4095.9,0.0,0.0,0.0
6400,r006,All agencies surveyed -> Departments -> Department of Agriculture -> Forest Service,All agencies surveyed,Departments,Department of Agriculture,Forest Service,,4,4507.9,0.0,1874.0,0.0,574.3,2059.6
6400,r007,All agencies surveyed -> Departments -> Department of Agriculture -> National Institute of Food and Agriculture,All agencies surveyed,Departments,Department of Agriculture,National Institute of Food and Agriculture,,4,30762.2,0.0,21013.0,0.0,9749.2,0.0
6400,r008,All agencies surveyed -> Departments -> Department of Defense,All agencies surveyed,Departments,Department of Defense,,,3,86390.9,0.0,0.0,0.0,173.9,86216.9
6400,r009,All agencies surveyed -> Departments -> Department of Defense -> Department of the Air Force,All agencies surveyed,Departments,Department of Defense,Department of the Air Force,,4,54718.3,0.0,0.0,0.0,0.0,54718.3
6400,r010,All agencies surveyed -> Departments -> Department of Defense -> Department of the Army,All agencies surveyed,Departments,Department of Defense,Department of the Army,,4,2440.4,0.0,0.0,0.0,0.0,2440.4
6400,r011,All agencies surveyed -> Departments -> Department of Defense -> Department of the Navy,All agencies surveyed,Departments,Department of Defense,Department of the Navy,,4,13675.4,0.0,0.0,0.0,0.0,13675.4
6400,r012,All agencies surveyed -> Departments -> Department of Defense -> Other defense agencies,All agencies surveyed,Departments,Department of Defense,Other defense agencies,,4,15556.8,0.0,0.0,0.0,173.9,15382.9
6400,r013,All agencies surveyed -> Departments -> Department of Energy,All agencies surveyed,Departments,Department of Energy,,,3,66.0,0.0,66.0,0.0,0.0,0.0
6400,r014,All agencies surveyed -> Departments -> Department of Energy -> Advanced Research Projects Agency&#8212;Energy,All agencies surveyed,Departments,Department of Energy,Advanced Research Projects Agency&#8212;Energy,,4,66.0,0.0,66.0,0.0,0.0,0.0
6400,r015,All agencies surveyed -> Departments -> Department of Health and Human Services,All agencies surveyed,Departments,Department of Health and Human Services,,,3,139020.4,36.1,3429.1,0.0,0.0,135555.2
6400,r016,All agencies surveyed -> Departments -> Department of Health and Human Services -> Administration for Community Living,All agencies surveyed,Departments,Department of Health and Human Services,Administration for Community Living,,4,53372.5,0.0,0.0,0.0,0.0,53372.5
6400,r017,All agencies surveyed -> Departments -> Department of Health and Human Services -> Agency for Healthcare Research and Quality,All agencies surveyed,Departments,Department of Health and Human Services,Agency for Healthcare Research and Quality,,4,10152.3,36.1,3429.1,0.0,0.0,6687.1
6400,r018,All agencies surveyed -> Departments -> Department of Health and Human Services -> Centers for Disease Control and Prevention,All agencies surveyed,Departments,Department of Health and Human Services,Centers for Disease Control and Prevention,,4,470.0,0.0,0.0,0.0,0.0,470.0
6400,r019,All agencies surveyed -> Departments -> Department of Health and Human Services -> Health Resources and Services Administration,All agencies surveyed,Departments,Department of Health and Human Services,Health Resources and Services Administration,,4,1188.7,0.0,0.0,0.0,0.0,1188.7
6400,r020,All agencies surveyed -> Departments -> Department of Health and Human Services -> National Institutes of Health,All agencies surveyed,Departments,Department of Health and Human Services,National Institutes of Health,,4,71326.1,0.0,0.0,0.0,0.0,71326.1
6400,r021,All agencies surveyed -> Departments -> Department of Health and Human Services -> Office of the Secretary of Health and Human Services,All agencies surveyed,Departments,Department of Health and Human Services,Office of the Secretary of Health and Human Services,,4,2510.8,0.0,0.0,0.0,0.0,2510.8
6400,r022,All agencies surveyed -> Departments -> Department of Health and Human Services -> Office of the Secretary of Health and Human Services -> Office of the Assistant Secretary for Planning and Evaluation,All agencies surveyed,Departments,Department of Health and Human Services,Office of the Secretary of Health and Human Services,Office of the Assistant Secretary for Planning and Evaluation,5,2510.8,0.0,0.0,0.0,0.0,2510.8
6400,r023,All agencies surveyed -> Other agencies,All agencies surveyed,Other agencies,,,,2,,,,,,
6400,r024,All agencies surveyed -> Other agencies -> National Science Foundation,All agencies surveyed,Other agencies,National Science Foundation,,,3,185404.8,17237.9,16865.9,4554.1,10214.5,136532.5
