table_id,row_id,_b_agency_b_full_path,_b_agency_b_level_1,_b_agency_b_level_2,_b_agency_b_level_3,_b_agency_b_level_4,_b_agency_b_level_5,_b_agency_b_hierarchy_depth,field_obligations_2021,field_obligations_2022_preliminary_,field_outlays_2021,field_outlays_2022_preliminary_
10269,r001,All agencies,All agencies,,,,,1,4282438,4492112,3804699,4315922
10269,r002,All agencies -> Departments,All agencies,Departments,,,,2,,,,
10269,r003,All agencies -> Departments -> Department of Agriculture,All agencies,Departments,Department of Agriculture,,,3,57426,19038,111441,253038
10269,r004,All agencies -> Departments -> Department of Agriculture -> Agricultural Research Service,All agencies,Departments,Department of Agriculture,Agricultural Research Service,,4,45525,9000,99541,243000
10269,r005,All agencies -> Departments -> Department of Agriculture -> Forest Service,All agencies,Departments,Department of Agriculture,Forest Service,,4,11540,10038,11540,10038
10269,r006,All agencies -> Departments -> Department of Agriculture -> Natural Resources Conservation Service,All agencies,Departments,Department of Agriculture,Natural Resources Conservation Service,,4,360,0,360,0
10269,r007,All agencies -> Departments -> Department of Commerce,All agencies,Departments,Department of Commerce,,,3,428949,620055,264772,377470
10269,r008,All agencies -> Departments -> Department of Commerce -> National Institute of Standards and Technology,All agencies,Departments,Department of Commerce,National Institute of Standards and Technology,,4,250591,142515,120772,195470
10269,r009,All agencies -> Departments -> Department of Commerce -> National Oceanic and Atmospheric Administration,All agencies,Departments,Department of Commerce,National Oceanic and Atmospheric Administration,,4,178358,477540,144000,182000
10269,r010,All agencies -> Departments -> Department of Defense,All agencies,Departments,Department of Defense,,,3,168901,161628,211478,166381
10269,r011,All agencies -> Departments -> Department of Defense -> Department of the Air Force,All agencies,Departments,Department of Defense,Department of the Air Force,,4,121334,117012,163206,120161
10269,r012,All agencies -> Departments -> Department of Defense -> Department of the Navy,All agencies,Departments,Department of Defense,Department of the Navy,,4,37246,36175,37520,36442
10269,r013,All agencies -> Departments -> Department of Defense -> Other defense agencies,All agencies,Departments,Department of Defense,Other defense agencies,,4,10322,8441,10752,9778
10269,r014,All agencies -> Departments -> Department of Energy,All agencies,Departments,Department of Energy,,,3,2667997,2472518,2329800,2386247
10269,r015,All agencies -> Departments -> Department of Energy -> Energy Efficiency and Renewable Energy,All agencies,Departments,Department of Energy,Energy Efficiency and Renewable Energy,,4,41696,60882,38234,49958
10269,r016,All agencies -> Departments -> Department of Energy -> Fossil Energy,All agencies,Departments,Department of Energy,Fossil Energy,,4,29000,29000,27700,29000
10269,r017,All agencies -> Departments -> Department of Energy -> National Nuclear Security Administration,All agencies,Departments,Department of Energy,National Nuclear Security Administration,,4,967480,863041,836073,772166
10269,r018,All agencies -> Departments -> Department of Energy -> National Nuclear Security Administration -> Defense Programs,All agencies,Departments,Department of Energy,National Nuclear Security Administration,Defense Programs,5,617475,437136,497539,357732
10269,r019,All agencies -> Departments -> Department of Energy -> National Nuclear Security Administration -> Naval Nuclear Propulsion Program,All agencies,Departments,Department of Energy,National Nuclear Security Administration,Naval Nuclear Propulsion Program,5,331000,406900,331000,406900
10269,r020,All agencies -> Departments -> Department of Energy -> National Nuclear Security Administration -> Office of Defense Nuclear Nonproliferation,All agencies,Departments,Department of Energy,National Nuclear Security Administration,Office of Defense Nuclear Nonproliferation,5,19005,19005,7534,7534
10269,r021,All agencies -> Departments -> Department of Energy -> Office of Science,All agencies,Departments,Department of Energy,Office of Science,,4,1629821,1519595,1427793,1535123
10269,r022,All agencies -> Departments -> Department of Health and Human Services,All agencies,Departments,Department of Health and Human Services,,,3,398710,240556,354960,340376
10269,r023,All agencies -> Departments -> Department of Health and Human Services -> Biomedical Advanced Research and Development Authority,All agencies,Departments,Department of Health and Human Services,Biomedical Advanced Research and Development Authority,,4,160005,171,160005,171
10269,r024,All agencies -> Departments -> Department of Health and Human Services -> Food and Drug Administration,All agencies,Departments,Department of Health and Human Services,Food and Drug Administration,,4,7993,9074,35411,40200
10269,r025,All agencies -> Departments -> Department of Health and Human Services -> Health Resources and Services Administration,All agencies,Departments,Department of Health and Human Services,Health Resources and Services Administration,,4,1311,1311,1289,1289
10269,r026,All agencies -> Departments -> Department of Health and Human Services -> National Institutes of Health,All agencies,Departments,Department of Health and Human Services,National Institutes of Health,,4,229400,230000,158254,298716
10269,r027,All agencies -> Departments -> Department of Homeland Security,All agencies,Departments,Department of Homeland Security,,,3,19831,20000,13035,27000
10269,r028,All agencies -> Departments -> Department of Homeland Security -> Science and Technology Directorate,All agencies,Departments,Department of Homeland Security,Science and Technology Directorate,,4,18831,19000,12035,26000
10269,r029,All agencies -> Departments -> Department of Homeland Security -> Transportation Security Administration,All agencies,Departments,Department of Homeland Security,Transportation Security Administration,,4,1000,1000,1000,1000
10269,r030,All agencies -> Departments -> Department of the Interior,All agencies,Departments,Department of the Interior,,,3,12865,7650,1500,1650
10269,r031,All agencies -> Departments -> Department of the Interior -> Bureau of Reclamation,All agencies,Departments,Department of the Interior,Bureau of Reclamation,,4,1500,1650,1500,1650
10269,r032,All agencies -> Departments -> Department of the Interior -> Bureau of Safety and Environmental Enforcement,All agencies,Departments,Department of the Interior,Bureau of Safety and Environmental Enforcement,,4,11365,6000,0,0
10269,r033,All agencies -> Departments -> Department of Transportation,All agencies,Departments,Department of Transportation,,,3,37033,37997,28500,30500
10269,r034,All agencies -> Departments -> Department of Transportation -> Federal Aviation Administration,All agencies,Departments,Department of Transportation,Federal Aviation Administration,,4,35101,35735,27000,28000
10269,r035,All agencies -> Departments -> Department of Transportation -> Federal Railroad Administration,All agencies,Departments,Department of Transportation,Federal Railroad Administration,,4,1432,1762,1000,2000
10269,r036,All agencies -> Departments -> Department of Transportation -> National Highway Traffic Safety Administration,All agencies,Departments,Department of Transportation,National Highway Traffic Safety Administration,,4,500,500,500,500
10269,r037,All agencies -> Departments -> Department of the Treasury,All agencies,Departments,Department of the Treasury,,,3,0,360,0,360
10269,r038,All agencies -> Departments -> Department of the Treasury -> Mint,All agencies,Departments,Department of the Treasury,Mint,,4,0,360,0,360
10269,r039,All agencies -> Other agencies,All agencies,Other agencies,,,,2,,,,
10269,r040,All agencies -> Other agencies -> Environmental Protection Agency,All agencies,Other agencies,Environmental Protection Agency,,,3,5810,5800,5810,5800
10269,r041,All agencies -> Other agencies -> National Aeronautics and Space Administration,All agencies,Other agencies,National Aeronautics and Space Administration,,,3,52056,99400,43303,54000
