table_id,row_id,budget_function_and_agency_full_path,budget_function_and_agency_level_1,budget_function_and_agency_level_2,budget_function_and_agency_level_3,budget_function_and_agency_level_4,budget_function_and_agency_level_5,budget_function_and_agency_level_6,budget_function_and_agency_hierarchy_depth,field_2017_actual,field_2018_preliminarya,field_2019_proposed,field_2017_18_change_,field_2018_19_change_
1315,r001,R&D and R&D plant,R&D and R&D plant,,,,,,1,57530,61088,66027,6.2,8.1
1315,r002,"R&D and R&D plant -> Department of Defense, military (051)<sup>b</sup>",R&D and R&D plant,"Department of Defense, military (051)<sup>b</sup>",,,,,2,51062,54623,59085,7.0,8.2
1315,r003,"R&D and R&D plant -> Department of Defense, military (051)<sup>b</sup> -> R&D within RDT&E accounts<sup>c</sup>",R&D and R&D plant,"Department of Defense, military (051)<sup>b</sup>",R&D within RDT&E accounts<sup>c</sup>,,,,3,47868,52613,56978,9.9,8.3
1315,r004,"R&D and R&D plant -> Department of Defense, military (051)<sup>b</sup> -> R&D within RDT&E accounts<sup>c</sup> -> Defense agencies",R&D and R&D plant,"Department of Defense, military (051)<sup>b</sup>",R&D within RDT&E accounts<sup>c</sup>,Defense agencies,,,4,14964,16614,17324,11.0,4.3
1315,r005,"R&D and R&D plant -> Department of Defense, military (051)<sup>b</sup> -> R&D within RDT&E accounts<sup>c</sup> -> Defense agencies -> Defense Advanced Research Projects Agency",R&D and R&D plant,"Department of Defense, military (051)<sup>b</sup>",R&D within RDT&E accounts<sup>c</sup>,Defense agencies,Defense Advanced Research Projects Agency,,5,2888,3170,3439,9.8,8.5
1315,r006,"R&D and R&D plant -> Department of Defense, military (051)<sup>b</sup> -> R&D within RDT&E accounts<sup>c</sup> -> Defense agencies -> Missile Defense Agency",R&D and R&D plant,"Department of Defense, military (051)<sup>b</sup>",R&D within RDT&E accounts<sup>c</sup>,Defense agencies,Missile Defense Agency,,5,6201,6798,6777,9.6,-0.3
1315,r007,"R&D and R&D plant -> Department of Defense, military (051)<sup>b</sup> -> R&D within RDT&E accounts<sup>c</sup> -> Defense agencies -> Other defense agencies",R&D and R&D plant,"Department of Defense, military (051)<sup>b</sup>",R&D within RDT&E accounts<sup>c</sup>,Defense agencies,Other defense agencies,,5,5875,6645,7108,13.1,7.0
1315,r008,"R&D and R&D plant -> Department of Defense, military (051)<sup>b</sup> -> R&D within RDT&E accounts<sup>c</sup> -> Department of the Air Force",R&D and R&D plant,"Department of Defense, military (051)<sup>b</sup>",R&D within RDT&E accounts<sup>c</sup>,Department of the Air Force,,,4,11125,14433,17300,29.7,19.9
1315,r009,"R&D and R&D plant -> Department of Defense, military (051)<sup>b</sup> -> R&D within RDT&E accounts<sup>c</sup> -> Department of the Army",R&D and R&D plant,"Department of Defense, military (051)<sup>b</sup>",R&D within RDT&E accounts<sup>c</sup>,Department of the Army,,,4,7556,7644,8502,1.2,11.2
1315,r010,"R&D and R&D plant -> Department of Defense, military (051)<sup>b</sup> -> R&D within RDT&E accounts<sup>c</sup> -> Department of the Navy",R&D and R&D plant,"Department of Defense, military (051)<sup>b</sup>",R&D within RDT&E accounts<sup>c</sup>,Department of the Navy,,,4,14034,13735,13631,-2.1,-0.8
1315,r011,"R&D and R&D plant -> Department of Defense, military (051)<sup>b</sup> -> R&D within RDT&E accounts<sup>c</sup> -> Operational Test and Evaluation",R&D and R&D plant,"Department of Defense, military (051)<sup>b</sup>",R&D within RDT&E accounts<sup>c</sup>,Operational Test and Evaluation,,,4,189,187,221,-0.9,17.9
1315,r012,"R&D and R&D plant -> Department of Defense, military (051)<sup>b</sup> -> Other military funding<sup>d</sup>",R&D and R&D plant,"Department of Defense, military (051)<sup>b</sup>",Other military funding<sup>d</sup>,,,,3,3194,2010,2107,-37.1,4.8
