table_id,row_id,_b_detailed_field_b_full_path,_b_detailed_field_b_level_1,_b_detailed_field_b_level_2,_b_detailed_field_b_level_3,_b_detailed_field_b_level_4,_b_detailed_field_b_hierarchy_depth,field_total_number,field_total_percent,field_u_s_citizens_and_permanent_residents_hispanic_or_latino_number,field_u_s_citizens_and_permanent_residents_hispanic_or_latino_percent,field_u_s_citizens_and_permanent_residents_not_hispanic_or_latino_american_indian_or_alaska_native_number,field_u_s_citizens_and_permanent_residents_not_hispanic_or_latino_american_indian_or_alaska_native_percent,field_u_s_citizens_and_permanent_residents_not_hispanic_or_latino_asian_number,field_u_s_citizens_and_permanent_residents_not_hispanic_or_latino_asian_percent,field_u_s_citizens_and_permanent_residents_not_hispanic_or_latino_black_or_african_american_number,field_u_s_citizens_and_permanent_residents_not_hispanic_or_latino_black_or_african_american_percent,field_u_s_citizens_and_permanent_residents_not_hispanic_or_latino_native_hawaiian_or_other_pacific_islander_number,field_u_s_citizens_and_permanent_residents_not_hispanic_or_latino_native_hawaiian_or_other_pacific_islander_percent,field_u_s_citizens_and_permanent_residents_not_hispanic_or_latino_white_number,field_u_s_citizens_and_permanent_residents_not_hispanic_or_latino_white_percent,field_u_s_citizens_and_permanent_residents_not_hispanic_or_latino_more_than_one_race_number,field_u_s_citizens_and_permanent_residents_not_hispanic_or_latino_more_than_one_race_percent,field_u_s_citizens_and_permanent_residents_unknown_ethnicity_and_race_number,field_u_s_citizens_and_permanent_residents_unknown_ethnicity_and_race_percent,field_temporary_visa_holders_number,field_temporary_visa_holders_percent
8325,r001,All detailed fields,All detailed fields,,,,1,293543,100.0,20493,100.0,749,100.0,19596,100.0,12173,100.0,195,100.0,109590,100.0,7170,100.0,7976,100.0,115601,100.0
8325,r002,All detailed fields -> Science,All detailed fields,Science,,,2,203988,69.5,15956,77.9,598,79.8,13618,69.5,8764,72.0,151,77.4,82983,75.7,5446,76.0,6090,76.4,70382,60.9
8325,r003,All detailed fields -> Science -> Agricultural and veterinary sciences,All detailed fields,Science,Agricultural and veterinary sciences,,3,4443,1.5,226,1.1,12,1.6,127,0.6,101,0.8,1,0.5,1794,1.6,76,1.1,67,0.8,2039,1.8
8325,r004,All detailed fields -> Science -> Agricultural and veterinary sciences -> Agricultural sciences,All detailed fields,Science,Agricultural and veterinary sciences,Agricultural sciences,4,3906,1.3,195,1.0,10,1.3,109,0.6,90,0.7,1,0.5,1547,1.4,59,0.8,52,0.7,1843,1.6
8325,r005,All detailed fields -> Science -> Agricultural and veterinary sciences -> Veterinary biomedical and clinical sciences,All detailed fields,Science,Agricultural and veterinary sciences,Veterinary biomedical and clinical sciences,4,537,0.2,31,0.2,2,0.3,18,0.1,11,0.1,0,0.0,247,0.2,17,0.2,15,0.2,196,0.2
8325,r006,All detailed fields -> Science -> Biological and biomedical sciences,All detailed fields,Science,Biological and biomedical sciences,,3,58155,19.8,5471,26.7,149,19.9,5251,26.8,2520,20.7,54,27.7,26409,24.1,1756,24.5,1637,20.5,14908,12.9
8325,r007,All detailed fields -> Science -> Biological and biomedical sciences -> Biochemistry,All detailed fields,Science,Biological and biomedical sciences,Biochemistry,4,4828,1.6,504,2.5,16,2.1,409,2.1,175,1.4,6,3.1,2167,2.0,151,2.1,83,1.0,1317,1.1
8325,r008,All detailed fields -> Science -> Biological and biomedical sciences -> Biology ,All detailed fields,Science,Biological and biomedical sciences,Biology ,4,7400,2.5,666,3.2,16,2.1,489,2.5,276,2.3,5,2.6,3494,3.2,206,2.9,189,2.4,2059,1.8
8325,r009,All detailed fields -> Science -> Biological and biomedical sciences -> Biomedical sciences,All detailed fields,Science,Biological and biomedical sciences,Biomedical sciences,4,4826,1.6,442,2.2,12,1.6,515,2.6,311,2.6,4,2.1,2052,1.9,147,2.1,158,2.0,1185,1.0
8325,r010,All detailed fields -> Science -> Biological and biomedical sciences -> Biophysics,All detailed fields,Science,Biological and biomedical sciences,Biophysics,4,973,0.3,85,0.4,1,0.1,116,0.6,23,0.2,0,0.0,405,0.4,27,0.4,21,0.3,295,0.3
