table_id,row_id,directorate,field_of_degree,educational_institutiona,governmentb,business_and_industryc
12406,r001,Biological Sciences (BIO),Total,47,10,43
12406,r002,,Agricultural sciences and natural resources,49,15,36
12406,r003,,"Bioinformatics, biostatistics, and computational biology",36,6,57
12406,r004,,Biochemistry,44,8,49
12406,r005,,Neurosciences and neurobiology,52,7,41
12406,r006,,Cell molecular biology,42,9,49
12406,r007,,Microbiology,43,14,43
12406,r008,,Other biological sciences,49,10,41
12406,r009,Computer and Information Science and Engineering (CISE),Total,38,4,58
12406,r010,,Computer engineering,34,4,61
12406,r011,,Computer science,37,4,59
12406,r012,,Computer and information sciences,49,5,46
12406,r013,,Information science and systems,50,7,43
12406,r014,STEM Education (EDU),Educational psychology,63,5,32
12406,r015,Engineering (ENG),Total,33,8,60
12406,r016,,Electrical engineering,29,5,66
12406,r017,,Mechanical engineering,34,7,59
12406,r018,,Bioengineering and biomedical engineering,35,6,59
12406,r019,,Civil engineering,40,11,48
12406,r020,,Materials science engineering,25,7,68
12406,r021,,Chemical engineering,25,9,66
12406,r022,,Other engineering,39,11,51
12406,r023,Geosciences (GEO),Total,49,19,32
12406,r024,,Earth sciences,50,15,35
12406,r025,,Atmospheric sciences,45,25,29
12406,r026,,Environmental science,51,17,32
12406,r027,,Ocean sciences,50,25,25
12406,r028,Mathematical and Physical Sciences (MPS),Total,43,7,50
12406,r029,,Chemistry,37,7,56
12406,r030,,Mathematics and statistics,63,4,33
12406,r031,,Physics and astronomy,43,11,46
12406,r032,,Materials sciences,30,8,62
12406,r033,"Social, Behavioral and Economic Sciences (SBE)",Total,54,10,36
12406,r034,,Psychology,41,10,49
12406,r035,,Economics,58,12,30
12406,r036,,Political science,67,10,23
12406,r037,,Sociology,76,6,18
12406,r038,,Other social sciences,71,8,21
