table_id,row_id,location_full_path,location_level_1,location_level_2,location_level_3,location_hierarchy_depth,field_employees_total,field_employees_r_d
6665,r001,Total,Total,,,1,"['11,083', '&nbsp;']","['844', '&nbsp;']"
6665,r002,Total -> Puerto Rico<sup>a</sup>,Total,Puerto Rico<sup>a</sup>,,2,"['40', '&nbsp;']","['1', 'i']"
6665,r003,Total -> Canada,Total,Canada,,2,"['522', '&nbsp;']","['44', '&nbsp;']"
6665,r004,Total -> Latin America and Other Western Hemisphere,Total,Latin America and Other Western Hemisphere,,2,"['1,664', '&nbsp;']","['39', '&nbsp;']"
6665,r005,Total -> Latin America and Other Western Hemisphere -> Argentina,Total,Latin America and Other Western Hemisphere,Argentina,3,"['76', '&nbsp;']","['5', '&nbsp;']"
6665,r006,Total -> Latin America and Other Western Hemisphere -> Brazil,Total,Latin America and Other Western Hemisphere,Brazil,3,"['358', '&nbsp;']","['13', '&nbsp;']"
6665,r007,Total -> Latin America and Other Western Hemisphere -> Chile,Total,Latin America and Other Western Hemisphere,Chile,3,"['56', '&nbsp;']","['1', '&nbsp;']"
6665,r008,Total -> Latin America and Other Western Hemisphere -> Mexico,Total,Latin America and Other Western Hemisphere,Mexico,3,"['881', '&nbsp;']","['15', '&nbsp;']"
6665,r009,Total -> Latin America and Other Western Hemisphere -> Other Latin American and Western Hemisphere locations,Total,Latin America and Other Western Hemisphere,Other Latin American and Western Hemisphere locations,3,"['292', '&nbsp;']","['6', '&nbsp;']"
6665,r010,Total -> Africa,Total,Africa,,2,"['182', '&nbsp;']","['5', '&nbsp;']"
6665,r011,Total -> Africa -> South Africa,Total,Africa,South Africa,3,"['48', '&nbsp;']","['4', '&nbsp;']"
6665,r012,Total -> Africa -> Other African locations,Total,Africa,Other African locations,3,"['134', '&nbsp;']","['1', '&nbsp;']"
6665,r013,Total -> Asia and Pacific,Total,Asia and Pacific,,2,"['3,184', '&nbsp;']","['376', '&nbsp;']"
