table_id,row_id,_b_agency_b_full_path,_b_agency_b_level_1,_b_agency_b_level_2,_b_agency_b_level_3,_b_agency_b_level_4,_b_agency_b_level_5,_b_agency_b_hierarchy_depth,field_total,field_computer_and_information_sciences,field_geosciences_atmospheric_sciences_and_ocean_sciences,field_life_sciences,field_mathematics_and_statistics,field_physical_sciences,field_psychology,field_social_sciences,field_engineering,field_other_fields
10282,r001,All agencies,All agencies,,,,,1,2739770,58620,77330,884162,5440,208214,475,6229,1116901,382398
10282,r002,All agencies -> Departments,All agencies,Departments,,,,2,,,,,,,,,,
10282,r003,All agencies -> Departments -> Department of Agriculture,All agencies,Departments,Department of Agriculture,,,3,28830,182,0,9642,0,0,0,0,0,19006
10282,r004,All agencies -> Departments -> Department of Agriculture -> Agricultural Marketing Service,All agencies,Departments,Department of Agriculture,Agricultural Marketing Service,,4,2509,0,0,2509,0,0,0,0,0,0
10282,r005,All agencies -> Departments -> Department of Agriculture -> Agricultural Research Service,All agencies,Departments,Department of Agriculture,Agricultural Research Service,,4,19006,0,0,0,0,0,0,0,0,19006
10282,r006,All agencies -> Departments -> Department of Agriculture -> Animal and Plant Health Inspection Service,All agencies,Departments,Department of Agriculture,Animal and Plant Health Inspection Service,,4,6233,0,0,6233,0,0,0,0,0,0
10282,r007,All agencies -> Departments -> Department of Agriculture -> National Agricultural Statistics Service,All agencies,Departments,Department of Agriculture,National Agricultural Statistics Service,,4,182,182,0,0,0,0,0,0,0,0
10282,r008,All agencies -> Departments -> Department of Agriculture -> Natural Resources Conservation Service,All agencies,Departments,Department of Agriculture,Natural Resources Conservation Service,,4,900,0,0,900,0,0,0,0,0,0
10282,r009,All agencies -> Departments -> Department of Commerce,All agencies,Departments,Department of Commerce,,,3,144134,175,46253,84336,88,1139,0,2639,9310,195
10282,r010,All agencies -> Departments -> Department of Commerce -> National Institute of Standards and Technology,All agencies,Departments,Department of Commerce,National Institute of Standards and Technology,,4,91900,0,0,83000,0,0,0,0,8900,0
10282,r011,All agencies -> Departments -> Department of Commerce -> National Oceanic and Atmospheric Administration,All agencies,Departments,Department of Commerce,National Oceanic and Atmospheric Administration,,4,52234,175,46253,1336,88,1139,0,2639,410,195
10282,r012,All agencies -> Departments -> Department of Defense,All agencies,Departments,Department of Defense,,,3,2003619,43045,17943,750490,5353,72166,472,2033,911521,200596
10282,r013,All agencies -> Departments -> Department of Defense -> Defense Advanced Research Projects Agency,All agencies,Departments,Department of Defense,Defense Advanced Research Projects Agency,,4,62804,2100,0,0,0,1693,0,0,32528,26483
10282,r014,All agencies -> Departments -> Department of Defense -> Defense Health Agency,All agencies,Departments,Department of Defense,Defense Health Agency,,4,720054,0,0,720054,0,0,0,0,0,0
10282,r015,All agencies -> Departments -> Department of Defense -> Department of the Air Force,All agencies,Departments,Department of Defense,Department of the Air Force,,4,146439,722,0,0,0,3723,0,0,117454,24540
10282,r016,All agencies -> Departments -> Department of Defense -> Department of the Army,All agencies,Departments,Department of Defense,Department of the Army,,4,121795,1583,487,10474,5237,7186,0,1218,6333,89276
10282,r017,All agencies -> Departments -> Department of Defense -> Department of the Navy,All agencies,Departments,Department of Defense,Department of the Navy,,4,442748,9785,12235,9584,115,42349,472,0,351073,17134
10282,r018,All agencies -> Departments -> Department of Defense -> Space Force,All agencies,Departments,Department of Defense,Space Force,,4,31943,0,0,0,0,0,0,0,31943,0
10282,r019,All agencies -> Departments -> Department of Defense -> Other defense agencies,All agencies,Departments,Department of Defense,Other defense agencies,,4,477836,28855,5221,10377,0,17215,0,815,372189,43164
10282,r020,All agencies -> Departments -> Department of Education,All agencies,Departments,Department of Education,,,3,42146,0,0,0,0,0,0,0,0,42146
10282,r021,All agencies -> Departments -> Department of Energy,All agencies,Departments,Department of Energy,,,3,207867,7615,4476,16360,0,175,0,0,179240,0
10282,r022,All agencies -> Departments -> Department of Energy -> Advanced Research Projects Agency&#8212;Energy,All agencies,Departments,Department of Energy,Advanced Research Projects Agency&#8212;Energy,,4,53383,7615,1126,16360,0,0,0,0,28281,0
10282,r023,All agencies -> Departments -> Department of Energy -> Electricity Delivery and Energy Reliability,All agencies,Departments,Department of Energy,Electricity Delivery and Energy Reliability,,4,4566,0,0,0,0,0,0,0,4566,0
10282,r024,All agencies -> Departments -> Department of Energy -> Energy Efficiency and Renewable Energy,All agencies,Departments,Department of Energy,Energy Efficiency and Renewable Energy,,4,134400,0,0,0,0,0,0,0,134400,0
10282,r025,All agencies -> Departments -> Department of Energy -> Environmental Management,All agencies,Departments,Department of Energy,Environmental Management,,4,3350,0,3350,0,0,0,0,0,0,0
10282,r026,All agencies -> Departments -> Department of Energy -> National Nuclear Security Administration,All agencies,Departments,Department of Energy,National Nuclear Security Administration,,4,210,0,0,0,0,175,0,0,0.05,0
10282,r027,All agencies -> Departments -> Department of Energy -> National Nuclear Security Administration -> Defense Programs,All agencies,Departments,Department of Energy,National Nuclear Security Administration,Defense Programs,5,0.05,0,0,0,0,0,0,0,0.05,0
10282,r028,All agencies -> Departments -> Department of Energy -> National Nuclear Security Administration -> Office of Defense Nuclear Nonproliferation,All agencies,Departments,Department of Energy,National Nuclear Security Administration,Office of Defense Nuclear Nonproliferation,5,175,0,0,0,0,175,0,0,0,0
10282,r029,All agencies -> Departments -> Department of Energy -> Nuclear Energy,All agencies,Departments,Department of Energy,Nuclear Energy,,4,11957,0,0,0,0,0,0,0,11957,0
10282,r030,All agencies -> Departments -> Department of Health and Human Services,All agencies,Departments,Department of Health and Human Services,,,3,14066,0,0,12566,0,0,0,0,0,1500
10282,r031,All agencies -> Departments -> Department of Health and Human Services -> Biomedical Advanced Research and Development Authority,All agencies,Departments,Department of Health and Human Services,Biomedical Advanced Research and Development Authority,,4,11314,0,0,11314,0,0,0,0,0,0
10282,r032,All agencies -> Departments -> Department of Health and Human Services -> Centers for Disease Control and Prevention,All agencies,Departments,Department of Health and Human Services,Centers for Disease Control and Prevention,,4,1252,0,0,1252,0,0,0,0,0,0
10282,r033,All agencies -> Departments -> Department of Health and Human Services -> Health Resources and Services Administration,All agencies,Departments,Department of Health and Human Services,Health Resources and Services Administration,,4,1500,0,0,0,0,0,0,0,0,1500
10282,r034,All agencies -> Departments -> Department of Homeland Security,All agencies,Departments,Department of Homeland Security,,,3,13498,7117,0,0,0,514,0,0,2590,3277
10282,r035,All agencies -> Departments -> Department of Homeland Security -> Countering Weapons of Mass Destruction Office,All agencies,Departments,Department of Homeland Security,Countering Weapons of Mass Destruction Office,,4,664,150,0,0,0,514,0,0,0,0
10282,r036,All agencies -> Departments -> Department of Homeland Security -> Science and Technology Directorate,All agencies,Departments,Department of Homeland Security,Science and Technology Directorate,,4,12834,6967,0,0,0,0,0,0,2590,3277
10282,r037,All agencies -> Departments -> Department of the Interior,All agencies,Departments,Department of the Interior,,,3,14778,0,7267,694,0,0,0,224,6594,0
