table_id,row_id,academic_position_160_160_160_160_160_160_160_160_160_160_160_160_160_full_path,academic_position_160_160_160_160_160_160_160_160_160_160_160_160_160_level_1,academic_position_160_160_160_160_160_160_160_160_160_160_160_160_160_level_2,academic_position_160_160_160_160_160_160_160_160_160_160_160_160_160_hierarchy_depth,field_total,field_sex_female,field_sex_male,field_race_and_ethnicity_white,field_race_and_ethnicity_asian,field_race_and_ethnicity_black_or_african_american,field_race_and_ethnicity_hispanic_or_latinoa,field_race_and_ethnicity_american_indian_or_alaska_native,field_race_and_ethnicity_native_hawaiian_or_other_pacific_islander,field_race_and_ethnicity_more_than_one_raceb,field_disability_status_without_disability,field_disability_status_with_disability
3330,r001,All academic positions,All academic positions,,1,344350,132500,211850,240100,68950,13750,16350,600,350,4250,313050,31300
3330,r002,"All academic positions -> President, provost, chancellor",All academic positions,"President, provost, chancellor",2,3800,1550,2200,2950,350,250,150,,,50,3500,300
3330,r003,"All academic positions -> Dean, department head, chair",All academic positions,"Dean, department head, chair",2,36600,13150,23450,29000,3900,1950,1250,100,50,350,33700,2900
3330,r004,All academic positions -> Research faculty,All academic positions,Research faculty,2,176300,62650,113650,119550,40300,5400,8300,300,150,2300,161150,15200
3330,r005,All academic positions -> Teaching faculty,All academic positions,Teaching faculty,2,212050,77900,134150,154500,35400,9000,10150,450,200,2300,191800,20250
3330,r006,All academic positions -> Adjunct faculty,All academic positions,Adjunct faculty,2,19100,8150,10950,13750,3400,800,900,0.05,,250,16650,2500
3330,r007,All academic positions -> Postdoc,All academic positions,Postdoc,2,21000,8950,12050,9500,9100,750,1250,50,,400,19250,1750
3330,r008,All academic positions -> Research assistant,All academic positions,Research assistant,2,1650,650,1050,850,600,100,100,,,,1450,250
3330,r009,All academic positions -> Teaching assistant,All academic positions,Teaching assistant,2,550,200,350,350,100,,,,,,450,
3330,r010,All academic positions -> Other,All academic positions,Other,2,31200,16550,14700,22200,4900,1500,1950,50,,650,28500,2700
