table_id,row_id,_b_ffrdc_b_full_path,_b_ffrdc_b_level_1,_b_ffrdc_b_level_2,_b_ffrdc_b_level_3,_b_ffrdc_b_hierarchy_depth,field_all_r_d_expenditures,field_federal_government,field_state_and_local_government,field_business,field_nonprofit_organizations,field_all_other_sources
11316,r001,All FFRDCs,All FFRDCs,,,1,"['29,316,897', ' ']","['28,880,018', ' ']","['35,407', ' ']","['224,361', ' ']","['42,292', ' ']","['134,819', ' ']"
11316,r002,All FFRDCs -> University-administered FFRDCs,All FFRDCs,University-administered FFRDCs,,2,"['8,179,862', ' ']","['8,010,234', ' ']","['16,149', ' ']","['74,776', ' ']","['12,430', ' ']","['66,273', ' ']"
11316,r003,All FFRDCs -> University-administered FFRDCs -> Ames Laboratory,All FFRDCs,University-administered FFRDCs,Ames Laboratory,3,"['40,638', '']","['40,091', '']","['65', '']","['462', '']","['0', '']","['20', '']"
11316,r004,All FFRDCs -> University-administered FFRDCs -> Argonne National Laboratory,All FFRDCs,University-administered FFRDCs,Argonne National Laboratory,3,"['1,234,635', '']","['1,205,264', '']","['652', '']","['21,824', '']","['491', '']","['6,404', '']"
11316,r005,All FFRDCs -> University-administered FFRDCs -> Fermi National Accelerator Laboratory,All FFRDCs,University-administered FFRDCs,Fermi National Accelerator Laboratory,3,"['402,122', '']","['400,573', '']","['0', '']","['673', '']","['53', '']","['823', '']"
11316,r006,All FFRDCs -> University-administered FFRDCs -> Green Bank Observatory,All FFRDCs,University-administered FFRDCs,Green Bank Observatory,3,"['12,326', '']","['11,909', '']","['0', '']","['45', '']","['14', '']","['358', '']"
11316,r007,All FFRDCs -> University-administered FFRDCs -> Jet Propulsion Laboratory,All FFRDCs,University-administered FFRDCs,Jet Propulsion Laboratory,3,"['2,671,305', '']","['2,671,305', '']","['0', '']","['0', '']","['0', '']","['0', '']"
11316,r008,All FFRDCs -> University-administered FFRDCs -> Lawrence Berkeley National Laboratory,All FFRDCs,University-administered FFRDCs,Lawrence Berkeley National Laboratory,3,"['1,190,504', '']","['1,131,175', '']","['10,428', '']","['23,119', '']","['5,995', '']","['19,787', '']"
11316,r009,All FFRDCs -> University-administered FFRDCs -> Lincoln Laboratory,All FFRDCs,University-administered FFRDCs,Lincoln Laboratory,3,"['1,265,060', '']","['1,234,615', '']","['176', '']","['14,596', '']","['543', '']","['15,130', '']"
11316,r010,All FFRDCs -> University-administered FFRDCs -> National Center for Atmospheric Research,All FFRDCs,University-administered FFRDCs,National Center for Atmospheric Research,3,"['210,233', '']","['184,647', '']","['2,932', '']","['8,704', '']","['3,378', '']","['10,572', '']"
11316,r011,All FFRDCs -> University-administered FFRDCs -> National Radio Astronomy Observatory,All FFRDCs,University-administered FFRDCs,National Radio Astronomy Observatory,3,"['102,863', '']","['102,104', '']","['0', '']","['295', '']","['370', '']","['94', '']"
11316,r012,All FFRDCs -> University-administered FFRDCs -> National Solar Observatory,All FFRDCs,University-administered FFRDCs,National Solar Observatory,3,"['39,856', '']","['39,719', '']","['0', '']","['0', '']","['0', '']","['137', '']"
11316,r013,All FFRDCs -> University-administered FFRDCs -> NSF's National Optical-Infrared Astronomy Research Laboratory (NSF's NOIRLab),All FFRDCs,University-administered FFRDCs,NSF's National Optical-Infrared Astronomy Research Laboratory (NSF's NOIRLab),3,"['94,257', '']","['92,841', '']","['0', '']","['0', '']","['0', '']","['1,416', '']"
11316,r014,All FFRDCs -> University-administered FFRDCs -> Princeton Plasma Physics Laboratory,All FFRDCs,University-administered FFRDCs,Princeton Plasma Physics Laboratory,3,"['131,042', '']","['127,260', '']","['0', '']","['352', '']","['0', '']","['3,430', '']"
11316,r015,All FFRDCs -> University-administered FFRDCs -> SLAC National Accelerator Laboratory,All FFRDCs,University-administered FFRDCs,SLAC National Accelerator Laboratory,3,"['483,193', '']","['469,601', '']","['244', '']","['4,264', '']","['1,572', '']","['7,512', '']"
11316,r016,All FFRDCs -> University-administered FFRDCs -> Software Engineering Institute,All FFRDCs,University-administered FFRDCs,Software Engineering Institute,3,"['130,141', '']","['130,141', '']","['0', '']","['0', '']","['0', '']","['0', '']"
11316,r017,All FFRDCs -> University-administered FFRDCs -> Thomas Jefferson National Accelerator Facility,All FFRDCs,University-administered FFRDCs,Thomas Jefferson National Accelerator Facility,3,"['171,687', '']","['168,989', '']","['1,652', '']","['442', '']","['14', '']","['590', '']"
11316,r018,All FFRDCs -> Nonprofit-administered FFRDCs,All FFRDCs,Nonprofit-administered FFRDCs,,2,"['10,052,536', ' ']","['9,879,651', ' ']","['18,428', ' ']","['93,455', ' ']","['29,210', ' ']","['31,792', ' ']"
11316,r019,All FFRDCs -> Nonprofit-administered FFRDCs -> Aerospace Federally Funded Research and Development Center,All FFRDCs,Nonprofit-administered FFRDCs,Aerospace Federally Funded Research and Development Center,3,"['1,259,428', '']","['1,251,725', '']","['0', '']","['5,066', '']","['0', '']","['2,637', '']"
11316,r020,All FFRDCs -> Nonprofit-administered FFRDCs -> Arroyo Center,All FFRDCs,Nonprofit-administered FFRDCs,Arroyo Center,3,"['42,433', '']","['42,433', '']","['0', '']","['0', '']","['0', '']","['0', '']"
11316,r021,All FFRDCs -> Nonprofit-administered FFRDCs -> Brookhaven National Laboratory,All FFRDCs,Nonprofit-administered FFRDCs,Brookhaven National Laboratory,3,"['691,417', '']","['678,623', '']","['4,277', '']","['6,529', '']","['93', '']","['1,895', '']"
11316,r022,All FFRDCs -> Nonprofit-administered FFRDCs -> Center for Advanced Aviation System Development,All FFRDCs,Nonprofit-administered FFRDCs,Center for Advanced Aviation System Development,3,"['186,163', '']","['166,246', '']","['2,311', '']","['3,210', '']","['1,642', '']","['12,754', '']"
11316,r023,All FFRDCs -> Nonprofit-administered FFRDCs -> Center for Communications and Computing,All FFRDCs,Nonprofit-administered FFRDCs,Center for Communications and Computing,3,"['77,391', '']","['77,391', '']","['0', '']","['0', '']","['0', '']","['0', '']"
11316,r024,All FFRDCs -> Nonprofit-administered FFRDCs -> Center for Enterprise Modernization,All FFRDCs,Nonprofit-administered FFRDCs,Center for Enterprise Modernization,3,"['258,155', '']","['258,155', '']","['0', '']","['0', '']","['0', '']","['0', '']"
11316,r025,All FFRDCs -> Nonprofit-administered FFRDCs -> Center for Naval Analyses,All FFRDCs,Nonprofit-administered FFRDCs,Center for Naval Analyses,3,"['96,103', '']","['96,103', '']","['0', '']","['0', '']","['0', '']","['0', '']"
11316,r026,All FFRDCs -> Nonprofit-administered FFRDCs -> Center for Nuclear Waste Regulatory Analyses,All FFRDCs,Nonprofit-administered FFRDCs,Center for Nuclear Waste Regulatory Analyses,3,"['4,405', '']","['3,467', '']","['12', '']","['802', '']","['0', '']","['124', '']"
11316,r027,All FFRDCs -> Nonprofit-administered FFRDCs -> CMS Alliance to Modernize Healthcare,All FFRDCs,Nonprofit-administered FFRDCs,CMS Alliance to Modernize Healthcare,3,"['281,709', '']","['281,709', '']","['0', '']","['0', '']","['0', '']","['0', '']"
11316,r028,All FFRDCs -> Nonprofit-administered FFRDCs -> Homeland Security Operational Analysis Center,All FFRDCs,Nonprofit-administered FFRDCs,Homeland Security Operational Analysis Center,3,"['66,264', '']","['66,264', '']","['0', '']","['0', '']","['0', '']","['0', '']"
11316,r029,All FFRDCs -> Nonprofit-administered FFRDCs -> Homeland Security Systems Engineering and Development Institute,All FFRDCs,Nonprofit-administered FFRDCs,Homeland Security Systems Engineering and Development Institute,3,"['217,908', '']","['216,456', '']","['264', '']","['365', '']","['490', '']","['333', '']"
11316,r030,All FFRDCs -> Nonprofit-administered FFRDCs -> Idaho National Laboratory,All FFRDCs,Nonprofit-administered FFRDCs,Idaho National Laboratory,3,"['653,100', '']","['642,971', '']","['1,169', '']","['6,293', '']","['254', '']","['2,413', '']"
11316,r031,All FFRDCs -> Nonprofit-administered FFRDCs -> National Biodefense Analysis and Countermeasures Center,All FFRDCs,Nonprofit-administered FFRDCs,National Biodefense Analysis and Countermeasures Center,3,"['41,321', '']","['41,321', '']","['0', '']","['0', '']","['0', '']","['0', '']"
11316,r032,All FFRDCs -> Nonprofit-administered FFRDCs -> National Cybersecurity Center of Excellence,All FFRDCs,Nonprofit-administered FFRDCs,National Cybersecurity Center of Excellence,3,"['23,010', '']","['23,010', '']","['0', '']","['0', '']","['0', '']","['0', '']"
11316,r033,All FFRDCs -> Nonprofit-administered FFRDCs -> National Defense Research Institute,All FFRDCs,Nonprofit-administered FFRDCs,National Defense Research Institute,3,"['67,157', '']","['67,157', '']","['0', '']","['0', '']","['0', '']","['0', '']"
11316,r034,All FFRDCs -> Nonprofit-administered FFRDCs -> National Renewable Energy Laboratory,All FFRDCs,Nonprofit-administered FFRDCs,National Renewable Energy Laboratory,3,"['718,852', '']","['648,671', '']","['5,050', '']","['49,546', '']","['15,585', '']","['0', '']"
