table_id,row_id,agency_full_path,agency_level_1,agency_level_2,agency_hierarchy_depth,field_total_r_d,field_basic_research,field_applied_research,field_development,field_percentage_of_total_r_d_basic_research,field_percentage_of_total_r_d_applied_research,field_percentage_of_total_r_d_development
1886,r001,All agencies,All agencies,,1,118974.8,33271.5,36599.8,49103.5,28.0,30.8,41.3
1886,r002,All agencies -> Department of Defense,All agencies,Department of Defense,2,44872.6,2110.1,5068.0,37694.6,4.7,11.3,84.0
1886,r003,All agencies -> Department of Health and Human Services,All agencies,Department of Health and Human Services,2,33774.2,16700.1,16977.3,96.8,49.4,50.3,0.3
1886,r004,All agencies -> National Aeronautics and Space Administration,All agencies,National Aeronautics and Space Administration,2,12594.6,3425.8,2319.5,6849.4,27.2,18.4,54.4
1886,r005,All agencies -> Department of Energy,All agencies,Department of Energy,2,12308.4,4500.3,5084.2,2723.9,36.6,41.3,22.1
1886,r006,All agencies -> National Science Foundation,All agencies,National Science Foundation,2,5517.6,4739.1,778.6,0.0,85.9,14.1,0.0
1886,r007,All agencies -> Department of Agriculture,All agencies,Department of Agriculture,2,2418.5,965.2,1251.1,202.1,39.9,51.7,8.4
1886,r008,All agencies -> Department of Commerce,All agencies,Department of Commerce,2,1612.5,246.0,1056.3,310.2,15.3,65.5,19.2
1886,r009,All agencies -> Department of Transportation,All agencies,Department of Transportation,2,948.6,0.0,695.6,253.0,0.0,73.3,26.7
1886,r010,All agencies -> Patient-Centered Outcomes Research Trust Fund,All agencies,Patient-Centered Outcomes Research Trust Fund,2,883.9,0.0,883.9,0.0,0.0,100.0,0.0
1886,r011,All agencies -> Department of the Interior,All agencies,Department of the Interior,2,862.6,54.3,667.5,140.7,6.3,77.4,16.3
1886,r012,All agencies -> Department of Homeland Security,All agencies,Department of Homeland Security,2,856.6,11.6,264.4,580.6,1.4,30.9,67.8
1886,r013,All agencies -> Department of Veterans Affairs,All agencies,Department of Veterans Affairs,2,682.3,274.1,394.7,13.5,40.2,57.8,2.0
1886,r014,All agencies -> Environmental Protection Agency,All agencies,Environmental Protection Agency,2,493.6,0.0,417.5,76.2,0.0,84.6,15.4
1886,r015,All agencies -> Department of Education,All agencies,Department of Education,2,261.8,32.7,141.4,87.8,12.5,54.0,33.5
1886,r016,All agencies -> Smithsonian Institution,All agencies,Smithsonian Institution,2,207.9,207.9,0.0,0.0,100.0,0.0,0.0
1886,r017,All agencies -> Agency for International Development,All agencies,Agency for International Development,2,192.2,0.8,191.5,0.0,0.4,99.6,0.0
1886,r018,All agencies -> Department of Justice,All agencies,Department of Justice,2,126.9,2.1,84.6,40.2,1.7,66.7,31.7
1886,r019,All agencies -> Social Security Administration,All agencies,Social Security Administration,2,109.5,0.0,109.5,0.0,0.0,100.0,0.0
1886,r020,All agencies -> All other agencies,All agencies,All other agencies,2,250.4,1.4,214.3,34.6,0.6,85.6,13.8
