table_id,row_id,_b_uarc_b_full_path,_b_uarc_b_level_1,_b_uarc_b_level_2,_b_uarc_b_hierarchy_depth,field_total
10842,r001,All UARCs,All UARCs,,1,0
10842,r002,"All UARCs -> Georgia Institute of Technology, Georgia Tech Research Institute",All UARCs,"Georgia Institute of Technology, Georgia Tech Research Institute",2,0
10842,r003,All UARCs -> Johns Hopkins University Applied Physics Laboratory,All UARCs,Johns Hopkins University Applied Physics Laboratory,2,0
10842,r004,All UARCs -> Massachusetts Institute of Technology Institute for Soldier Nanotechnologies,All UARCs,Massachusetts Institute of Technology Institute for Soldier Nanotechnologies,2,0
10842,r005,All UARCs -> Pennsylvania State University Applied Research Laboratory,All UARCs,Pennsylvania State University Applied Research Laboratory,2,0
10842,r006,All UARCs -> Stevens Institute of Technology Systems Engineering Research Center,All UARCs,Stevens Institute of Technology Systems Engineering Research Center,2,0
10842,r007,All UARCs -> University of Alaska Geophysical Detection of Nuclear Proliferation,All UARCs,University of Alaska Geophysical Detection of Nuclear Proliferation,2,0
10842,r008,"All UARCs -> University of California, Santa Barbara Institute for Collaborative Biotechnologies",All UARCs,"University of California, Santa Barbara Institute for Collaborative Biotechnologies",2,0
10842,r009,"All UARCs -> University of Hawaii, Manoa Applied Research Laboratory",All UARCs,"University of Hawaii, Manoa Applied Research Laboratory",2,0
10842,r010,All UARCs -> University of Maryland College Park Applied Research Laboratory for Intelligence and Security,All UARCs,University of Maryland College Park Applied Research Laboratory for Intelligence and Security,2,0
10842,r011,All UARCs -> University of Nebraska National Strategic Research Institute,All UARCs,University of Nebraska National Strategic Research Institute,2,0
10842,r012,All UARCs -> University of Southern California Institute for Creative Technologies,All UARCs,University of Southern California Institute for Creative Technologies,2,0
10842,r013,All UARCs -> University of Texas at Austin Applied Research Laboratories,All UARCs,University of Texas at Austin Applied Research Laboratories,2,0
10842,r014,All UARCs -> University of Washington Applied Physics Laboratory,All UARCs,University of Washington Applied Physics Laboratory,2,0
10842,r015,All UARCs -> Utah State University Space Dynamics Laboratory,All UARCs,Utah State University Space Dynamics Laboratory,2,0
