table_id,row_id,_b_r_d_field_b_full_path,_b_r_d_field_b_level_1,_b_r_d_field_b_level_2,_b_r_d_field_b_level_3,_b_r_d_field_b_level_4,_b_r_d_field_b_hierarchy_depth,field_total_all_r_d_expenditures,field_total_imputed_amount,field_total_imputed_amount_as_of_total,field_federally_financed_all_r_d_expenditures,field_federally_financed_imputed_amount,field_federally_financed_imputed_amount_as_of_total
7935,r001,All R&D fields,All R&D fields,,,,1,89723447,98338,0.1,49143460,57678,0.1
7935,r002,All R&D fields -> All science and engineering,All R&D fields,All science and engineering,,,2,84610017,929401,1.1,47778518,63504,0.1
7935,r003,All R&D fields -> All science and engineering -> Computer and information sciences,All R&D fields,All science and engineering,Computer and information sciences,,3,2951923,30463,1.0,1994728,2054,0.1
7935,r004,"All R&D fields -> All science and engineering -> Geosciences, atmospheric sciences, and ocean sciences",All R&D fields,All science and engineering,"Geosciences, atmospheric sciences, and ocean sciences",,3,3295883,43670,1.3,2145163,1875,0.1
7935,r005,"All R&D fields -> All science and engineering -> Geosciences, atmospheric sciences, and ocean sciences -> Atmospheric science and meteorology",All R&D fields,All science and engineering,"Geosciences, atmospheric sciences, and ocean sciences",Atmospheric science and meteorology,4,624579,38133,6.1,484265,33360,6.9
7935,r006,"All R&D fields -> All science and engineering -> Geosciences, atmospheric sciences, and ocean sciences -> Geological and earth sciences",All R&D fields,All science and engineering,"Geosciences, atmospheric sciences, and ocean sciences",Geological and earth sciences,4,1242339,98875,8.0,772157,50377,6.5
7935,r007,"All R&D fields -> All science and engineering -> Geosciences, atmospheric sciences, and ocean sciences -> Ocean sciences and marine sciences",All R&D fields,All science and engineering,"Geosciences, atmospheric sciences, and ocean sciences",Ocean sciences and marine sciences,4,1035519,44717,4.3,640634,37969,5.9
7935,r008,"All R&D fields -> All science and engineering -> Geosciences, atmospheric sciences, and ocean sciences -> Geosciences, atmospheric sciences, and ocean sciences nec",All R&D fields,All science and engineering,"Geosciences, atmospheric sciences, and ocean sciences","Geosciences, atmospheric sciences, and ocean sciences nec",4,393446,22004,5.6,248107,9254,3.7
7935,r009,All R&D fields -> All science and engineering -> Life sciences,All R&D fields,All science and engineering,Life sciences,,3,52364596,619525,1.2,28452956,38173,0.1
7935,r010,All R&D fields -> All science and engineering -> Life sciences -> Agricultural sciences,All R&D fields,All science and engineering,Life sciences,Agricultural sciences,4,3548896,15881,0.4,1099585,9926,0.9
7935,r011,All R&D fields -> All science and engineering -> Life sciences -> Biological and biomedical sciences,All R&D fields,All science and engineering,Life sciences,Biological and biomedical sciences,4,16557201,158274,1.0,10001728,12707,0.1
7935,r012,All R&D fields -> All science and engineering -> Life sciences -> Health sciences,All R&D fields,All science and engineering,Life sciences,Health sciences,4,29884728,436759,1.5,16138445,11362,0.1
7935,r013,All R&D fields -> All science and engineering -> Life sciences -> Natural resources and conservation,All R&D fields,All science and engineering,Life sciences,Natural resources and conservation,4,934765,2821,0.3,429905,776,0.2
7935,r014,All R&D fields -> All science and engineering -> Life sciences -> Life sciences nec,All R&D fields,All science and engineering,Life sciences,Life sciences nec,4,1439006,5790,0.4,783293,3402,0.4
7935,r015,All R&D fields -> All science and engineering -> Mathematics and statistics,All R&D fields,All science and engineering,Mathematics and statistics,,3,772935,7963,1.0,475827,1576,0.3
7935,r016,All R&D fields -> All science and engineering -> Physical sciences,All R&D fields,All science and engineering,Physical sciences,,3,5740630,90414,1.6,3852415,6192,0.2
7935,r017,All R&D fields -> All science and engineering -> Physical sciences -> Astronomy and astrophysics,All R&D fields,All science and engineering,Physical sciences,Astronomy and astrophysics,4,741127,10174,1.4,509733,373,0.1
7935,r018,All R&D fields -> All science and engineering -> Physical sciences -> Chemistry,All R&D fields,All science and engineering,Physical sciences,Chemistry,4,1999546,27849,1.4,1239825,2828,0.2
7935,r019,All R&D fields -> All science and engineering -> Physical sciences -> Materials science,All R&D fields,All science and engineering,Physical sciences,Materials science,4,285931,10652,3.7,174331,1,0.0
7935,r020,All R&D fields -> All science and engineering -> Physical sciences -> Physics,All R&D fields,All science and engineering,Physical sciences,Physics,4,2463331,38371,1.6,1767740,2235,0.1
7935,r021,All R&D fields -> All science and engineering -> Physical sciences -> Physical sciences nec,All R&D fields,All science and engineering,Physical sciences,Physical sciences nec,4,250695,3368,1.3,160786,755,0.5
7935,r022,All R&D fields -> All science and engineering -> Psychology,All R&D fields,All science and engineering,Psychology,,3,1326030,8662,0.7,812660,710,0.1
7935,r023,All R&D fields -> All science and engineering -> Social sciences,All R&D fields,All science and engineering,Social sciences,,3,2842033,17277,0.6,955852,6970,0.7
7935,r024,All R&D fields -> All science and engineering -> Social sciences -> Anthropology,All R&D fields,All science and engineering,Social sciences,Anthropology,4,109546,876,0.8,29533,176,0.6
7935,r025,All R&D fields -> All science and engineering -> Social sciences -> Economics,All R&D fields,All science and engineering,Social sciences,Economics,4,549132,1037,0.2,137555,78,0.1
7935,r026,All R&D fields -> All science and engineering -> Social sciences -> Political science and government,All R&D fields,All science and engineering,Social sciences,Political science and government,4,425661,1490,0.4,86443,40,0.0
7935,r027,"All R&D fields -> All science and engineering -> Social sciences -> Sociology, demography, and population studies",All R&D fields,All science and engineering,Social sciences,"Sociology, demography, and population studies",4,552551,4520,0.8,232318,1211,0.5
7935,r028,All R&D fields -> All science and engineering -> Social sciences -> Social sciences nec,All R&D fields,All science and engineering,Social sciences,Social sciences nec,4,1205143,9354,0.8,470003,5465,1.2
7935,r029,All R&D fields -> All science and engineering -> Sciences nec,All R&D fields,All science and engineering,Sciences nec,,3,1022500,2015,0.2,374088,114,0.0
7935,r030,All R&D fields -> All science and engineering -> Engineering,All R&D fields,All science and engineering,Engineering,,3,14293487,109412,0.8,8714829,5840,0.1
7935,r031,"All R&D fields -> All science and engineering -> Engineering -> Aerospace, aeronautical, and astronautical engineering",All R&D fields,All science and engineering,Engineering,"Aerospace, aeronautical, and astronautical engineering",4,1451964,7439,0.5,1110088,2,0.0
7935,r032,All R&D fields -> All science and engineering -> Engineering -> Bioengineering and biomedical engineering,All R&D fields,All science and engineering,Engineering,Bioengineering and biomedical engineering,4,1560381,15931,1.0,960152,249,0.0
7935,r033,All R&D fields -> All science and engineering -> Engineering -> Chemical engineering,All R&D fields,All science and engineering,Engineering,Chemical engineering,4,1024301,7235,0.7,572307,258,0.0
