table_id,row_id,company_characteristic_full_path,company_characteristic_level_1,company_characteristic_level_2,company_characteristic_hierarchy_depth,field_2011,field_2016,field_2021
10510,r001,"All licenses, total active","All licenses, total active",,1,6085,7726,10409
10510,r002,"All licenses, total active -> New licenses or options executed","All licenses, total active",New licenses or options executed,2,5862,7165,8769
10510,r003,"All licenses, total active -> Startups","All licenses, total active",Startups,2,898,1415,1480
10510,r004,"All licenses, total active -> Small companies","All licenses, total active",Small companies,2,3124,3598,5344
10510,r005,"All licenses, total active -> Large companies","All licenses, total active",Large companies,2,1840,2152,1945
