table_id,row_id,_b_ffrdc_b_full_path,_b_ffrdc_b_level_1,_b_ffrdc_b_level_2,_b_ffrdc_b_level_3,_b_ffrdc_b_hierarchy_depth,field_all_federal_r_d_expenditures,field_dod,field_doe,field_hhs,field_dhs,field_dot,field_nasa,field_nsf,field_other
9273,r001,All FFRDCs,All FFRDCs,,,1,"['25,962,005', ' ']","['5,407,751', ' ']","['14,479,448', ' ']","['1,279,292', ' ']","['610,137', ' ']","['209,850', ' ']","['2,661,826', ' ']","['345,218', ' ']","['968,483', ' ']"
9273,r002,All FFRDCs -> University-administered FFRDCs,All FFRDCs,University-administered FFRDCs,,2,"['7,015,547', ' ']","['1,160,040', ' ']","['2,840,006', ' ']","['39,594', ' ']","['79,188', ' ']","['35,427', ' ']","['2,460,192', ' ']","['338,588', ' ']","['62,512', ' ']"
9273,r003,All FFRDCs -> University-administered FFRDCs -> Ames Laboratory,All FFRDCs,University-administered FFRDCs,Ames Laboratory,3,"['38,032', '']","['0', '']","['38,032', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']"
9273,r004,All FFRDCs -> University-administered FFRDCs -> Argonne National Laboratory,All FFRDCs,University-administered FFRDCs,Argonne National Laboratory,3,"['934,724', '']","['28,240', '']","['854,246', '']","['6,148', '']","['23,701', '']","['5,476', '']","['421', '']","['224', '']","['16,268', '']"
9273,r005,All FFRDCs -> University-administered FFRDCs -> Fermi National Accelerator Laboratory,All FFRDCs,University-administered FFRDCs,Fermi National Accelerator Laboratory,3,"['329,131', '']","['0', '']","['329,131', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']"
9273,r006,All FFRDCs -> University-administered FFRDCs -> Green Bank Observatory,All FFRDCs,University-administered FFRDCs,Green Bank Observatory,3,"['10,384', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['14', '']","['10,370', '']","['0', '']"
9273,r007,All FFRDCs -> University-administered FFRDCs -> Jet Propulsion Laboratory,All FFRDCs,University-administered FFRDCs,Jet Propulsion Laboratory,3,"['2,417,556', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['2,417,556', '']","['0', '']","['0', '']"
9273,r008,All FFRDCs -> University-administered FFRDCs -> Lawrence Berkeley National Laboratory,All FFRDCs,University-administered FFRDCs,Lawrence Berkeley National Laboratory,3,"['971,554', '']","['11,871', '']","['930,980', '']","['21,589', '']","['1,436', '']","['899', '']","['3,888', '']","['0', '']","['891', '']"
9273,r009,All FFRDCs -> University-administered FFRDCs -> Lincoln Laboratory,All FFRDCs,University-administered FFRDCs,Lincoln Laboratory,3,"['1,119,338', '']","['1,027,000', '']","['6,870', '']","['2,654', '']","['18,808', '']","['24,478', '']","['20,563', '']","['0', '']","['18,965', '']"
9273,r010,All FFRDCs -> University-administered FFRDCs -> National Center for Atmospheric Research,All FFRDCs,University-administered FFRDCs,National Center for Atmospheric Research,3,"['171,310', '']","['3,918', '']","['2,981', '']","['0', '']","['0', '']","['4,310', '']","['14,704', '']","['127,181', '']","['18,216', '']"
