table_id,row_id,_b_agency_b_full_path,_b_agency_b_level_1,_b_agency_b_level_2,_b_agency_b_level_3,_b_agency_b_level_4,_b_agency_b_level_5,_b_agency_b_hierarchy_depth,field_obligations_2019,field_obligations_2020_preliminary_,field_outlays_2019,field_outlays_2020_preliminary_
3845,r001,All agencies,All agencies,,,,,1,146800.7,155643.7,129870.4,142166.9
3845,r002,All agencies -> Departments,All agencies,Departments,,,,2,,,,
3845,r003,All agencies -> Departments -> Department of Agriculture,All agencies,Departments,Department of Agriculture,,,3,2666.1,3334.2,2546.8,3313.4
3845,r004,All agencies -> Departments -> Department of Agriculture -> Agricultural Marketing Service,All agencies,Departments,Department of Agriculture,Agricultural Marketing Service,,4,7.7,7.0,7.7,7.0
3845,r005,All agencies -> Departments -> Department of Agriculture -> Agricultural Research Service,All agencies,Departments,Department of Agriculture,Agricultural Research Service,,4,1311.7,1842.0,1188.9,1479.0
3845,r006,All agencies -> Departments -> Department of Agriculture -> Animal and Plant Health Inspection Service,All agencies,Departments,Department of Agriculture,Animal and Plant Health Inspection Service,,4,39.5,39.5,39.1,39.1
3845,r007,All agencies -> Departments -> Department of Agriculture -> Economic Research Service,All agencies,Departments,Department of Agriculture,Economic Research Service,,4,85.6,85.3,82.2,87.0
3845,r008,All agencies -> Departments -> Department of Agriculture -> Foreign Agricultural Service,All agencies,Departments,Department of Agriculture,Foreign Agricultural Service,,4,0.0,0.5,0.0,0.5
3845,r009,All agencies -> Departments -> Department of Agriculture -> Forest Service,All agencies,Departments,Department of Agriculture,Forest Service,,4,336.8,307.0,332.6,414.0
3845,r010,All agencies -> Departments -> Department of Agriculture -> National Agricultural Statistics Service,All agencies,Departments,Department of Agriculture,National Agricultural Statistics Service,,4,9.5,9.0,9.5,9.0
3845,r011,All agencies -> Departments -> Department of Agriculture -> National Institute of Food and Agriculture,All agencies,Departments,Department of Agriculture,National Institute of Food and Agriculture,,4,871.4,1040.0,884.0,1275.0
3845,r012,All agencies -> Departments -> Department of Agriculture -> Rural Business-Cooperative Service,All agencies,Departments,Department of Agriculture,Rural Business-Cooperative Service,,4,3.9,3.9,2.8,2.8
3845,r013,All agencies -> Departments -> Department of Commerce,All agencies,Departments,Department of Commerce,,,3,1999.0,2240.3,1907.6,1897.8
3845,r014,All agencies -> Departments -> Department of Commerce -> National Institute of Standards and Technology,All agencies,Departments,Department of Commerce,National Institute of Standards and Technology,,4,831.3,1140.4,836.1,859.8
