table_id,row_id,industry_and_company_size_full_path,industry_and_company_size_level_1,industry_and_company_size_level_2,industry_and_company_size_level_3,industry_and_company_size_level_4,industry_and_company_size_level_5,industry_and_company_size_hierarchy_depth,field_naics_code,field_worldwide_total,field_worldwide_male,field_worldwide_female,field_domestic_total,field_domestic_male,field_domestic_female,field_foreign_total,field_foreign_male,field_foreign_female
2082,r001,All industries,All industries,,,,,1,"21–23, 31–33, 42–81","['2,349', '  ']","['1,703', '  ']","['646', '  ']","['1,609', '  ']","['1,186', '  ']","['423', '  ']","['740', '  ']","['517', '  ']","['223', '  ']"
2082,r002,All industries -> Manufacturing industries,All industries,Manufacturing industries,,,,2,31–33,"['1,352', '  ']","['1,018', '  ']","['334', '  ']","['916', '  ']","['693', '  ']","['223', '  ']","['436', '  ']","['325', '  ']","['111', '  ']"
2082,r003,All industries -> Manufacturing industries -> Food,All industries,Manufacturing industries,Food,,,3,311,"['35', '  ']","['20', '  ']","['15', '  ']","['23', '  ']","['13', '  ']","['9', '  ']","['12', '  ']","['6', 'i ']","['6', '  ']"
2082,r004,All industries -> Manufacturing industries -> Beverage and tobacco products,All industries,Manufacturing industries,Beverage and tobacco products,,,3,312,"['7', '  ']","['4', '  ']","['3', '  ']","['4', '  ']","['3', '  ']","['2', '  ']","['3', '  ']","['2', '  ']","['1', '  ']"
2082,r005,"All industries -> Manufacturing industries -> Textile, apparel, and leather products",All industries,Manufacturing industries,"Textile, apparel, and leather products",,,3,313–16,"['8', '  ']","['4', '  ']","['4', '  ']","['7', '  ']","['4', '  ']","['3', '  ']","['1', '  ']","['1', '  ']","['*', '  ']"
2082,r006,All industries -> Manufacturing industries -> Wood products,All industries,Manufacturing industries,Wood products,,,3,321,"['3', '  ']","['3', '  ']","['*', '  ']","['3', '  ']","['3', '  ']","['*', '  ']","['*', '  ']","['*', '  ']","['0', '  ']"
2082,r007,All industries -> Manufacturing industries -> Paper,All industries,Manufacturing industries,Paper,,,3,322,"['12', '  ']","['9', '  ']","['3', '  ']","['8', '  ']","['6', '  ']","['2', '  ']","['4', '  ']","['3', '  ']","['1', '  ']"
2082,r008,All industries -> Manufacturing industries -> Printing and related support activities,All industries,Manufacturing industries,Printing and related support activities,,,3,323,"['3', '  ']","['2', '  ']","['1', '  ']","['3', '  ']","['2', '  ']","['1', '  ']","['*', '  ']","['*', '  ']","['*', '  ']"
2082,r009,All industries -> Manufacturing industries -> Petroleum and coal products,All industries,Manufacturing industries,Petroleum and coal products,,,3,324,"['3', '  ']","['2', '  ']","['1', '  ']","['2', '  ']","['2', '  ']","['*', '  ']","['1', '  ']","['*', '  ']","['*', '  ']"
2082,r010,All industries -> Manufacturing industries -> Chemicals,All industries,Manufacturing industries,Chemicals,,,3,325,"['245', '  ']","['132', '  ']","['113', '  ']","['174', '  ']","['95', '  ']","['79', '  ']","['70', '  ']","['37', '  ']","['34', '  ']"
