table_id,row_id,state_full_path,state_level_1,state_level_2,state_hierarchy_depth,field_total,field_paid_for_by_the_company,field_paid_for_by_others
1478,r001,All states,All states,,1,4843494,3779668,1063826
1478,r002,All states -> Alabama,All states,Alabama,2,14155,8493,5663
1478,r003,All states -> Alaska,All states,Alaska,2,1154,660,493
1478,r004,All states -> Arizona,All states,Arizona,2,70950,62932,8018
1478,r005,All states -> Arkansas,All states,Arkansas,2,14411,7608,6803
1478,r006,All states -> California,All states,California,2,1194408,1003117,191292
1478,r007,All states -> Colorado,All states,Colorado,2,114389,90049,24340
1478,r008,All states -> Connecticut,All states,Connecticut,2,71880,61654,10226
1478,r009,All states -> Delaware,All states,Delaware,2,7971,4675,3296
1478,r010,All states -> District of Columbia,All states,District of Columbia,2,11965,8079,3886
1478,r011,All states -> Florida,All states,Florida,2,237130,198444,38686
1478,r012,All states -> Georgia,All states,Georgia,2,93933,77066,16867
1478,r013,All states -> Hawaii,All states,Hawaii,2,s,s,s
1478,r014,All states -> Idaho,All states,Idaho,2,s,s,2064
1478,r015,All states -> Illinois,All states,Illinois,2,162022,120131,41891
1478,r016,All states -> Indiana,All states,Indiana,2,50643,27120,23523
1478,r017,All states -> Iowa,All states,Iowa,2,30624,20584,10040
1478,r018,All states -> Kansas,All states,Kansas,2,12771,8795,3976
1478,r019,All states -> Kentucky,All states,Kentucky,2,19640,14542,5098
1478,r020,All states -> Louisiana,All states,Louisiana,2,11229,9780,1449
1478,r021,All states -> Maine,All states,Maine,2,21035,s,s
1478,r022,All states -> Maryland,All states,Maryland,2,150978,110817,40161
1478,r023,All states -> Massachusetts,All states,Massachusetts,2,267037,182514,84523
1478,r024,All states -> Michigan,All states,Michigan,2,67411,46677,20734
1478,r025,All states -> Minnesota,All states,Minnesota,2,121090,89470,31620
1478,r026,All states -> Mississippi,All states,Mississippi,2,3395,2623,772
1478,r027,All states -> Missouri,All states,Missouri,2,23465,20140,3324
1478,r028,All states -> Montana,All states,Montana,2,9629,5252,4377
1478,r029,All states -> Nebraska,All states,Nebraska,2,19053,16308,2745
1478,r030,All states -> Nevada,All states,Nevada,2,48748,27515,21233
1478,r031,All states -> New Hampshire,All states,New Hampshire,2,21715,15535,6181
1478,r032,All states -> New Jersey,All states,New Jersey,2,150029,125280,24749
1478,r033,All states -> New Mexico,All states,New Mexico,2,20260,13202,7058
1478,r034,All states -> New York,All states,New York,2,390061,346939,43122
1478,r035,All states -> North Carolina,All states,North Carolina,2,165762,105633,60128
1478,r036,All states -> North Dakota,All states,North Dakota,2,s,s,s
1478,r037,All states -> Ohio,All states,Ohio,2,89044,66674,22370
1478,r038,All states -> Oklahoma,All states,Oklahoma,2,45354,43316,2038
1478,r039,All states -> Oregon,All states,Oregon,2,43417,35574,7843
1478,r040,All states -> Pennsylvania,All states,Pennsylvania,2,194601,123437,71164
1478,r041,All states -> Rhode Island,All states,Rhode Island,2,15570,12545,3025
1478,r042,All states -> South Carolina,All states,South Carolina,2,38267,33657,4609
1478,r043,All states -> South Dakota,All states,South Dakota,2,5823,5542,281
1478,r044,All states -> Tennessee,All states,Tennessee,2,32301,26738,5563
1478,r045,All states -> Texas,All states,Texas,2,302041,235493,66547
1478,r046,All states -> Utah,All states,Utah,2,43950,32448,11501
1478,r047,All states -> Vermont,All states,Vermont,2,11893,s,2407
1478,r048,All states -> Virginia,All states,Virginia,2,149361,95826,53536
1478,r049,All states -> Washington,All states,Washington,2,131326,107777,23549
1478,r050,All states -> West Virginia,All states,West Virginia,2,1396,1270,126
1478,r051,All states -> Wisconsin,All states,Wisconsin,2,41767,34045,7722
1478,r052,All states -> Wyoming,All states,Wyoming,2,s,s,703
1478,r053,All states -> Undistributed,All states,Undistributed,2,101,101,0
