table_id,row_id,industry_and_company_size_full_path,industry_and_company_size_level_1,industry_and_company_size_level_2,industry_and_company_size_level_3,industry_and_company_size_level_4,industry_and_company_size_level_5,industry_and_company_size_hierarchy_depth,field_naics_code,field_total,field_salaries_wages_and_fringe_benefits,field_stock_based_compensation,field_temporary_staffing,field_expensed_equipment,field_materials_and_supplies,field_lease_and_rental_payments,field_depreciation,field_royalties_and_licensing_fees,field_other_purchased_services_except_r_d_,field_other
6569,r001,All industries,All industries,,,,,1,"21–23, 31–33, 42–81","['428,968', '']","['231,648', '']","['38,284', '']","['19,261', '']","['6,738', '']","['26,298', '']","['7,405', '']","['17,058', '']","['8,894', '']","['12,400', '']","['60,981', '']"
6569,r002,All industries -> Manufacturing industries,All industries,Manufacturing industries,,,,2,31–33,"['248,109', '']","['123,559', '']","['11,417', '']","['9,448', '']","['3,267', '']","['23,249', '']","['3,771', '']","['11,368', '']","['8,553', '']","['9,560', '']","['43,918', '']"
6569,r003,All industries -> Manufacturing industries -> Food,All industries,Manufacturing industries,Food,,,3,311,"['3,937', '']","['2,433', '']","['67', '']","['85', '']","['13', '']","['455', '']","['55', '']","['169', '']","['1', '']","['181', '']","['479', '']"
6569,r004,All industries -> Manufacturing industries -> Beverage and tobacco products,All industries,Manufacturing industries,Beverage and tobacco products,,,3,312,"['971', '']","['500', '']","['10', '']","['39', '']","['2', '']","['83', '']","['8', '']","['43', '']","['0', '']","['59', '']","['227', '']"
6569,r005,"All industries -> Manufacturing industries -> Textile, apparel, and leather products",All industries,Manufacturing industries,"Textile, apparel, and leather products",,,3,313–16,"['873', '']","['547', '']","['17', '']","['22', '']","['10', '']","['196', '']","['4', '']","['14', '']","['*', '']","['12', '']","['52', '']"
6569,r006,All industries -> Manufacturing industries -> Wood products,All industries,Manufacturing industries,Wood products,,,3,321,"['180', '']","['139', '']","['0', '']","['4', '']","['*', '']","['21', '']","['9', '']","['2', '']","['0', '']","['2', '']","['4', 'i']"
6569,r007,All industries -> Manufacturing industries -> Paper,All industries,Manufacturing industries,Paper,,,3,322,"['1,064', '']","['434', '']","['*', 'i']","['6', 'i']","['1', 'i']","['485', '']","['7', 'i']","['8', 'i']","['1', 'i']","['11', 'i']","['108', '']"
6569,r008,All industries -> Manufacturing industries -> Printing and related support activities,All industries,Manufacturing industries,Printing and related support activities,,,3,323,"['420', 'i']","['285', 'i']","['0', '']","['4', 'i']","['1', '']","['64', '']","['8', 'i']","['5', '']","['*', 'i']","['7', '']","['46', '']"
6569,r009,All industries -> Manufacturing industries -> Petroleum and coal products,All industries,Manufacturing industries,Petroleum and coal products,,,3,324,"['1,203', '']","['569 - 628', '']","['*', '']","['11 - 18', '']","['7', '']","['19 - 42', '']","['0 - 5', '']","['41', '']","['*', '']","['283 - 296', '']","['166 - 239', '']"
6569,r010,All industries -> Manufacturing industries -> Chemicals,All industries,Manufacturing industries,Chemicals,,,3,325,"['87,288', '']","['34,544', '']","['4,222', '']","['5,096', '']","['585', '']","['8,051', '']","['1,359', '']","['3,475', '']","['7,322', '']","['4,509', '']","['18,125', '']"
6569,r011,All industries -> Manufacturing industries -> Chemicals -> Basic chemicals,All industries,Manufacturing industries,Chemicals,Basic chemicals,,4,3251,"['2,198', '']","['1,272', '']","['4', '']","['22 - 44', '']","['14', '']","['229', '']","['42', '']","['152', '']","['23', '']","['142', '']","['273 - 295', '']"
6569,r012,"All industries -> Manufacturing industries -> Chemicals -> Resin, synthetic rubber, and artificial synthetic fibers and filaments",All industries,Manufacturing industries,Chemicals,"Resin, synthetic rubber, and artificial synthetic fibers and filaments",,4,3252,"['1,092', '']","['727', '']","['1', '']","['46', '']","['2', '']","['98', '']","['12', '']","['62', '']","['3', '']","['53', '']","['89', '']"
6569,r013,"All industries -> Manufacturing industries -> Chemicals -> Pesticide, fertilizer, and other agricultural chemicals",All industries,Manufacturing industries,Chemicals,"Pesticide, fertilizer, and other agricultural chemicals",,4,3253,"['1,501', '']","['758 - 826', '']","['*', '']","['152 - 177', '']","['0 - 3', 'i']","['143', '']","['100 - 110', '']","['105', '']","['27', '']","['60 - 65', '']","['61 - 157', '']"
6569,r014,All industries -> Manufacturing industries -> Chemicals -> Pharmaceuticals and medicines,All industries,Manufacturing industries,Chemicals,Pharmaceuticals and medicines,,4,3254,"['78,652', '']","['29,357', '']","['4,205', '']","['4,773', '']","['559', '']","['7,331', '']","['1,169', '']","['3,028', '']","['7,269', '']","['4,215', '']","['16,746', '']"
6569,r015,"All industries -> Manufacturing industries -> Chemicals -> Soap, cleaning compound, and toilet preparation",All industries,Manufacturing industries,Chemicals,"Soap, cleaning compound, and toilet preparation",,4,3256,"['2,596', '']","['1,540', '']","['12', '']","['68', '']","['1', '']","['154', '']","['18', '']","['86', '']","['*', '']","['19', '']","['698', '']"
6569,r016,"All industries -> Manufacturing industries -> Chemicals -> Paint, coating, adhesive, and other chemicals",All industries,Manufacturing industries,Chemicals,"Paint, coating, adhesive, and other chemicals",,4,"3255, 3259","['1,249', '']","['824 - 888', '']","['*', '']","['13', '']","['5 - 11', '']","['95', '']","['6 - 16', '']","['43', '']","['*', '']","['14 - 19', '']","['163 - 234', '']"
6569,r017,All industries -> Manufacturing industries -> Plastics and rubber products,All industries,Manufacturing industries,Plastics and rubber products,,,3,326,"['2,770', '']","['1,597', '']","['22', '']","['48', '']","['42', '']","['444', '']","['20', '']","['83', '']","['6', '']","['97', '']","['411', '']"
6569,r018,All industries -> Manufacturing industries -> Nonmetallic mineral products,All industries,Manufacturing industries,Nonmetallic mineral products,,,3,327,"['1,473', 'i']","['827', 'i']","['6', '']","['9 - 16', '']","['20', 'i']","['225', 'i']","['18', 'i']","['59', 'i']","['0', '']","['35 - 48', 'i']","['253 - 266', 'i']"
6569,r019,All industries -> Manufacturing industries -> Primary metals,All industries,Manufacturing industries,Primary metals,,,3,331,"['649', '']","['365', '']","['4', '']","['5', '']","['3', '']","['151', '']","['0 - 2', '']","['27', '']","['4', '']","['39', '']","['48 - 52', '']"
6569,r020,All industries -> Manufacturing industries -> Fabricated metal products,All industries,Manufacturing industries,Fabricated metal products,,,3,332,"['2,632', '']","['1,722', '']","['58', '']","['86', '']","['30', '']","['400', '']","['14', '']","['40', '']","['9', '']","['32 - 45', '']","['225 - 243', 'i']"
6569,r021,All industries -> Manufacturing industries -> Machinery,All industries,Manufacturing industries,Machinery,,,3,333,"['13,930', '']","['7,944', '']","['261', '']","['562', '']","['123', '']","['1,884', '']","['177', '']","['556', '']","['31', '']","['287', '']","['2,105', '']"
