table_id,row_id,_b_agency_b_full_path,_b_agency_b_level_1,_b_agency_b_level_2,_b_agency_b_level_3,_b_agency_b_level_4,_b_agency_b_level_5,_b_agency_b_hierarchy_depth,field_total,field_computer_sciences,field_mathematics,field_other_computer_sciences_and_mathematics
6367,r001,All agencies,All agencies,,,,,1,2524467.8,1230121.3,503789.4,790557.2
6367,r002,All agencies -> Departments,All agencies,Departments,,,,2,,,,
6367,r003,All agencies -> Departments -> Department of Agriculture,All agencies,Departments,Department of Agriculture,,,3,963.6,939.6,24.0,0.0
6367,r004,All agencies -> Departments -> Department of Agriculture -> Agricultural Research Service,All agencies,Departments,Department of Agriculture,Agricultural Research Service,,4,925.3,925.3,0.0,0.0
6367,r005,All agencies -> Departments -> Department of Agriculture -> Forest Service,All agencies,Departments,Department of Agriculture,Forest Service,,4,38.3,14.3,24.0,0.0
6367,r006,All agencies -> Departments -> Department of Commerce,All agencies,Departments,Department of Commerce,,,3,12900.1,1396.7,2384.1,9119.3
6367,r007,All agencies -> Departments -> Department of Commerce -> National Institute of Standards and Technology,All agencies,Departments,Department of Commerce,National Institute of Standards and Technology,,4,12900.1,1396.7,2384.1,9119.3
6367,r008,All agencies -> Departments -> Department of Defense,All agencies,Departments,Department of Defense,,,3,576831.6,431535.0,64576.0,80720.7
6367,r009,All agencies -> Departments -> Department of Defense -> Defense Advanced Research Projects Agency,All agencies,Departments,Department of Defense,Defense Advanced Research Projects Agency,,4,326095.1,273556.1,8219.1,44320.0
6367,r010,All agencies -> Departments -> Department of Defense -> Department of the Air Force,All agencies,Departments,Department of Defense,Department of the Air Force,,4,34513.1,8399.9,6937.9,19175.3
6367,r011,All agencies -> Departments -> Department of Defense -> Department of the Army,All agencies,Departments,Department of Defense,Department of the Army,,4,79157.1,68094.4,11062.7,0.0
6367,r012,All agencies -> Departments -> Department of Defense -> Department of the Navy,All agencies,Departments,Department of Defense,Department of the Navy,,4,57967.2,44129.4,13670.9,166.9
6367,r013,All agencies -> Departments -> Department of Defense -> Other defense agencies,All agencies,Departments,Department of Defense,Other defense agencies,,4,79099.1,37355.3,24685.3,17058.5
6367,r014,All agencies -> Departments -> Department of Energy,All agencies,Departments,Department of Energy,,,3,779955.2,38183.1,43174.4,698597.6
6367,r015,All agencies -> Departments -> Department of Energy -> National Nuclear Security Administration,All agencies,Departments,Department of Energy,National Nuclear Security Administration,,4,5579.1,722.5,1050.0,3806.6
6367,r016,All agencies -> Departments -> Department of Energy -> National Nuclear Security Administration -> Office of Defense Nuclear Nonproliferation,All agencies,Departments,Department of Energy,National Nuclear Security Administration,Office of Defense Nuclear Nonproliferation,5,5579.1,722.5,1050.0,3806.6
6367,r017,"All agencies -> Departments -> Department of Energy -> Office of Cybersecurity, Energy Security, and Emergency Response",All agencies,Departments,Department of Energy,"Office of Cybersecurity, Energy Security, and Emergency Response",,4,1153.0,1153.0,0.0,0.0
6367,r018,All agencies -> Departments -> Department of Energy -> Office of Science,All agencies,Departments,Department of Energy,Office of Science,,4,773223.1,36307.6,42124.4,694791.0
6367,r019,All agencies -> Departments -> Department of Health and Human Services,All agencies,Departments,Department of Health and Human Services,,,3,150159.5,0.0,150159.5,0.0
6367,r020,All agencies -> Departments -> Department of Health and Human Services -> National Institutes of Health,All agencies,Departments,Department of Health and Human Services,National Institutes of Health,,4,150159.5,0.0,150159.5,0.0
6367,r021,All agencies -> Departments -> Department of Homeland Security,All agencies,Departments,Department of Homeland Security,,,3,2119.6,0.0,0.0,2119.6
6367,r022,All agencies -> Departments -> Department of Homeland Security -> Countering Weapons of Mass Destruction Office,All agencies,Departments,Department of Homeland Security,Countering Weapons of Mass Destruction Office,,4,2119.6,0.0,0.0,2119.6
6367,r023,All agencies -> Other agencies,All agencies,Other agencies,,,,2,,,,
6367,r024,All agencies -> Other agencies -> National Science Foundation,All agencies,Other agencies,National Science Foundation,,,3,1001538.2,758066.9,243471.3,0.0
