table_id,row_id,_b_field_and_primary_source_of_support_b_full_path,_b_field_and_primary_source_of_support_b_level_1,_b_field_and_primary_source_of_support_b_level_2,_b_field_and_primary_source_of_support_b_level_3,_b_field_and_primary_source_of_support_b_hierarchy_depth,field_totala,field_sex_male,field_sex_female,field_citizenship_status_u_s_citizen_or_permanent_resident,field_citizenship_status_temporary_visa_holder,field_u_s_citizens_and_permanent_residents_hispanic_or_latino,field_u_s_citizens_and_permanent_residents_not_hispanic_or_latino_american_indian_or_alaska_native,field_u_s_citizens_and_permanent_residents_not_hispanic_or_latino_asian,field_u_s_citizens_and_permanent_residents_not_hispanic_or_latino_black_or_african_american,field_u_s_citizens_and_permanent_residents_not_hispanic_or_latino_white,field_u_s_citizens_and_permanent_residents_not_hispanic_or_latino_more_than_one_race,field_u_s_citizens_and_permanent_residents_not_hispanic_or_latino_other_race_or_race_not_reported,field_u_s_citizens_and_permanent_residents_ethnicity_not_reported
4672,r001,All fields (number),All fields (number),,,1,48877,26443,22434,31700,16997,2602,83,2986,2184,22378,1097,250,120
4672,r002,All fields (number) -> Teaching assistantships,All fields (number),Teaching assistantships,,2,21.5,21.9,20.9,20.5,23.2,16.8,8.4,18.5,12.5,22.1,20.3,18.4,19.2
4672,r003,All fields (number) -> Research assistantships or traineeships<sup>b</sup>,All fields (number),Research assistantships or traineeships<sup>b</sup>,,2,33.7,38.6,27.9,26.8,46.6,20.3,18.1,33.9,14.7,27.9,27.0,24.4,19.2
4672,r004,"All fields (number) -> Fellowships, scholarships, or dissertation grants",All fields (number),"Fellowships, scholarships, or dissertation grants",,2,24.4,22.8,26.4,26.9,19.8,36.2,32.5,32.5,25.8,25.0,31.4,26.4,20.0
4672,r005,All fields (number) -> Own resources,All fields (number),Own resources,,2,15.2,11.3,19.8,21.2,4.0,22.1,31.3,12.1,40.8,20.4,18.4,23.2,36.7
4672,r006,All fields (number) -> Employer,All fields (number),Employer,,2,2.8,2.7,2.9,4.0,0.5,3.5,7.2,2.5,5.5,4.2,2.5,6.0,5.0
4672,r007,All fields (number) -> Other,All fields (number),Other,,2,2.4,2.7,2.0,0.5,5.9,1.1,2.4,0.4,0.8,0.4,0.5,1.6,0.0
4672,r008,All fields (number) -> Life sciences (number)<sup>c</sup>,All fields (number),Life sciences (number)<sup>c</sup>,,2,11336,5001,6335,8122,3178,669,18,903,512,5638,304,56,22
4672,r009,All fields (number) -> Life sciences (number)<sup>c</sup> -> Teaching assistantships,All fields (number),Life sciences (number)<sup>c</sup>,Teaching assistantships,3,13.5,14.6,12.7,13.0,14.8,8.5,0.0,9.4,6.8,14.7,13.2,8.9,18.2
4672,r010,All fields (number) -> Life sciences (number)<sup>c</sup> -> Research assistantships or traineeships<sup>b</sup>,All fields (number),Life sciences (number)<sup>c</sup>,Research assistantships or traineeships<sup>b</sup>,3,36.4,38.3,34.9,33.1,44.7,28.0,27.8,35.1,21.3,34.5,33.9,30.4,22.7
4672,r011,"All fields (number) -> Life sciences (number)<sup>c</sup> -> Fellowships, scholarships, or dissertation grants",All fields (number),Life sciences (number)<sup>c</sup>,"Fellowships, scholarships, or dissertation grants",3,32.3,31.2,33.2,34.9,25.6,46.9,38.9,42.6,33.8,32.0,41.4,32.1,27.3
