table_id,row_id,field_of_study_and_sex_full_path,field_of_study_and_sex_level_1,field_of_study_and_sex_level_2,field_of_study_and_sex_level_3,field_of_study_and_sex_level_4,field_of_study_and_sex_hierarchy_depth,field_all_employed_number,field_all_employed_se,field_all_employed_10_number,field_all_employed_10_se,field_full_professor_number,field_full_professor_se,field_full_professor_10_number,field_full_professor_10_se,field_associate_professor_number,field_associate_professor_se,field_associate_professor_10_number,field_associate_professor_10_se,field_assistant_professor_number,field_assistant_professor_se,field_assistant_professor_10_number,field_assistant_professor_10_se,field_instructor_or_lecturer_number,field_instructor_or_lecturer_se,field_instructor_or_lecturer_10_number,field_instructor_or_lecturer_10_se,field_all_other_faculty_number,field_all_other_faculty_se,field_all_other_faculty_10_number,field_all_other_faculty_10_se,field_rank_not_applicable_number,field_rank_not_applicable_se,field_rank_not_applicable_10_number,field_rank_not_applicable_10_se
8197,r001,All fields,All fields,,,,1,106400,1425,234550,2175,1400,200,110750,1850,12500,525,64050,1350,48200,975,20300,775,8600,450,11600,575,650,175,850,150,35050,925,27000,825
8197,r002,All fields -> Male,All fields,Male,,,2,57050,1125,147650,1925,800,175,77700,1625,6600,425,38450,1200,26250,800,10800,575,4200,350,6000,450,350,150,500,125,18900,675,14200,650
8197,r003,All fields -> Female,All fields,Female,,,2,49350,875,86900,1125,600,125,33050,800,5950,325,25600,650,21950,575,9500,450,4400,300,5600,375,300,100,350,100,16150,600,12800,500
8197,r004,All fields -> Science,All fields,Science,,,2,81850,1225,190600,2000,900,150,88250,1475,9300,450,51050,1250,35750,825,16850,775,7250,400,10400,525,600,175,750,150,28100,775,23300,725
8197,r005,All fields -> Science -> Male,All fields,Science,Male,,3,42800,925,118100,1625,550,125,61100,1225,5050,375,30250,1075,18950,675,9000,575,3400,325,5350,425,300,150,450,125,14600,600,11950,525
8197,r006,All fields -> Science -> Female,All fields,Science,Female,,3,39050,800,72450,1175,350,100,27150,750,4250,275,20800,650,16800,475,7800,425,3850,275,5050,350,300,100,250,75,13550,575,11400,500
8197,r007,"All fields -> Science -> Biological, agricultural, and environmental life sciences",All fields,Science,"Biological, agricultural, and environmental life sciences",,3,29800,625,65650,1275,200,100,26150,825,1600,175,17250,700,9650,400,8350,475,2350,250,3450,325,400,125,150,75,15600,575,10350,525
8197,r008,"All fields -> Science -> Biological, agricultural, and environmental life sciences -> Male",All fields,Science,"Biological, agricultural, and environmental life sciences",Male,4,14850,550,38950,1025,150,75,17950,750,800,150,10250,625,4750,325,4400,375,1200,250,1650,275,S,S,100,50,7750,450,4600,375
8197,r009,"All fields -> Science -> Biological, agricultural, and environmental life sciences -> Female",All fields,Science,"Biological, agricultural, and environmental life sciences",Female,4,15000,475,26700,750,50,25,8200,425,800,125,6950,400,4900,250,3950,275,1150,150,1800,225,200,75,50,25,7900,400,5700,400
8197,r010,All fields -> Science -> Computer and information sciences,All fields,Science,Computer and information sciences,,3,4550,300,7300,400,100,50,4000,350,800,175,2150,250,2850,275,300,75,200,75,350,125,,,,,600,125,450,100
8197,r011,All fields -> Science -> Computer and information sciences -> Male,All fields,Science,Computer and information sciences,Male,4,3200,300,5750,375,50,50,3250,350,550,175,1600,225,2050,250,250,75,100,50,250,125,,,,,400,100,350,100
