table_id,row_id,field_of_study_ethnicity_and_race_full_path,field_of_study_ethnicity_and_race_level_1,field_of_study_ethnicity_and_race_level_2,field_of_study_ethnicity_and_race_level_3,field_of_study_ethnicity_and_race_level_4,field_of_study_ethnicity_and_race_level_5,field_of_study_ethnicity_and_race_hierarchy_depth,field_all_full_time_employed_median_salary,field_all_full_time_employed_se,field_full_professor_median_salary,field_full_professor_se,field_associate_professor_median_salary,field_associate_professor_se,field_assistant_professor_median_salary,field_assistant_professor_se,field_instructor_or_lecturer_median_salary,field_instructor_or_lecturer_se,field_all_other_faculty_median_salary,field_all_other_faculty_se,field_rank_not_applicable_median_salary,field_rank_not_applicable_se
3732,r001,All fields,All fields,,,,,1,95000,500,130000,1000,95000,1000,82000,1000,65000,1000,72000,7500,65000,1500
3732,r002,All fields -> Hispanic or Latino<sup>a</sup>,All fields,Hispanic or Latino<sup>a</sup>,,,,2,88000,1500,119000,3500,91000,2500,82000,1500,60000,5000,S,S,60000,1500
3732,r003,All fields -> Not Hispanic or Latino<sup>b</sup>,All fields,Not Hispanic or Latino<sup>b</sup>,,,,2,,,,,,,,,,,,,,
3732,r004,All fields -> Not Hispanic or Latino<sup>b</sup> -> American Indian or Alaska Native,All fields,Not Hispanic or Latino<sup>b</sup>,American Indian or Alaska Native,,,3,89000,4000,120000,22500,92000,7000,88000,7000,,,,,,
3732,r005,All fields -> Not Hispanic or Latino<sup>b</sup> -> Asian,All fields,Not Hispanic or Latino<sup>b</sup>,Asian,,,3,90000,500,140000,5500,101000,3000,87000,2500,64000,3000,50000,4500,60000,1500
3732,r006,All fields -> Not Hispanic or Latino<sup>b</sup> -> Black or African American,All fields,Not Hispanic or Latino<sup>b</sup>,Black or African American,,,3,89000,1500,117000,5500,92000,2000,78000,2000,60000,4000,,,70000,6500
3732,r007,All fields -> Not Hispanic or Latino<sup>b</sup> -> White,All fields,Not Hispanic or Latino<sup>b</sup>,White,,,3,98000,1000,130000,1000,94000,1500,82000,1000,64000,1000,72000,3000,72000,1500
3732,r008,All fields -> Not Hispanic or Latino<sup>b</sup> -> Other race<sup>c</sup>,All fields,Not Hispanic or Latino<sup>b</sup>,Other race<sup>c</sup>,,,3,88000,2000,130000,10500,97000,5500,82000,3000,74000,7000,,,68000,5500
3732,r009,All fields -> Science,All fields,Science,,,,2,92000,1000,128000,2500,92000,1000,80000,1500,63000,1500,67000,10000,65000,500
3732,r010,All fields -> Science -> Hispanic or Latino<sup>a</sup>,All fields,Science,Hispanic or Latino<sup>a</sup>,,,3,86000,2500,120000,3500,90000,1500,80000,1500,62000,5000,S,S,60000,1500
3732,r011,All fields -> Science -> Not Hispanic or Latino<sup>b</sup>,All fields,Science,Not Hispanic or Latino<sup>b</sup>,,,3,,,,,,,,,,,,,,
3732,r012,All fields -> Science -> Not Hispanic or Latino<sup>b</sup> -> American Indian or Alaska Native,All fields,Science,Not Hispanic or Latino<sup>b</sup>,American Indian or Alaska Native,,4,83000,8000,94000,31500,92000,6500,71000,9500,,,,,,
3732,r013,All fields -> Science -> Not Hispanic or Latino<sup>b</sup> -> Asian,All fields,Science,Not Hispanic or Latino<sup>b</sup>,Asian,,4,88000,2500,130000,6500,99000,1500,87000,2500,59000,1500,48000,6500,58000,1500
3732,r014,All fields -> Science -> Not Hispanic or Latino<sup>b</sup> -> Black or African American,All fields,Science,Not Hispanic or Latino<sup>b</sup>,Black or African American,,4,87000,2000,116000,4500,90000,1500,76000,3000,58000,4000,,,68000,5000
3732,r015,All fields -> Science -> Not Hispanic or Latino<sup>b</sup> -> White,All fields,Science,Not Hispanic or Latino<sup>b</sup>,White,,4,95000,500,129000,2000,90000,1000,80000,1000,64000,1500,68000,8000,70000,2500
3732,r016,All fields -> Science -> Not Hispanic or Latino<sup>b</sup> -> Other race<sup>c</sup>,All fields,Science,Not Hispanic or Latino<sup>b</sup>,Other race<sup>c</sup>,,4,86000,2000,123000,8000,97000,7500,81000,2500,71000,5000,,,63000,6000
3732,r017,"All fields -> Science -> Biological, agricultural, and environmental life sciences",All fields,Science,"Biological, agricultural, and environmental life sciences",,,3,90000,500,140000,3500,101000,2000,85000,1000,65000,1500,75000,6000,60000,500
