table_id,row_id,occupation_full_path,occupation_level_1,occupation_level_2,occupation_level_3,occupation_level_4,occupation_hierarchy_depth,field_total,field_s_e_fields_total,field_s_e_fields_biological_agricultural_and_environmental_life_sciences,field_s_e_fields_computer_and_mathematical_sciences,field_s_e_fields_physical_and_related_sciences,field_s_e_fields_social_and_related_sciences,field_s_e_fields_engineering,field_s_e_related_fields,field_non_s_e_fields
5325,r001,All college graduates,All college graduates,,,,1,50524000,15362000,2437000,2837000,889000,5474000,3725000,7429000,27734000
5325,r002,All college graduates -> S&E occupations,All college graduates,S&E occupations,,,2,7466000,5709000,705000,1670000,422000,754000,2159000,428000,1330000
5325,r003,"All college graduates -> S&E occupations -> Biological, agricultural, and other life scientists",All college graduates,S&E occupations,"Biological, agricultural, and other life scientists",,3,698000,579000,488000,4000,47000,18000,22000,77000,43000
5325,r004,"All college graduates -> S&E occupations -> Biological, agricultural, and other life scientists -> Agricultural and food scientists",All college graduates,S&E occupations,"Biological, agricultural, and other life scientists",Agricultural and food scientists,4,58000,53000,47000,,S,S,1000,S,4000
5325,r005,"All college graduates -> S&E occupations -> Biological, agricultural, and other life scientists -> Biological and medical scientists",All college graduates,S&E occupations,"Biological, agricultural, and other life scientists",Biological and medical scientists,4,500000,404000,328000,4000,42000,11000,19000,67000,29000
5325,r006,"All college graduates -> S&E occupations -> Biological, agricultural, and other life scientists -> Environmental life scientists",All college graduates,S&E occupations,"Biological, agricultural, and other life scientists",Environmental life scientists,4,39000,32000,31000,,0.05,1000,,,6000
5325,r007,"All college graduates -> S&E occupations -> Biological, agricultural, and other life scientists -> Postsecondary teachers - life and related sciences",All college graduates,S&E occupations,"Biological, agricultural, and other life scientists",Postsecondary teachers - life and related sciences,4,101000,90000,82000,,2000,4000,1000,8000,4000
5325,r008,All college graduates -> S&E occupations -> Computer and mathematical scientists,All college graduates,S&E occupations,Computer and mathematical scientists,,3,3774000,2642000,94000,1584000,79000,258000,628000,186000,946000
5325,r009,All college graduates -> S&E occupations -> Computer and mathematical scientists -> Computer and information scientists,All college graduates,S&E occupations,Computer and mathematical scientists,Computer and information scientists,4,3379000,2393000,80000,1429000,66000,218000,600000,153000,833000
5325,r010,All college graduates -> S&E occupations -> Computer and mathematical scientists -> Mathematical scientists,All college graduates,S&E occupations,Computer and mathematical scientists,Mathematical scientists,4,284000,164000,13000,76000,12000,39000,24000,20000,100000
5325,r011,All college graduates -> S&E occupations -> Computer and mathematical scientists -> Postsecondary teachers - computer and math sciences,All college graduates,S&E occupations,Computer and mathematical scientists,Postsecondary teachers - computer and math sciences,4,111000,85000,2000,78000,S,S,3000,13000,13000
5325,r012,All college graduates -> S&E occupations -> Physical and related scientists,All college graduates,S&E occupations,Physical and related scientists,,3,409000,374000,87000,4000,246000,8000,28000,S,18000
5325,r013,"All college graduates -> S&E occupations -> Physical and related scientists -> Chemists, except biochemists",All college graduates,S&E occupations,Physical and related scientists,"Chemists, except biochemists",4,132000,117000,31000,S,78000,,7000,S,5000
5325,r014,"All college graduates -> S&E occupations -> Physical and related scientists -> Earth, atmospheric, and ocean scientists",All college graduates,S&E occupations,Physical and related scientists,"Earth, atmospheric, and ocean scientists",4,85000,80000,7000,1000,65000,2000,6000,,4000
5325,r015,All college graduates -> S&E occupations -> Physical and related scientists -> Physicists,All college graduates,S&E occupations,Physical and related scientists,Physicists,4,45000,45000,0.05,0.05,38000,,6000,1000,
5325,r016,"All college graduates -> S&E occupations -> Physical and related scientists -> Other physical and related scientists, including astronomers",All college graduates,S&E occupations,Physical and related scientists,"Other physical and related scientists, including astronomers",4,67000,59000,30000,S,17000,5000,6000,2000,6000
5325,r017,All college graduates -> S&E occupations -> Physical and related scientists -> Postsecondary teachers - physical and related sciences,All college graduates,S&E occupations,Physical and related scientists,Postsecondary teachers - physical and related sciences,4,80000,73000,19000,,49000,,3000,3000,4000
5325,r018,All college graduates -> S&E occupations -> Social and related scientists,All college graduates,S&E occupations,Social and related scientists,,3,663000,477000,17000,6000,1000,448000,5000,44000,142000
5325,r019,All college graduates -> S&E occupations -> Social and related scientists -> Economists,All college graduates,S&E occupations,Social and related scientists,Economists,4,56000,46000,1000,2000,,43000,0.05,2000,8000
5325,r020,All college graduates -> S&E occupations -> Social and related scientists -> Political scientists,All college graduates,S&E occupations,Social and related scientists,Political scientists,4,22000,11000,,,,11000,,,8000
5325,r021,All college graduates -> S&E occupations -> Social and related scientists -> Psychologists,All college graduates,S&E occupations,Social and related scientists,Psychologists,4,228000,188000,S,,,182000,,8000,32000
5325,r022,All college graduates -> S&E occupations -> Social and related scientists -> Anthropologists,All college graduates,S&E occupations,Social and related scientists,Anthropologists,4,16000,15000,,,,15000,,,0.05
5325,r023,All college graduates -> S&E occupations -> Social and related scientists -> Other social and related scientists,All college graduates,S&E occupations,Social and related scientists,Other social and related scientists,4,142000,78000,7000,3000,S,63000,4000,28000,36000
5325,r024,All college graduates -> S&E occupations -> Social and related scientists -> Postsecondary teachers - social and related sciences,All college graduates,S&E occupations,Social and related scientists,Postsecondary teachers - social and related sciences,4,200000,139000,4000,1000,,134000,,3000,58000
5325,r025,All college graduates -> S&E occupations -> Engineers,All college graduates,S&E occupations,Engineers,,3,1921000,1637000,19000,71000,49000,22000,1477000,103000,180000
5325,r026,"All college graduates -> S&E occupations -> Engineers -> Aerospace, aeronautical, and astronautical engineers",All college graduates,S&E occupations,Engineers,"Aerospace, aeronautical, and astronautical engineers",4,126000,112000,,3000,5000,,104000,4000,10000
5325,r027,All college graduates -> S&E occupations -> Engineers -> Chemical engineers,All college graduates,S&E occupations,Engineers,Chemical engineers,4,84000,73000,1000,0.05,2000,,69000,4000,7000
5325,r028,"All college graduates -> S&E occupations -> Engineers -> Civil, architectural, and sanitary engineers",All college graduates,S&E occupations,Engineers,"Civil, architectural, and sanitary engineers",4,294000,271000,2000,1000,S,1000,262000,9000,14000
5325,r029,All college graduates -> S&E occupations -> Engineers -> Electrical and computer hardware engineers,All college graduates,S&E occupations,Engineers,Electrical and computer hardware engineers,4,412000,371000,S,33000,9000,S,327000,18000,23000
5325,r030,All college graduates -> S&E occupations -> Engineers -> Industrial engineers,All college graduates,S&E occupations,Engineers,Industrial engineers,4,95000,59000,S,5000,2000,,46000,15000,21000
5325,r031,All college graduates -> S&E occupations -> Engineers -> Mechanical engineers,All college graduates,S&E occupations,Engineers,Mechanical engineers,4,377000,325000,2000,4000,1000,1000,316000,25000,27000
5325,r032,All college graduates -> S&E occupations -> Engineers -> Other engineers,All college graduates,S&E occupations,Engineers,Other engineers,4,472000,374000,9000,21000,22000,15000,308000,27000,71000
5325,r033,All college graduates -> S&E occupations -> Engineers -> Postsecondary teachers - engineering,All college graduates,S&E occupations,Engineers,Postsecondary teachers - engineering,4,61000,52000,,4000,2000,,45000,2000,7000
5325,r034,All college graduates -> S&E-related occupations,All college graduates,S&E-related occupations,,,2,8893000,2131000,660000,366000,176000,367000,562000,5309000,1453000
5325,r035,All college graduates -> S&E-related occupations -> Health-related occupations,All college graduates,S&E-related occupations,Health-related occupations,,3,5728000,696000,389000,27000,52000,211000,17000,4479000,553000
5325,r036,All college graduates -> S&E-related occupations -> S&E managers,All college graduates,S&E-related occupations,S&E managers,,3,999000,517000,68000,106000,37000,57000,249000,260000,221000
5325,r037,All college graduates -> S&E-related occupations -> S&E precollege teachers,All college graduates,S&E-related occupations,S&E precollege teachers,,3,925000,237000,72000,74000,30000,48000,13000,240000,448000
5325,r038,All college graduates -> S&E-related occupations -> S&E technicians and technologists,All college graduates,S&E-related occupations,S&E technicians and technologists,,3,973000,635000,129000,132000,54000,48000,272000,133000,204000
5325,r039,All college graduates -> S&E-related occupations -> Other S&E-related occupations,All college graduates,S&E-related occupations,Other S&E-related occupations,,3,270000,46000,2000,27000,3000,4000,10000,196000,27000
5325,r040,All college graduates -> Non-S&E occupations,All college graduates,Non-S&E occupations,,,2,34165000,7522000,1072000,801000,291000,4352000,1004000,1692000,24951000
5325,r041,All college graduates -> Non-S&E occupations -> Non-S&E managers,All college graduates,Non-S&E occupations,Non-S&E managers,,3,4627000,1205000,162000,161000,56000,509000,317000,271000,3151000
5325,r042,All college graduates -> Non-S&E occupations -> Management-related occupations,All college graduates,Non-S&E occupations,Management-related occupations,,3,6830000,1717000,236000,265000,64000,916000,236000,280000,4832000
5325,r043,All college graduates -> Non-S&E occupations -> Non-S&E precollege teachers,All college graduates,Non-S&E occupations,Non-S&E precollege teachers,,3,4268000,405000,67000,22000,11000,289000,14000,158000,3705000
5325,r044,All college graduates -> Non-S&E occupations -> Non-S&E postsecondary teachers,All college graduates,Non-S&E occupations,Non-S&E postsecondary teachers,,3,610000,78000,S,4000,5000,61000,2000,30000,501000
5325,r045,All college graduates -> Non-S&E occupations -> Social services and related occupations,All college graduates,Non-S&E occupations,Social services and related occupations,,3,2189000,605000,29000,S,9000,541000,7000,119000,1465000
5325,r046,All college graduates -> Non-S&E occupations -> Sales and marketing occupations,All college graduates,Non-S&E occupations,Sales and marketing occupations,,3,4646000,996000,131000,87000,41000,602000,134000,233000,3416000
5325,r047,"All college graduates -> Non-S&E occupations -> Art, humanities, and related occupations",All college graduates,Non-S&E occupations,"Art, humanities, and related occupations",,3,1576000,183000,S,9000,S,123000,8000,39000,1354000
5325,r048,All college graduates -> Non-S&E occupations -> Other non-S&E occupations,All college graduates,Non-S&E occupations,Other non-S&E occupations,,3,9418000,2332000,404000,234000,99000,1309000,285000,560000,6526000
