table_id,row_id,citizenship_status_and_field_full_path,citizenship_status_and_field_level_1,citizenship_status_and_field_level_2,citizenship_status_and_field_level_3,citizenship_status_and_field_hierarchy_depth,field_all_citizenships,field_u_s_citizens_and_permanent_residents,field_temporary_visa_holders,field__temporary_visa_holders
5186,r001,All doctorate recipients<sup>a</sup>,All doctorate recipients<sup>a</sup>,,,1,55283,34492,18482,33.4
5186,r002,All doctorate recipients<sup>a</sup> -> Engineering,All doctorate recipients<sup>a</sup>,Engineering,,2,10476,4154,5955,56.8
5186,r003,"All doctorate recipients<sup>a</sup> -> Engineering -> Aerospace, aeronautical, and astronautical engineering",All doctorate recipients<sup>a</sup>,Engineering,"Aerospace, aeronautical, and astronautical engineering",3,399,221,163,40.9
5186,r004,All doctorate recipients<sup>a</sup> -> Engineering -> Bioengineering and biomedical engineering,All doctorate recipients<sup>a</sup>,Engineering,Bioengineering and biomedical engineering,3,1083,689,364,33.6
5186,r005,All doctorate recipients<sup>a</sup> -> Engineering -> Chemical engineering,All doctorate recipients<sup>a</sup>,Engineering,Chemical engineering,3,994,465,482,48.5
5186,r006,All doctorate recipients<sup>a</sup> -> Engineering -> Civil engineering,All doctorate recipients<sup>a</sup>,Engineering,Civil engineering,3,796,245,513,64.4
5186,r007,"All doctorate recipients<sup>a</sup> -> Engineering -> Electrical, electronics, and communications engineering",All doctorate recipients<sup>a</sup>,Engineering,"Electrical, electronics, and communications engineering",3,1973,552,1344,68.1
5186,r008,All doctorate recipients<sup>a</sup> -> Engineering -> Industrial and manufacturing engineering,All doctorate recipients<sup>a</sup>,Engineering,Industrial and manufacturing engineering,3,304,82,200,65.8
5186,r009,All doctorate recipients<sup>a</sup> -> Engineering -> Materials science engineering,All doctorate recipients<sup>a</sup>,Engineering,Materials science engineering,3,880,398,463,52.6
5186,r010,All doctorate recipients<sup>a</sup> -> Engineering -> Mechanical engineering,All doctorate recipients<sup>a</sup>,Engineering,Mechanical engineering,3,1634,601,983,60.2
5186,r011,All doctorate recipients<sup>a</sup> -> Engineering -> Other engineering,All doctorate recipients<sup>a</sup>,Engineering,Other engineering,3,2413,901,1443,59.8
