table_id,row_id,business_activity_sup_a_sup_full_path,business_activity_sup_a_sup_level_1,business_activity_sup_a_sup_level_2,business_activity_sup_a_sup_hierarchy_depth,field_business_codeb,field_2008,field_2009,field_2010,field_2011,field_2012,field_2013,field_2014,field_2015,field_2016,field_2017
2097,r018,"All business activities -> Resin, synthetic rubber, and artificial synthetic fibers and filaments manufacturing",All business activities,"Resin, synthetic rubber, and artificial synthetic fibers and filaments manufacturing",2,32520,"['29,537', '&nbsp;']","['33,110', '&nbsp;']","['44,009', '&nbsp;']","['30,499', '&nbsp;']","['29,307', '&nbsp;']","['27,404', '&nbsp;']","['35,325', '&nbsp;']","['30,979', '  ']","['33,055', '  ']","['38,247', '  ']"
2097,r019,"All business activities -> Pesticide, fertilizer, and other agricultural chemicals manufacturing",All business activities,"Pesticide, fertilizer, and other agricultural chemicals manufacturing",2,32530,"['12,327', '&nbsp;']","['23,686', '&nbsp;']","['10,412', '&nbsp;']","['14,001', '&nbsp;']","['16,929', '&nbsp;']","['22,163', 'i']","['13,617', '&nbsp;']","['D', '  ']","['16,513', '  ']","['18,531', '  ']"
2097,r020,"All business activities -> Pharmaceutical, medicinal, botanical, and biological products (except diagnostic substances) manufacturing<sup>c</sup>",All business activities,"Pharmaceutical, medicinal, botanical, and biological products (except diagnostic substances) manufacturing<sup>c</sup>",2,32541,"['136,925', '&nbsp;']","['128,937', '&nbsp;']","['147,497', '&nbsp;']","['163,323', '&nbsp;']","['165,908', '&nbsp;']","['162,730', '&nbsp;']","['155,814', '&nbsp;']","['153,415', '  ']","['144,820', '  ']","['141,695', '  ']"
2097,r021,All business activities -> In vitro diagnostic substances manufacturing<sup>c</sup>,All business activities,In vitro diagnostic substances manufacturing<sup>c</sup>,2,32542,"['6,964', '&nbsp;']","['7,135', '&nbsp;']","['7,802', '&nbsp;']","['11,270', '&nbsp;']","['12,376', '&nbsp;']","['5,730', '&nbsp;']","['11,359', '&nbsp;']","['7,940', '  ']","['0 - 163,991', '  ']","['6,731', '  ']"
2097,r022,All business activities -> Biotechnology-based pharmaceutical and biological products (except diagnostic substances),All business activities,Biotechnology-based pharmaceutical and biological products (except diagnostic substances),2,32543,"['NA', '&nbsp;']","['NA', '&nbsp;']","['NA', '&nbsp;']","['NA', '&nbsp;']","['NA', '&nbsp;']","['3,553', '&nbsp;']","['8,035', '&nbsp;']","['13,232', '  ']","['0 - 163,991', '  ']","['18,001', '  ']"
2097,r023,"All business activities -> Soap, cleaning compound, and toilet preparations manufacturing",All business activities,"Soap, cleaning compound, and toilet preparations manufacturing",2,32591,"['72,271', '&nbsp;']","['80,113', '&nbsp;']","['86,107', '&nbsp;']","['99,565', '&nbsp;']","['84,423', '&nbsp;']","['98,232', '&nbsp;']","['95,193', '&nbsp;']","['86,186', '  ']","['81,727', '  ']","['80,444', '  ']"
2097,r024,"All business activities -> Paint, adhesive, and other chemical manufacturing",All business activities,"Paint, adhesive, and other chemical manufacturing",2,32592,"['49,968', '&nbsp;']","['41,584', '&nbsp;']","['42,946', '&nbsp;']","['55,746', '&nbsp;']","['49,627', '&nbsp;']","['45,604', '&nbsp;']","['54,754', '&nbsp;']","['39,126', '  ']","['45,439', '  ']","['47,254', '  ']"
2097,r025,All business activities -> Plastics and rubber products manufacturing,All business activities,Plastics and rubber products manufacturing,2,32600,"['43,878', '&nbsp;']","['46,866', '&nbsp;']","['55,694', '&nbsp;']","['70,156', '&nbsp;']","['71,055', '&nbsp;']","['65,315', '&nbsp;']","['76,697', '&nbsp;']","['45,131', '  ']","['56,942', '  ']","['65,496', '  ']"
2097,r026,All business activities -> Clay and glass products manufacturing,All business activities,Clay and glass products manufacturing,2,32710,"['12,023', '&nbsp;']","['8,789', '&nbsp;']","['12,710', '&nbsp;']","['12,430', '&nbsp;']","['16,796', '&nbsp;']","['16,378', '&nbsp;']","['13,287', '&nbsp;']","['15,938', '  ']","['16,850', '  ']","['13,996', '  ']"
2097,r027,"All business activities -> Cement, concrete, lime, gypsum, and other nonmetallic mineral products manufacturing",All business activities,"Cement, concrete, lime, gypsum, and other nonmetallic mineral products manufacturing",2,32790,"['5,307', '&nbsp;']","['3,931', '&nbsp;']","['7,648', '&nbsp;']","['8,629', '&nbsp;']","['6,833', '&nbsp;']","['9,164', '&nbsp;']","['9,381', '&nbsp;']","['7,494', '  ']","['6,333', '  ']","['4,130', '  ']"
2097,r028,All business activities -> Primary metal manufacturing,All business activities,Primary metal manufacturing,2,33100,"['NA', '&nbsp;']","['26,985', '&nbsp;']","['35,756', '&nbsp;']","['30,648', '&nbsp;']","['22,619', '&nbsp;']","['24,443', '&nbsp;']","['24,114', '&nbsp;']","['12,138', '  ']","['15,437', '  ']","['17,539', '  ']"
2097,r029,All business activities -> Fabricated metal products manufacturing,All business activities,Fabricated metal products manufacturing,2,33200,"['45,571', '&nbsp;']","['29,870', '&nbsp;']","['42,347', '&nbsp;']","['49,138', '&nbsp;']","['52,129', '&nbsp;']","['39,319', '&nbsp;']","['67,646', '&nbsp;']","['43,238', '  ']","['35,404', '  ']","['47,370', '  ']"
2097,r030,All business activities -> Agricultural machinery and equipment manufacturing,All business activities,Agricultural machinery and equipment manufacturing,2,33311,"['20,642', '&nbsp;']","['21,025', '&nbsp;']","['24,042', 'i']","['14,152', '&nbsp;']","['23,984', '&nbsp;']","['23,076', '&nbsp;']","['26,760', '&nbsp;']","['21,505', '  ']","['21,684', '  ']","['21,287', '  ']"
2097,r031,All business activities -> Construction machinery manufacturing,All business activities,Construction machinery manufacturing,2,33312,"['13,881', '&nbsp;']","['10,015', '&nbsp;']","['11,205', '&nbsp;']","['17,120', '&nbsp;']","['11,502', '&nbsp;']","['20,431', '&nbsp;']","['24,092', '&nbsp;']","['20,423', '  ']","['14,283', '  ']","['20,797', '  ']"
2097,r032,"All business activities -> Mining, oil, and gas field machinery and equipment manufacturing",All business activities,"Mining, oil, and gas field machinery and equipment manufacturing",2,33319,"['NA', '&nbsp;']","['35,907', '&nbsp;']","['36,300', '&nbsp;']","['48,499', '&nbsp;']","['49,800', '&nbsp;']","['37,434', '&nbsp;']","['32,935', '&nbsp;']","['36,375', '  ']","['26,418', '  ']","['33,058', '  ']"
2097,r033,All business activities -> Semiconductor machinery manufacturing,All business activities,Semiconductor machinery manufacturing,2,33321,"['10,928', '&nbsp;']","['5,740', '&nbsp;']","['9,670', '&nbsp;']","['10,941', '&nbsp;']","['3,134', '&nbsp;']","['13,613', '&nbsp;']","['16,266', '&nbsp;']","['16,438', '  ']","['15,074', '  ']","['18,036', '  ']"
2097,r034,All business activities -> Industrial machinery manufacturing (except semiconductor machinery),All business activities,Industrial machinery manufacturing (except semiconductor machinery),2,33322,"['7,532', '&nbsp;']","['5,996', '&nbsp;']","['8,961', '&nbsp;']","['14,930', '&nbsp;']","['11,492', '&nbsp;']","['10,092', '&nbsp;']","['16,537', '&nbsp;']","['6,590', '  ']","['12,341', '  ']","['10,600', '  ']"
2097,r035,All business activities -> Photographic and photocopying equipment manufacturing,All business activities,Photographic and photocopying equipment manufacturing,2,33331,"['NA', '&nbsp;']","['2,080', '&nbsp;']","['D', '&nbsp;']","['D', '&nbsp;']","['D', '&nbsp;']","['618', '&nbsp;']","['1,915', '&nbsp;']","['1,477', '  ']","['0 - 163,991', '  ']","['925', '  ']"
2097,r036,"All business activities -> Commercial, service industry, temperature control, and air-flow control machinery manufacturing",All business activities,"Commercial, service industry, temperature control, and air-flow control machinery manufacturing",2,33332,"['NA', '&nbsp;']","['16,053', '&nbsp;']","['28,404', '&nbsp;']","['30,270', '&nbsp;']","['36,451', '&nbsp;']","['33,652', '&nbsp;']","['40,045', '&nbsp;']","['27,712', '  ']","['37,396', '  ']","['34,896', '  ']"
2097,r037,All business activities -> Digital cameras manufacturing,All business activities,Digital cameras manufacturing,2,33333,"['NA', '&nbsp;']","['NA', '&nbsp;']","['NA', '&nbsp;']","['NA', '&nbsp;']","['NA', '&nbsp;']","['NA', '&nbsp;']","['0', '&nbsp;']","['D', '&nbsp;']","['0 - 5,580', 'i ']","['4,141', 'i ']"
2097,r038,"All business activities -> Engine, turbine, and power transmission equipment manufacturing",All business activities,"Engine, turbine, and power transmission equipment manufacturing",2,33360,"['28,100', '&nbsp;']","['16,787', '&nbsp;']","['37,994', '&nbsp;']","['44,319', '&nbsp;']","['45,968', '&nbsp;']","['56,604', '&nbsp;']","['D', '&nbsp;']","['35,258', '  ']","['36,775', '  ']","['48,051', 'i ']"
2097,r039,All business activities -> Metalworking and other general purpose machinery manufacturing,All business activities,Metalworking and other general purpose machinery manufacturing,2,33390,"['36,061', '&nbsp;']","['22,352', '&nbsp;']","['36,485', '&nbsp;']","['41,866', '&nbsp;']","['39,237', '&nbsp;']","['23,995', '&nbsp;']","['51,377', '&nbsp;']","['41,166', '  ']","['38,528', '  ']","['40,121', '  ']"
2097,r040,All business activities -> Computers and peripheral equipment manufacturing and magnetic and optical media<sup>d</sup>,All business activities,Computers and peripheral equipment manufacturing and magnetic and optical media<sup>d</sup>,2,33412,"['NA', '&nbsp;']","['136,763', '&nbsp;']","['162,729', '&nbsp;']","['167,518', '&nbsp;']","['160,818', '&nbsp;']","['127,377', '&nbsp;']","['131,576', '&nbsp;']","['129,679', '  ']","['203,226', '  ']","['207,452', '  ']"
2097,r041,"All business activities -> Telephone apparatus manufacturing, including routers, modems, and gateways",All business activities,"Telephone apparatus manufacturing, including routers, modems, and gateways",2,33421,"['22,369', '&nbsp;']","['30,531', '&nbsp;']","['46,528', '&nbsp;']","['32,477', '&nbsp;']","['29,869', '&nbsp;']","['36,859', '&nbsp;']","['32,417', '&nbsp;']","['109,988', 'i ']","['32,209', '  ']","['33,491', '  ']"
2097,r042,"All business activities -> Radio, television, and wireless communication equipment manufacturing",All business activities,"Radio, television, and wireless communication equipment manufacturing",2,33422,"['29,526', '&nbsp;']","['18,039', '&nbsp;']","['18,034', '&nbsp;']","['37,667', '&nbsp;']","['54,443', '&nbsp;']","['54,074', 'i']","['72,211', 'i']","['15,183', '  ']","['0 - 163,991', '  ']","['5,907', '  ']"
2097,r043,"All business activities -> Other communication equipment manufacturing (except radio, television, and wireless communication equipment)",All business activities,"Other communication equipment manufacturing (except radio, television, and wireless communication equipment)",2,33429,"['6,791', '&nbsp;']","['4,680', '&nbsp;']","['4,015', '&nbsp;']","['8,552', '&nbsp;']","['2,041', '&nbsp;']","['6,695', 'i']","['1,747', '&nbsp;']","['1,326', '  ']","['0 - 163,991', '  ']","['2,037', '  ']"
2097,r044,All business activities -> Audio and video equipment manufacturing,All business activities,Audio and video equipment manufacturing,2,33430,"['2,243', '&nbsp;']","['4,112', '&nbsp;']","['3,100', '&nbsp;']","['4,180', '&nbsp;']","['3,294', '&nbsp;']","['4,764', '&nbsp;']","['5,171', '&nbsp;']","['D', '&nbsp;']","['9,734', '  ']","['3,573', '  ']"
2097,r045,All business activities -> Semiconductor and other electronic components manufacturing,All business activities,Semiconductor and other electronic components manufacturing,2,33440,"['100,661', '&nbsp;']","['79,098', '&nbsp;']","['157,934', '&nbsp;']","['185,199', '&nbsp;']","['186,007', '&nbsp;']","['197,516', '&nbsp;']","['188,661', '&nbsp;']","['D', '  ']","['163,360', '  ']","['186,945', '  ']"
