table_id,row_id,field_of_study_full_path,field_of_study_level_1,field_of_study_level_2,field_of_study_level_3,field_of_study_level_4,field_of_study_hierarchy_depth,field_all_full_time_employed_total_median_salary,field_all_full_time_employed_total_se,field_all_full_time_employed_male_median_salary,field_all_full_time_employed_male_se,field_all_full_time_employed_female_median_salary,field_all_full_time_employed_female_se,field_hispanic_or_latinoa_total_median_salary,field_hispanic_or_latinoa_total_se,field_hispanic_or_latinoa_male_median_salary,field_hispanic_or_latinoa_male_se,field_hispanic_or_latinoa_female_median_salary,field_hispanic_or_latinoa_female_se,field_not_hispanic_or_latinob_american_indian_or_alaska_native_total_median_salary,field_not_hispanic_or_latinob_american_indian_or_alaska_native_total_se,field_not_hispanic_or_latinob_american_indian_or_alaska_native_male_median_salary,field_not_hispanic_or_latinob_american_indian_or_alaska_native_male_se,field_not_hispanic_or_latinob_american_indian_or_alaska_native_female_median_salary,field_not_hispanic_or_latinob_american_indian_or_alaska_native_female_se,field_not_hispanic_or_latinob_asian_total_median_salary,field_not_hispanic_or_latinob_asian_total_se,field_not_hispanic_or_latinob_asian_male_median_salary,field_not_hispanic_or_latinob_asian_male_se,field_not_hispanic_or_latinob_asian_female_median_salary,field_not_hispanic_or_latinob_asian_female_se,field_not_hispanic_or_latinob_black_or_african_american_total_median_salary,field_not_hispanic_or_latinob_black_or_african_american_total_se,field_not_hispanic_or_latinob_black_or_african_american_male_median_salary,field_not_hispanic_or_latinob_black_or_african_american_male_se,field_not_hispanic_or_latinob_black_or_african_american_female_median_salary,field_not_hispanic_or_latinob_black_or_african_american_female_se,field_not_hispanic_or_latinob_white_total_median_salary,field_not_hispanic_or_latinob_white_total_se,field_not_hispanic_or_latinob_white_male_median_salary,field_not_hispanic_or_latinob_white_male_se,field_not_hispanic_or_latinob_white_female_median_salary,field_not_hispanic_or_latinob_white_female_se,field_not_hispanic_or_latinob_other_racec_total_median_salary,field_not_hispanic_or_latinob_other_racec_total_se,field_not_hispanic_or_latinob_other_racec_male_median_salary,field_not_hispanic_or_latinob_other_racec_male_se,field_not_hispanic_or_latinob_other_racec_female_median_salary,field_not_hispanic_or_latinob_other_racec_female_se
9244,r001,All fields,All fields,,,,1,119000,1000,127000,1500,100000,500,102000,2000,115000,4000,90000,2000,99000,4500,113000,12000,89000,3500,125000,1500,132000,3000,110000,500,100000,2000,103000,3000,94000,2000,117000,1500,126000,1500,100000,500,109000,3500,114000,6000,95000,5000
9244,r002,All fields -> Science,All fields,Science,,,2,110000,500,120000,500,99000,1500,100000,500,110000,3000,89000,1500,94000,3000,97000,7000,88000,6000,120000,2000,125000,2000,105000,2500,95000,2000,100000,1500,90000,1500,110000,500,120000,500,98000,1500,103000,3500,108000,3000,93000,3000
9244,r003,"All fields -> Science -> Biological, agricultural, and environmental life sciences",All fields,Science,"Biological, agricultural, and environmental life sciences",,3,110000,1500,120000,1000,99000,2000,96000,4500,114000,6000,85000,3000,94000,6000,93000,12000,87000,14500,110000,1000,120000,4000,100000,3500,100000,2000,104000,5500,91000,5000,110000,500,120000,500,99000,2500,96000,6500,100000,9000,93000,11000
9244,r004,"All fields -> Science -> Biological, agricultural, and environmental life sciences -> Agricultural and food sciences",All fields,Science,"Biological, agricultural, and environmental life sciences",Agricultural and food sciences,4,110000,1000,115000,3500,98000,3000,108000,2000,119000,9500,95000,6500,,,,,,,100000,4000,107000,8000,91000,9000,100000,5500,99000,6500,104000,10500,112000,3000,119000,2000,99000,2500,109000,18500,120000,10000,79000,2000
9244,r005,"All fields -> Science -> Biological, agricultural, and environmental life sciences -> Biochemistry and biophysics",All fields,Science,"Biological, agricultural, and environmental life sciences",Biochemistry and biophysics,4,117000,3500,125000,4500,105000,4500,112000,11500,141000,22000,86000,13500,,,,,,,110000,4000,119000,6500,109000,9500,93000,18500,114000,12500,74000,6500,119000,2500,128000,5500,105000,6500,110000,16500,91000,21000,137000,24500
9244,r006,"All fields -> Science -> Biological, agricultural, and environmental life sciences -> Cell, cellular biology, and molecular biology",All fields,Science,"Biological, agricultural, and environmental life sciences","Cell, cellular biology, and molecular biology",4,111000,4500,119000,1500,99000,3500,107000,12000,141000,20500,78000,7000,,,,,,,110000,8000,118000,2000,95000,8500,90000,7500,98000,22500,84000,6500,115000,5500,120000,4000,102000,8000,102000,17500,95000,15000,114000,22000
9244,r007,"All fields -> Science -> Biological, agricultural, and environmental life sciences -> Microbiological sciences and immunology",All fields,Science,"Biological, agricultural, and environmental life sciences",Microbiological sciences and immunology,4,110000,3000,124000,5500,100000,2000,94000,7500,114000,15500,87000,4000,,,,,,,121000,6500,129000,8000,112000,16500,103000,3000,109000,8000,99000,6000,109000,3000,124000,5500,99000,2500,94000,9000,90000,12500,95000,9000
9244,r008,"All fields -> Science -> Biological, agricultural, and environmental life sciences -> Natural resources and conservation",All fields,Science,"Biological, agricultural, and environmental life sciences",Natural resources and conservation,4,97000,2500,101000,3000,85000,3000,87000,3500,101000,13500,76000,7000,0.05,0.05,0.05,0.05,,,89000,5000,84000,9000,93000,5000,88000,9000,89000,14500,85000,10500,100000,2000,105000,4000,83000,3500,93000,12500,129000,53000,67000,12500
9244,r009,"All fields -> Science -> Biological, agricultural, and environmental life sciences -> Zoology",All fields,Science,"Biological, agricultural, and environmental life sciences",Zoology,4,96000,4500,103000,4000,77000,3000,80000,12000,80000,10500,85000,16500,,,,,,,84000,14000,84000,16000,73000,14000,109000,16500,105000,30500,,,99000,3000,104000,2500,76000,3500,57000,17500,,,,
9244,r010,"All fields -> Science -> Biological, agricultural, and environmental life sciences -> Other biological sciences",All fields,Science,"Biological, agricultural, and environmental life sciences",Other biological sciences,4,107000,2500,119000,500,99000,2500,93000,3000,104000,7500,82000,3500,101000,22000,,,102000,31000,110000,1500,119000,4500,104000,4500,100000,4000,104000,6500,94000,5500,108000,3000,120000,1000,98000,3000,93000,8000,99000,11000,87000,10000
9244,r011,All fields -> Science -> Computer and information sciences,All fields,Science,Computer and information sciences,,3,150000,3000,158000,4500,125000,6000,135000,5000,137000,11000,114000,21000,,,,,,,160000,3000,165000,9000,136000,14000,108000,4000,110000,15500,106000,4000,150000,2000,150000,2000,119000,5000,151000,19000,151000,22000,147000,40500
9244,r012,All fields -> Science -> Mathematics and statistics,All fields,Science,Mathematics and statistics,,3,114000,3500,117000,3500,101000,4000,100000,11500,109000,14000,83000,4500,,,,,,,124000,6500,124000,10000,121000,7500,97000,9500,98000,9500,92000,18500,108000,3500,113000,4000,95000,5000,102000,15000,102000,11500,118000,34000
9244,r013,"All fields -> Science -> Physical sciences, geosciences, atmospheric sciences, and ocean sciences",All fields,Science,"Physical sciences, geosciences, atmospheric sciences, and ocean sciences",,3,120000,500,125000,1500,103000,2500,102000,5000,109000,8500,90000,5000,102000,15500,109000,20000,0.05,0.05,119000,2500,120000,3000,107000,4000,95000,3000,95000,3000,98000,14000,120000,2000,128000,2500,103000,3000,109000,5500,110000,8500,93000,23000
9244,r014,"All fields -> Science -> Physical sciences, geosciences, atmospheric sciences, and ocean sciences -> Astronomy and astrophysics",All fields,Science,"Physical sciences, geosciences, atmospheric sciences, and ocean sciences",Astronomy and astrophysics,4,110000,6500,119000,8000,97000,8500,103000,12500,103000,11000,101000,27000,,,,,,,103000,17500,116000,23500,69000,16000,98000,39000,82000,34500,,,112000,8000,119000,7500,100000,10000,116000,14000,121000,14500,,
9244,r015,"All fields -> Science -> Physical sciences, geosciences, atmospheric sciences, and ocean sciences -> Chemistry, except biochemistry",All fields,Science,"Physical sciences, geosciences, atmospheric sciences, and ocean sciences","Chemistry, except biochemistry",4,119000,2000,125000,3500,104000,3500,101000,3000,108000,5000,94000,5500,,,S,S,,,113000,4000,119000,4000,104000,5000,94000,3000,93000,3500,98000,17500,121000,3000,128000,2500,104000,3500,106000,11500,95000,14500,128000,16000
9244,r016,"All fields -> Science -> Physical sciences, geosciences, atmospheric sciences, and ocean sciences -> Geosciences, atmospheric sciences, and ocean sciences",All fields,Science,"Physical sciences, geosciences, atmospheric sciences, and ocean sciences","Geosciences, atmospheric sciences, and ocean sciences",4,105000,2000,109000,1000,97000,3000,89000,5000,95000,4000,74000,3500,0.05,0.05,0.05,0.05,,,104000,4500,109000,7000,97000,2500,90000,6000,90000,5500,96000,20000,107000,2500,110000,2000,98000,3500,97000,10500,105000,7500,84000,3500
9244,r017,"All fields -> Science -> Physical sciences, geosciences, atmospheric sciences, and ocean sciences -> Physics",All fields,Science,"Physical sciences, geosciences, atmospheric sciences, and ocean sciences",Physics,4,130000,1000,130000,3500,116000,6000,119000,8000,122000,8500,S,S,,,,,,,129000,6000,128000,5500,130000,13000,115000,8500,115000,9500,S,S,130000,3000,134000,5500,110000,10000,129000,12500,137000,9500,78000,35000
