table_id,row_id,broad_field,gss_code_collected_,detailed_field_collected_,gss_code_reported_,gss_field_name_in_data_and_tables_,exclusions
10645,r001,Agricultural and veterinary sciences,501,Agricultural sciences,501,Agricultural sciences,
10645,r002,,502,Veterinary biomedical and clinical sciences,502,Veterinary biomedical and clinical sciences,DVM
10645,r003,Biological and biomedical sciences,602,Biochemistry,602,Biochemistry,
10645,r004,,603,Biology ,603,Biology ,
10645,r005,,623,Biomedical sciences,623,Biomedical sciences,
10645,r006,,605,Biophysics,605,Biophysics,
10645,r007,,618,Biostatistics and bioinformatics ,618,Biostatistics and bioinformatics ,
10645,r008,,606,Botany and plant biology,606,Botany and plant biology,
10645,r009,,624,Biotechnology,624,Biotechnology,
10645,r010,,619,"Cell, cellular biology, and anatomical sciences",619,"Cell, cellular biology, and anatomical sciences",
10645,r011,,620,Ecology and population biology,620,Ecology and population biology,
10645,r012,,621,Epidemiology,621,Epidemiology,
10645,r013,,610,Genetics,610,Genetics,
10645,r014,,611,Microbiological sciences and immunology,611,Microbiological sciences and immunology,
10645,r015,,622,Molecular biology,622,Molecular biology,
10645,r016,,950,Neurobiology and neuroscience,626,Neurobiology and neuroscience,
10645,r017,,612,Nutrition science,612,Nutrition science,
10645,r018,,613,Pathology and experimental pathology,613,Pathology and experimental pathology,
10645,r019,,614,Pharmacology and toxicology,614,Pharmacology and toxicology,
10645,r020,,615,Physiology,615,Physiology,
10645,r021,,616,Zoology and animal biology,616,Zoology and animal biology,
10645,r022,,617,Biological and biomedical sciences nec,617,Biological and biomedical sciences nec,
10645,r023,Computer and information sciences,416,"Artificial intelligence, informatics and computer and information science topics ",416,"Artificial intelligence, informatics and computer and information science topics ",Exclude DCS
10645,r024,,411,Computer and information science,411,Computer and information science,Exclude DCS
10645,r025,,413,Computer and information systems security ,413,Computer and information systems security ,Exclude DCS
10645,r026,,410,Computer science,410,Computer science,Exclude DCS
10645,r027,,415,Information science and studies,415,Information science and studies,Exclude DCS
10645,r028,,414,Information technology,414,Information technology,Exclude DCS
10645,r029,,412,Computer and information science nec ,412,Computer and information science nec ,Exclude DCS
10645,r030,"Geosciences, atmospheric sciences, and ocean sciences ",301,Atmospheric sciences and meteorology,301,Atmospheric sciences and meteorology,
10645,r031,,302,Geological and earth sciences,302,Geological and earth sciences,
10645,r032,,303,Ocean and marine sciences,303,Ocean and marine sciences,
10645,r033,,304,"Geosciences, atmospheric sciences, and ocean sciences",304,"Geosciences, atmospheric sciences, and ocean sciences",Postdocs and NFRs only
10645,r034,Mathematics and statistics,404,Applied mathematics,404,Applied mathematics,
