table_id,row_id,_b_detailed_field_b_full_path,_b_detailed_field_b_level_1,_b_detailed_field_b_level_2,_b_detailed_field_b_level_3,_b_detailed_field_b_level_4,_b_detailed_field_b_hierarchy_depth,field_total_number,field_total_percent,field_hispanic_or_latino_number,field_hispanic_or_latino_percent,field_not_hispanic_or_latino_american_indian_or_alaska_native_number,field_not_hispanic_or_latino_american_indian_or_alaska_native_percent,field_not_hispanic_or_latino_asian_number,field_not_hispanic_or_latino_asian_percent,field_not_hispanic_or_latino_black_or_african_american_number,field_not_hispanic_or_latino_black_or_african_american_percent,field_not_hispanic_or_latino_native_hawaiian_or_other_pacific_islander_number,field_not_hispanic_or_latino_native_hawaiian_or_other_pacific_islander_percent,field_not_hispanic_or_latino_white_number,field_not_hispanic_or_latino_white_percent,field_not_hispanic_or_latino_more_than_one_race_number,field_not_hispanic_or_latino_more_than_one_race_percent,field_unknown_ethnicity_and_race_number,field_unknown_ethnicity_and_race_percent,field_temporary_visa_holders_number,field_temporary_visa_holders_percent
3522,r001,All detailed fields,All detailed fields,,,,1,408228,100.0,36777,100.0,1327,100.0,31301,100.0,27598,100.0,542,100.0,163836,100.0,9593,100.0,16396,100.0,120858,100.0
3522,r002,All detailed fields -> Science,All detailed fields,Science,,,2,259795,63.6,24330,66.2,902,68.0,19529,62.4,18996,68.8,382,70.5,103762,63.3,6339,66.1,11138,67.9,74417,61.6
3522,r003,All detailed fields -> Science -> Agricultural sciences,All detailed fields,Science,Agricultural sciences,,3,5629,1.4,470,1.3,23,1.7,160,0.5,227,0.8,14,2.6,3425,2.1,134,1.4,123,0.8,1053,0.9
3522,r004,All detailed fields -> Science -> Biological and biomedical sciences,All detailed fields,Science,Biological and biomedical sciences,,3,38078,9.3,3817,10.4,120,9.0,4197,13.4,3210,11.6,92,17.0,18281,11.2,1193,12.4,2018,12.3,5150,4.3
3522,r005,All detailed fields -> Science -> Biological and biomedical sciences -> Biochemistry,All detailed fields,Science,Biological and biomedical sciences,Biochemistry,4,808,0.2,93,0.3,1,0.1,91,0.3,42,0.2,2,0.4,352,0.2,18,0.2,32,0.2,177,0.1
3522,r006,All detailed fields -> Science -> Biological and biomedical sciences -> Biology ,All detailed fields,Science,Biological and biomedical sciences,Biology ,4,8635,2.1,1087,3.0,42,3.2,554,1.8,629,2.3,19,3.5,5032,3.1,279,2.9,292,1.8,701,0.6
3522,r007,All detailed fields -> Science -> Biological and biomedical sciences -> Biomedical sciences,All detailed fields,Science,Biological and biomedical sciences,Biomedical sciences,4,5241,1.3,548,1.5,17,1.3,961,3.1,792,2.9,32,5.9,1951,1.2,185,1.9,462,2.8,293,0.2
3522,r008,All detailed fields -> Science -> Biological and biomedical sciences -> Biophysics,All detailed fields,Science,Biological and biomedical sciences,Biophysics,4,7,0.05,1,0.05,0,0.0,0,0.0,0,0.0,0,0.0,5,0.05,0,0.0,1,0.05,0,0.0
3522,r009,All detailed fields -> Science -> Biological and biomedical sciences -> Biostatistics and bioinformatics ,All detailed fields,Science,Biological and biomedical sciences,Biostatistics and bioinformatics ,4,3036,0.7,150,0.4,6,0.5,384,1.2,100,0.4,2,0.4,900,0.5,69,0.7,115,0.7,1310,1.1
3522,r010,All detailed fields -> Science -> Biological and biomedical sciences -> Biotechnology,All detailed fields,Science,Biological and biomedical sciences,Biotechnology,4,3157,0.8,299,0.8,2,0.2,435,1.4,333,1.2,5,0.9,1127,0.7,99,1.0,181,1.1,676,0.6
3522,r011,All detailed fields -> Science -> Biological and biomedical sciences -> Botany and plant biology,All detailed fields,Science,Biological and biomedical sciences,Botany and plant biology,4,392,0.1,31,0.1,0,0.0,14,0.05,8,0.05,3,0.6,222,0.1,19,0.2,14,0.1,81,0.1
3522,r012,"All detailed fields -> Science -> Biological and biomedical sciences -> Cell, cellular biology, and anatomical sciences",All detailed fields,Science,Biological and biomedical sciences,"Cell, cellular biology, and anatomical sciences",4,927,0.2,99,0.3,3,0.2,117,0.4,47,0.2,2,0.4,439,0.3,30,0.3,48,0.3,142,0.1
3522,r013,All detailed fields -> Science -> Biological and biomedical sciences -> Ecology and population biology,All detailed fields,Science,Biological and biomedical sciences,Ecology and population biology,4,939,0.2,65,0.2,5,0.4,29,0.1,25,0.1,3,0.6,710,0.4,27,0.3,31,0.2,44,0.05
3522,r014,All detailed fields -> Science -> Biological and biomedical sciences -> Epidemiology,All detailed fields,Science,Biological and biomedical sciences,Epidemiology,4,2776,0.7,281,0.8,5,0.4,394,1.3,197,0.7,0,0.0,1085,0.7,110,1.1,125,0.8,579,0.5
3522,r015,All detailed fields -> Science -> Biological and biomedical sciences -> Genetics,All detailed fields,Science,Biological and biomedical sciences,Genetics,4,581,0.1,36,0.1,0,0.0,59,0.2,17,0.1,1,0.2,363,0.2,19,0.2,27,0.2,59,0.05
3522,r016,All detailed fields -> Science -> Biological and biomedical sciences -> Microbiological sciences and immunology,All detailed fields,Science,Biological and biomedical sciences,Microbiological sciences and immunology,4,1370,0.3,184,0.5,8,0.6,97,0.3,97,0.4,0,0.0,685,0.4,48,0.5,108,0.7,143,0.1
3522,r017,All detailed fields -> Science -> Biological and biomedical sciences -> Molecular biology,All detailed fields,Science,Biological and biomedical sciences,Molecular biology,4,378,0.1,49,0.1,2,0.2,36,0.1,37,0.1,0,0.0,179,0.1,11,0.1,18,0.1,46,0.05
3522,r018,All detailed fields -> Science -> Biological and biomedical sciences -> Neurobiology and neuroscience,All detailed fields,Science,Biological and biomedical sciences,Neurobiology and neuroscience,4,362,0.1,54,0.1,1,0.1,37,0.1,28,0.1,0,0.0,171,0.1,5,0.1,8,0.05,58,0.05
3522,r019,All detailed fields -> Science -> Biological and biomedical sciences -> Nutrition science,All detailed fields,Science,Biological and biomedical sciences,Nutrition science,4,2385,0.6,203,0.6,4,0.3,163,0.5,75,0.3,6,1.1,1564,1.0,71,0.7,103,0.6,196,0.2
3522,r020,All detailed fields -> Science -> Biological and biomedical sciences -> Pathology and experimental pathology,All detailed fields,Science,Biological and biomedical sciences,Pathology and experimental pathology,4,87,0.05,5,0.05,0,0.0,3,0.05,3,0.05,1,0.2,51,0.05,5,0.1,2,0.05,17,0.05
3522,r021,All detailed fields -> Science -> Biological and biomedical sciences -> Pharmacology and toxicology,All detailed fields,Science,Biological and biomedical sciences,Pharmacology and toxicology,4,923,0.2,54,0.1,3,0.2,105,0.3,61,0.2,1,0.2,402,0.2,25,0.3,43,0.3,229,0.2
3522,r022,All detailed fields -> Science -> Biological and biomedical sciences -> Physiology,All detailed fields,Science,Biological and biomedical sciences,Physiology,4,2594,0.6,192,0.5,9,0.7,304,1.0,289,1.0,2,0.4,1369,0.8,83,0.9,157,1.0,189,0.2
3522,r023,All detailed fields -> Science -> Biological and biomedical sciences -> Zoology and animal biology,All detailed fields,Science,Biological and biomedical sciences,Zoology and animal biology,4,891,0.2,69,0.2,3,0.2,23,0.1,29,0.1,0,0.0,610,0.4,27,0.3,49,0.3,81,0.1
3522,r024,All detailed fields -> Science -> Biological and biomedical sciences -> Biological and biomedical sciences nec,All detailed fields,Science,Biological and biomedical sciences,Biological and biomedical sciences nec,4,2589,0.6,317,0.9,9,0.7,391,1.2,401,1.5,13,2.4,1064,0.6,63,0.7,202,1.2,129,0.1
3522,r025,All detailed fields -> Science -> Computer and information sciences,All detailed fields,Science,Computer and information sciences,,3,84092,20.6,3777,10.3,108,8.1,8274,26.4,4803,17.4,58,10.7,19908,12.2,1347,14.0,2494,15.2,43323,35.8
3522,r026,All detailed fields -> Science -> Computer and information sciences -> Computer science,All detailed fields,Science,Computer and information sciences,Computer science,4,24628,6.0,616,1.7,14,1.1,2104,6.7,469,1.7,5,0.9,3536,2.2,288,3.0,651,4.0,16945,14.0
